BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1950.70380,0.14380,-0.97778,1.06676,-0.29040,0.31684,19.66450,,
1950.95380,0.39380,-0.67931,1.14775,-0.20175,0.34088,19.66450,,
1951.19338,0.63338,-1.37066,1.13419,-0.40710,0.33686,19.66450,,
1951.45380,0.89380,0.49045,1.05203,0.14567,0.31246,19.65909,0.63250,
1951.70380,1.14380,0.96595,1.10373,0.28689,0.32781,19.66450,,
1951.94338,1.38338,1.62688,1.02583,0.48318,0.30467,19.66450,,
1952.19338,1.63338,2.27022,1.00564,0.67426,0.29868,19.66450,,
1952.44338,1.88338,2.28544,1.01154,0.67878,0.30043,19.61163,0.33485,
1952.69338,2.13338,1.46031,1.01576,0.43372,0.30169,19.65563,0.56560,
1952.95379,2.39379,2.70733,0.98405,0.80408,0.29227,19.56877,0.24241,
1953.21421,2.65421,0.74529,1.00933,0.22137,0.29978,19.64283,0.49210,
1953.46421,2.90421,1.93014,1.01563,0.57326,0.30165,19.63173,0.37388,
1953.71421,3.15421,4.07618,1.02046,1.21065,0.30308,19.60583,0.26942,
1953.96420,3.40420,3.05088,1.04522,0.90613,0.31044,19.61438,0.31464,
1954.20379,3.64379,3.45031,1.16175,1.02477,0.34504,19.59531,0.35347,
