BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1972.02549,0.11549,0.36531,1.67655,0.02134,0.09798,19.58150,,
1972.27549,0.36549,-0.62409,1.58184,-0.03647,0.09244,19.50893,0.42778,
1972.52549,0.61549,4.18045,1.49541,0.24431,0.08740,19.55453,0.51853,
1972.78591,0.87591,6.43082,1.44711,0.37582,0.08457,19.35709,0.22480,
1973.03590,1.12590,1.62371,1.53464,0.09488,0.08969,19.51584,0.46925,
1973.27549,1.36549,6.82087,1.40407,0.39861,0.08205,19.35570,0.22577,
1973.52549,1.61549,3.74183,1.34666,0.21868,0.07870,19.39494,0.25364,
1973.77549,1.86549,6.11062,1.35877,0.35711,0.07941,19.31273,0.20082,
1974.02549,2.11549,3.72530,1.33706,0.21769,0.07814,19.44052,0.27099,
1974.27549,2.36549,1.57359,1.29159,0.09196,0.07548,19.53327,0.39796,
1974.52549,2.61549,6.09361,1.24458,0.35613,0.07273,19.30789,0.19164,
1974.77549,2.86549,4.01444,1.25666,0.23460,0.07344,19.45152,0.25866,
1975.02549,3.11549,7.44823,1.23991,0.43528,0.07246,19.29129,0.18614,
1975.27549,3.36549,9.41436,1.20796,0.55019,0.07060,19.12284,0.13985,
1975.52549,3.61549,8.91935,1.17912,0.52125,0.06891,19.24316,0.16586,
1975.78590,3.87590,14.30600,1.15134,0.83605,0.06728,18.81323,0.10619,
1976.03590,4.12590,12.62202,1.23995,0.73763,0.07246,18.90494,0.12158,
1976.27549,4.36549,13.69926,1.16450,0.80060,0.06806,18.85919,0.10855,
1976.52549,4.61549,8.00775,1.13851,0.46798,0.06654,19.32734,0.16849,
1976.77549,4.86549,13.39673,1.16166,0.78291,0.06789,18.89657,0.11236,
1977.01715,5.10715,10.27057,1.27271,0.60021,0.07438,19.11632,0.14846,
1977.27548,5.36548,11.26402,1.14495,0.65829,0.06691,19.06067,0.12704,
1977.53590,5.62590,6.19486,1.17020,0.36203,0.06839,19.38573,0.20610,
1977.77548,5.86548,13.12230,1.14705,0.76688,0.06704,18.90502,0.11329,
1978.02548,6.11548,10.97884,1.14675,0.64161,0.06702,19.11835,0.14030,
1978.27548,6.36548,11.80069,1.14216,0.68964,0.06675,18.99390,0.11880,
1978.52548,6.61548,8.57744,1.11933,0.50128,0.06541,19.23003,0.14206,
1978.77548,6.86548,13.66685,1.14056,0.79870,0.06665,18.84371,0.10303,
1979.02548,7.11548,12.25965,1.14468,0.71646,0.06690,18.93554,0.10599,
1979.28589,7.37589,12.35465,1.09403,0.72202,0.06394,18.92405,0.10149,
1979.54631,7.63631,13.93030,1.11272,0.81411,0.06503,18.85403,0.10680,
1979.79631,7.88631,13.04808,1.13247,0.76252,0.06618,18.88097,0.10597,
1980.04631,8.13631,14.97569,1.14255,0.87519,0.06677,18.74726,0.09237,
1980.29631,8.38631,13.81093,1.13251,0.80712,0.06618,18.83244,0.10392,
1980.54631,8.63631,13.65719,1.10690,0.79814,0.06468,18.80892,0.09154,
1980.79630,8.88630,14.04548,1.12387,0.82082,0.06568,18.81113,0.09945,
1981.04630,9.13630,13.66092,1.11829,0.79835,0.06536,18.81697,0.09310,
1981.29630,9.38630,14.68524,1.10881,0.85821,0.06480,18.74626,0.08931,
1981.54630,9.63630,17.83322,1.08161,1.04218,0.06321,18.55627,0.07603,
1981.79630,9.88630,21.21532,1.04601,1.23985,0.06113,18.32509,0.05498,
1982.04630,10.13630,19.57057,0.98913,1.14372,0.05780,18.43558,0.06143,
1982.22338,10.31338,22.24784,1.51766,1.30018,0.08869,18.27792,0.07711,
