BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1978.23147,0.12147,5.08043,2.12555,0.17334,0.07252,19.49743,0.16838,0.00000
1978.49189,0.38189,4.30007,1.98290,0.14673,0.06766,19.58290,0.14706,0.00000
1978.75230,0.64230,6.31514,2.07816,0.21547,0.07091,19.41658,0.16441,0.00000
1979.00230,0.89230,4.91545,2.10132,0.16773,0.07170,19.55848,0.21757,0.00000
1979.25230,1.14230,6.96333,2.08397,0.23759,0.07111,19.42601,0.16544,0.00000
1979.50230,1.39230,13.19148,2.05824,0.45010,0.07023,18.87549,0.17311,0.00000
1979.75230,1.64230,11.74451,2.12308,0.40072,0.07244,19.04052,0.14375,0.00000
1980.00230,1.89230,9.57842,2.14227,0.32682,0.07309,19.16464,0.21141,0.00000
1980.25230,2.14230,12.48694,2.11703,0.42607,0.07223,18.93182,0.13770,0.00000
1980.50230,2.39230,13.54820,2.11107,0.46228,0.07203,18.85985,0.20091,0.00000
1980.75230,2.64230,16.08813,2.12236,0.54895,0.07241,18.66564,0.13903,0.00000
1981.00230,2.89230,13.49747,2.13353,0.46054,0.07280,18.86259,0.20371,0.00000
1981.25230,3.14230,21.51492,2.08972,0.73412,0.07131,18.32414,0.11213,0.00000
1981.50230,3.39230,19.80747,2.02546,0.67584,0.06911,18.41512,0.12004,0.00000
1981.75230,3.64230,18.07422,1.97494,0.61670,0.06738,18.53543,0.13494,0.00000
1982.00230,3.89230,15.22992,1.92798,0.51967,0.06579,18.73140,0.16146,0.00000
1982.20021,4.09021,16.92071,2.53111,0.57733,0.08637,18.59029,0.17719,0.00000
1983.77104,5.66104,25.64981,2.03596,0.87517,0.06947,18.14217,0.09784,22.07000
1984.00229,5.89229,15.23280,2.02704,0.51974,0.06916,18.69611,0.15308,22.07000
1984.25228,6.14228,22.22192,2.06794,0.75822,0.07056,18.31882,0.11754,22.07000
1984.50228,6.39228,21.17728,2.07706,0.72259,0.07087,18.34174,0.11344,22.07000
1984.75228,6.64228,28.39538,2.27629,0.96888,0.07767,18.03300,0.09511,22.07000
1985.00228,6.89228,26.85428,2.23318,0.91628,0.07620,18.09376,0.09882,22.07000
1985.25228,7.14228,24.29833,2.16554,0.82908,0.07389,18.19978,0.10364,22.07000
1985.50227,7.39227,23.95260,2.04164,0.81727,0.06966,18.20623,0.09854,22.07000
1985.75227,7.64227,31.71261,2.24057,1.08206,0.07645,17.90713,0.08320,22.07000
1986.00227,7.89227,31.15608,2.23071,1.06307,0.07612,17.91439,0.08152,22.07000
1986.24753,8.13753,20.91980,2.33281,0.71381,0.07959,18.39426,0.14055,22.07000
1986.50227,8.39227,16.38748,2.16045,0.55915,0.07371,18.67868,1.84626,22.07000
1986.75226,8.64226,26.50530,2.36634,0.90440,0.08074,18.19959,1.84293,22.07000
1987.00226,8.89226,15.62901,2.29937,0.53327,0.07846,18.71984,2.60491,22.07000
1987.25226,9.14226,32.97654,2.27484,1.12519,0.07762,17.85779,0.07919,22.07000
1987.50226,9.39226,20.34667,2.20123,0.69424,0.07511,18.43689,0.14406,22.07000
1987.75226,9.64226,26.60172,2.38132,0.90767,0.08125,18.09048,0.10236,22.07000
1988.00225,9.89225,26.53278,2.37639,0.90532,0.08108,18.16734,0.12807,22.07000
1988.25225,10.14225,24.50122,2.32259,0.83599,0.07925,18.27576,0.14666,22.07000
1988.50225,10.39225,30.24947,2.29674,1.03212,0.07837,18.00798,0.11630,22.07000
1988.75225,10.64225,27.63180,2.37134,0.94283,0.08091,18.05187,0.09879,22.07000
1989.00225,10.89225,35.83470,2.28604,1.22271,0.07800,17.80113,0.08411,22.07000
1989.27655,11.16655,21.30969,2.58691,0.72713,0.08827,18.37288,0.15432,22.07000
1989.50224,11.39224,27.96481,2.14733,0.95417,0.07327,18.06100,0.09566,22.07000
1989.75224,11.64224,30.33197,2.25197,1.03496,0.07684,17.94993,0.08583,22.07000
1990.00224,11.89224,24.05145,2.19528,0.82065,0.07491,18.22235,0.11097,22.07000
1990.25224,12.14224,29.27393,2.16263,0.99883,0.07379,17.99239,0.08569,22.07000
1990.50224,12.39224,18.93744,2.13429,0.64614,0.07282,18.50305,0.14580,22.07000
1990.75223,12.64223,31.60862,2.29403,1.07850,0.07827,17.90199,0.08394,22.07000
1991.00223,12.89223,20.88962,2.14552,0.71276,0.07321,18.37578,0.12531,22.07000
1991.21056,13.10056,25.54277,2.56829,0.87154,0.08764,18.15600,0.12382,22.07000
