BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1974.14807,0.11807,-2.53212,1.86494,-0.32343,0.23821,19.37740,,
1974.39807,0.36807,3.10940,1.89556,0.39716,0.24212,19.29851,0.41023,
1974.65848,0.62848,1.27520,1.76796,0.16288,0.22582,19.36524,0.75900,
1974.91890,0.88890,1.03996,1.87097,0.13283,0.23898,19.37740,,
1975.16890,1.13890,4.16829,1.86368,0.53243,0.23805,19.32159,0.46860,
1975.41890,1.38890,3.48066,1.82781,0.44460,0.23347,19.32728,0.41110,
1975.66890,1.63890,4.57617,1.90442,0.58453,0.24325,19.29264,0.39146,
1975.91889,1.88889,2.11747,1.88965,0.27047,0.24137,19.37740,,
1976.16889,2.13889,3.35967,1.82485,0.42913,0.23309,19.32434,0.41194,
1976.41889,2.38889,5.57503,1.76639,0.71212,0.22562,19.32922,0.37181,
1976.66889,2.63889,4.18077,1.74503,0.53401,0.22290,19.32393,0.35603,
1976.91889,2.88889,4.20437,1.79354,0.53702,0.22909,19.29141,0.31473,
1977.18972,3.15972,6.27393,1.98913,0.80138,0.25408,19.24379,0.33034,
1977.41983,3.38983,3.89401,1.88552,0.49737,0.24084,19.35170,0.65320,
1977.66888,3.63888,4.27153,1.80206,0.54561,0.23018,19.33433,0.47525,
1977.91888,3.88888,6.95759,1.77580,0.88870,0.22683,19.20454,0.26934,
1978.16888,4.13888,6.17585,1.76900,0.78884,0.22596,19.28446,0.30924,
1978.41888,4.38888,5.70228,1.67212,0.72838,0.21358,19.25430,0.25186,
1978.66888,4.63888,3.19059,1.73676,0.40753,0.22184,19.34406,0.49926,
1978.91888,4.88888,6.76764,1.78549,0.86443,0.22806,19.20957,0.26391,
1979.16888,5.13888,8.22790,1.78705,1.05096,0.22826,19.17196,0.24821,
1979.41888,5.38888,6.09890,1.71435,0.77902,0.21897,19.29632,0.36852,
1979.66887,5.63887,4.53552,1.64924,0.57932,0.21066,19.30658,0.39149,
1979.91887,5.88887,4.30644,1.70430,0.55006,0.21769,19.34105,0.36738,
1980.16887,6.13887,3.89498,1.73943,0.49751,0.22218,19.33488,0.45705,
1980.41887,6.38887,8.35136,1.68688,1.06673,0.21547,19.17264,0.23136,
1980.66887,6.63887,4.44407,1.66186,0.56763,0.21227,19.32616,0.42464,
1980.91887,6.88887,6.63775,1.64184,0.84785,0.20972,19.22054,0.25511,
1981.16886,7.13886,3.31691,1.56897,0.42367,0.20041,19.29400,0.32416,
1981.30428,7.27428,4.12560,5.59470,0.52700,0.71460,19.37740,,
