BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1976.69135,0.12135,0.77007,1.21066,0.11427,0.17966,19.90817,0.88300,
1976.93093,0.36093,0.81247,1.29719,0.12058,0.19250,19.91375,0.95730,
1977.20176,0.63176,-1.02444,1.28147,-0.15203,0.19016,19.91470,,
1977.44134,0.87134,1.33317,1.18013,0.19783,0.17513,19.79548,0.37735,
1977.69134,1.12134,1.57835,1.18378,0.23422,0.17567,19.85819,0.48770,
1977.94134,1.37134,1.06397,1.18700,0.15789,0.17615,19.87453,0.52406,
1978.19134,1.62134,1.10920,1.18711,0.16460,0.17616,19.79253,0.36017,
1978.45176,1.88176,3.83573,1.14760,0.56921,0.17030,19.76122,0.29711,
1978.70176,2.13176,1.08245,1.28945,0.16064,0.19135,19.84035,0.46884,
1978.94134,2.37134,2.86497,1.23007,0.42517,0.18254,19.71107,0.31422,
1979.19134,2.62134,2.83622,1.19452,0.42090,0.17726,19.79867,0.35648,
1979.44134,2.87134,6.15778,1.16268,0.91379,0.17254,19.57015,0.20972,
1979.69134,3.12134,2.89849,1.16244,0.43012,0.17251,19.80647,0.35400,
1979.94134,3.37134,1.02603,1.18665,0.15227,0.17610,19.88816,0.56059,
1980.19134,3.62134,2.57672,1.20548,0.38238,0.17889,19.80777,0.36732,
1980.44134,3.87134,5.66896,1.19152,0.84125,0.17682,19.61975,0.23125,
1980.69134,4.12134,5.38302,1.17701,0.79882,0.17467,19.62665,0.23349,
1980.94134,4.37134,3.38587,1.16735,0.50247,0.17323,19.74057,0.28688,
1981.19134,4.62134,3.69818,1.15620,0.54882,0.17157,19.73148,0.27574,
1981.45175,4.88175,3.47623,1.11598,0.51587,0.16561,19.76165,0.29825,
1981.59759,5.02759,8.82090,3.95620,1.30900,0.58710,19.26900,0.48700,
