BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.80203,-19.01797,-9.5209,4.2371,-0.1919,0.0854,19.8415,0.0,
1955.82286,-18.99714,-9.3575,4.2840,-0.1886,0.0864,19.8415,0.0,
1955.84370,-18.97630,-7.2103,4.2720,-0.1453,0.0861,19.8415,0.0,
1955.86453,-18.95547,1.3818,4.2957,0.0279,0.0866,19.8415,0.0,
1955.88536,-18.93464,-10.5998,4.3149,-0.2137,0.0870,19.8415,0.0,
1955.90620,-18.91380,-1.8257,4.3120,-0.0368,0.0869,19.8415,0.0,
1955.92703,-18.89297,-9.9173,4.2339,-0.1999,0.0853,19.8415,0.0,
1955.94786,-18.87214,-4.5332,4.2985,-0.0914,0.0866,19.8415,0.0,
1955.96869,-18.85131,-7.4663,4.2823,-0.1505,0.0863,19.8415,0.0,
1955.98953,-18.83047,-10.4926,4.2865,-0.2115,0.0864,19.8415,0.0,
1956.01036,-18.80964,-10.9457,4.2761,-0.2206,0.0862,19.8415,0.0,
1956.03119,-18.78881,-9.0454,4.2798,-0.1823,0.0863,19.8415,0.0,
1956.05203,-18.76797,-16.7812,4.2796,-0.3383,0.0863,19.8415,0.0,
1956.07286,-18.74714,-9.2468,4.2657,-0.1864,0.0860,19.8415,0.0,
1956.09369,-18.72631,-4.2373,4.2633,-0.0854,0.0859,19.8415,0.0,
1956.11453,-18.70547,-3.8155,4.2739,-0.0769,0.0862,19.8415,0.0,
1956.13536,-18.68464,-9.1313,4.2726,-0.1841,0.0861,19.8415,0.0,
1956.15619,-18.66381,-9.6562,4.2918,-0.1947,0.0865,19.8415,0.0,
1956.17702,-18.64298,-11.5497,4.2638,-0.2328,0.0860,19.8415,0.0,
1956.19786,-18.62214,-10.0843,4.2693,-0.2033,0.0861,19.8415,0.0,
1956.21869,-18.60131,-6.9976,4.2741,-0.1411,0.0862,19.8415,0.0,
1956.23952,-18.58048,-5.3068,4.3047,-0.1070,0.0868,19.8415,0.0,
1956.26036,-18.55964,-4.9193,4.2772,-0.0992,0.0862,19.8415,0.0,
1956.28119,-18.53881,-3.1705,4.2982,-0.0639,0.0866,19.8415,0.0,
1956.30202,-18.51798,-14.7753,4.2740,-0.2978,0.0862,19.8415,0.0,
1956.32286,-18.49714,-14.5966,4.2886,-0.2942,0.0865,19.8415,0.0,
1956.34369,-18.47631,0.4137,4.3235,0.0083,0.0872,19.8415,0.0,
1956.36452,-18.45548,-10.8952,4.4325,-0.2196,0.0894,19.8415,0.0,
1956.38535,-18.43465,0.6763,4.5260,0.0136,0.0912,19.8415,0.0,
1956.40619,-18.41381,-1.2420,4.5740,-0.0250,0.0922,19.8415,0.0,
1956.42702,-18.39298,-8.1848,4.7966,-0.1650,0.0967,19.8415,0.0,
1956.44785,-18.37215,-2.9596,4.9889,-0.0597,0.1006,19.8415,0.0,
1956.46869,-18.35131,-8.8312,4.8251,-0.1780,0.0973,19.8415,0.0,
1956.48952,-18.33048,-18.8739,4.8390,-0.3805,0.0975,19.8415,0.0,
1956.51035,-18.30965,3.7617,5.1458,0.0758,0.1037,19.8415,0.0,
1956.53119,-18.28881,2.1942,5.4192,0.0442,0.1092,19.8415,0.0,
1956.55202,-18.26798,2.4809,5.2455,0.0500,0.1057,19.8415,0.0,
1956.57285,-18.24715,6.8114,5.3315,0.1373,0.1075,19.5497,0.8498,0.0
1956.59368,-18.22632,-7.2592,5.5124,-0.1463,0.1111,19.8415,0.0,
1956.61452,-18.20548,13.9293,5.5182,0.2808,0.1112,18.7730,0.4301,0.0
1956.63535,-18.18465,2.1077,5.5347,0.0425,0.1116,19.8415,0.0,
1956.65618,-18.16382,20.1327,5.7949,0.4058,0.1168,18.3730,0.3125,0.0
1956.67702,-18.14298,27.5470,5.8165,0.5553,0.1173,18.0326,0.2293,0.0
1956.69785,-18.12215,27.3381,5.7779,0.5511,0.1165,18.0409,0.2295,0.0
1956.71868,-18.10132,21.9228,5.8902,0.4419,0.1187,18.2806,0.2917,0.0
1956.73952,-18.08048,28.5473,5.9020,0.5755,0.1190,17.9939,0.2245,0.0
