BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.80521,-13.04479,-3.3782,4.2618,-0.5386,0.6795,20.1729,,
1955.82604,-13.02396,-3.5411,4.2746,-0.5646,0.6815,20.1729,,
1955.84687,-13.00313,-4.0997,4.2620,-0.6536,0.6795,20.1729,,
1955.86771,-12.98229,-9.9581,4.2467,-1.5876,0.6771,20.1729,,
1955.88854,-12.96146,-5.2829,4.2514,-0.8423,0.6778,20.1729,,
1955.90937,-12.94063,-8.3773,4.2522,-1.3356,0.6779,20.1729,,
1955.93021,-12.91979,-6.4805,4.2522,-1.0332,0.6779,20.1729,,
1955.95104,-12.89896,-11.8577,4.2609,-1.8905,0.6793,20.1729,,
1955.97187,-12.87813,-5.2761,4.2867,-0.8412,0.6834,20.1729,,
1955.99271,-12.85729,-7.5437,4.2666,-1.2027,0.6802,20.1729,,
1956.01354,-12.83646,-6.1447,4.2593,-0.9797,0.6791,20.1729,,
1956.03437,-12.81563,-8.1792,4.2686,-1.3040,0.6806,20.1729,,
1956.05521,-12.79479,-11.3915,4.2699,-1.8162,0.6808,20.1729,,
1956.07604,-12.77396,-3.2700,4.2660,-0.5213,0.6801,20.1729,,
1956.09687,-12.75313,-15.2282,4.2677,-2.4279,0.6804,20.1729,,
1956.11771,-12.73229,-5.0890,4.2766,-0.8114,0.6818,20.1729,,
1956.13854,-12.71146,-4.9452,4.2934,-0.7884,0.6845,20.1729,,
1956.15937,-12.69063,2.3362,4.2963,0.3725,0.6850,20.1729,,
1956.18021,-12.66979,0.6783,4.2768,0.1081,0.6819,20.1729,,
1956.20104,-12.64896,-11.9058,4.2740,-1.8982,0.6814,20.1729,,
1956.22187,-12.62813,-4.6107,4.2800,-0.7351,0.6824,20.1729,,
1956.24271,-12.60729,-4.6266,4.2827,-0.7376,0.6828,20.1729,,
1956.26354,-12.58646,0.3163,4.2802,0.0504,0.6824,20.1729,,
1956.28437,-12.56563,-3.2845,4.3152,-0.5237,0.6880,20.1729,,
1956.30521,-12.54479,4.0411,4.3751,0.6443,0.6975,20.1166,1.1755,
1956.32604,-12.52396,0.1675,4.4566,0.0267,0.7105,20.1729,,
1956.34687,-12.50313,0.1818,4.5985,0.0290,0.7332,20.1729,,
1956.36771,-12.48229,-15.5605,4.7007,-2.4809,0.7494,20.1729,,
1956.38854,-12.46146,-13.4915,4.8003,-2.1510,0.7653,20.1729,,
1956.40937,-12.44063,-15.5717,4.9062,-2.4826,0.7822,20.1729,,
1956.43021,-12.41979,-15.1938,5.0161,-2.4224,0.7997,20.1729,,
1957.88853,-10.96147,34.5133,6.3595,5.5026,1.0139,17.7878,0.2001,
1957.90937,-10.94063,29.9234,6.3660,4.7708,1.0150,17.9428,0.2310,
1957.97187,-10.87813,33.7109,6.3671,5.3746,1.0151,17.8134,0.2051,
1957.99270,-10.85730,23.3720,6.3447,3.7263,1.0115,18.2111,0.2947,
1958.03437,-10.81563,29.9301,6.2872,4.7718,1.0024,17.9425,0.2281,
1958.05520,-10.79480,25.2587,6.2429,4.0271,0.9953,18.1268,0.2683,
1958.09687,-10.75313,-4.4235,6.1703,-0.7053,0.9838,20.1729,,
1958.13853,-10.71147,12.1589,6.1223,1.9385,0.9761,18.9206,0.5467,
1958.15937,-10.69063,12.0070,6.1083,1.9143,0.9739,18.9342,0.5523,
1958.18020,-10.66980,34.8245,6.0873,5.5522,0.9705,17.7781,0.1898,
1958.20103,-10.64897,3.9529,6.0775,0.6302,0.9689,20.1405,1.6693,
1958.22186,-10.62814,6.5028,6.0696,1.0368,0.9677,19.6001,1.0134,
1958.24270,-10.60730,18.9080,6.0575,3.0145,0.9658,18.4412,0.3478,
1958.26353,-10.58647,20.6036,6.0376,3.2849,0.9626,18.3479,0.3182,
1958.28436,-10.56564,20.2009,6.0208,3.2207,0.9599,18.3694,0.3236,
1958.32603,-10.52397,4.9645,5.9495,0.7915,0.9486,19.8931,1.3012,
1958.34686,-10.50314,-0.3672,5.9190,-0.0585,0.9437,20.1729,,
1958.36770,-10.48230,4.3188,5.8587,0.6886,0.9341,20.0444,1.4729,
1958.38853,-10.46147,-3.4233,5.8093,-0.5458,0.9262,20.1729,,
1958.40936,-10.44064,2.2246,5.7919,0.3547,0.9234,20.1729,,
1958.43020,-10.41980,7.6903,5.7741,1.2261,0.9206,19.4179,0.8152,
1958.45103,-10.39897,3.9421,5.6948,0.6285,0.9079,20.1435,1.5685,
1958.51353,-10.33647,10.3295,5.7028,1.6469,0.9092,19.0976,0.5994,
1958.57603,-10.27397,13.3709,5.7368,2.1318,0.9146,18.8174,0.4658,
1959.05520,-9.79480,11.5611,5.7466,1.8432,0.9162,18.9753,0.5397,
1959.07603,-9.77397,16.3679,5.7249,2.6096,0.9127,18.5978,0.3798,
1959.11770,-9.73230,14.4145,5.6477,2.2981,0.9004,18.7358,0.4254,
1959.15936,-9.69064,7.3880,5.5494,1.1779,0.8848,19.4615,0.8155,
1959.18020,-9.66980,10.0551,5.5464,1.6031,0.8843,19.1268,0.5989,
1959.20103,-9.64897,-2.9420,5.5265,-0.4691,0.8811,20.1729,,
1959.22186,-9.62814,-2.9738,5.5052,-0.4741,0.8777,20.1729,,
1959.26353,-9.58647,6.5649,5.4708,1.0467,0.8722,19.5897,0.9048,
1959.28436,-9.56564,-4.4299,5.4618,-0.7063,0.8708,20.1729,,
1959.32603,-9.52397,-2.1710,5.4162,-0.3461,0.8635,20.1729,,
1959.34686,-9.50314,-2.9185,5.3690,-0.4653,0.8560,20.1729,,
