BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1969.39888,0.54888,0.99303,1.22741,0.15834,0.19569,19.93830,0.33872,
1969.65929,0.80929,0.71093,1.17636,0.11335,0.18755,20.07469,0.47918,
1969.91971,1.06971,3.57077,1.25818,0.56929,0.20059,19.99450,0.37734,
1970.09679,1.24679,-4.45450,2.90612,-0.71020,0.46335,20.07413,1.06450,
1972.78425,3.93425,19.96590,5.67720,3.18320,0.90510,18.38210,0.30870,
1972.92250,4.07250,8.92949,1.72350,1.42365,0.27479,19.31715,0.24922,
1973.19397,4.34397,5.28688,2.25639,0.84292,0.35974,19.62248,0.36007,
1973.36757,4.51757,8.42281,2.02660,1.34287,0.32311,19.34477,0.21516,
1973.74257,4.89257,8.83508,2.68083,1.40860,0.42742,19.35207,0.32447,
1973.91965,5.06965,9.32563,1.54610,1.48680,0.24650,19.31275,0.20845,
1974.16964,5.31964,4.71274,1.51995,0.75138,0.24233,19.83722,0.36204,
1974.41964,5.56964,1.39075,1.48321,0.22173,0.23647,19.84786,0.35574,
1974.66964,5.81964,5.30384,1.48545,0.84561,0.23683,19.61596,0.26722,
1974.91963,6.06963,4.44418,1.49865,0.70856,0.23893,19.67549,0.26947,
1975.16963,6.31963,0.07688,1.47289,0.01225,0.23483,19.95747,0.37886,
1975.41963,6.56963,5.50085,1.43739,0.87701,0.22917,19.65449,0.29313,
1975.66962,6.81962,1.08146,1.47089,0.17242,0.23451,19.97704,0.42578,
1975.91962,7.06962,-3.26666,1.48519,-0.52081,0.23679,20.16343,1.30150,
1976.16962,7.31961,1.31734,1.46456,0.21003,0.23350,19.98067,0.43402,
1976.41961,7.56961,5.41365,1.42538,0.86310,0.22725,19.61755,0.26655,
1976.66961,7.81961,3.55064,1.44215,0.56609,0.22992,19.89738,0.35288,
1976.91960,8.06960,2.27098,1.46630,0.36207,0.23377,20.05474,0.54383,
1977.19043,8.34043,7.30424,1.58167,1.16454,0.25217,19.45664,0.23699,
1977.41960,8.56960,6.39286,1.40630,1.01924,0.22421,19.56049,0.25078,
1977.66959,8.81959,2.31482,1.43004,0.36906,0.22799,20.01341,0.47050,
1977.91959,9.06959,2.33388,1.44434,0.37209,0.23027,19.99817,0.48205,
1978.16958,9.31958,8.39805,1.44326,1.33892,0.23010,19.39955,0.22793,
1978.41958,9.56958,3.70792,1.42214,0.59117,0.22674,19.85490,0.30850,
1978.66958,9.81958,3.28959,1.43457,0.52447,0.22872,20.00112,0.48112,
1978.91957,10.06957,2.99108,1.44555,0.47687,0.23047,19.81803,0.29702,
1979.16957,10.31957,2.57179,1.45472,0.41003,0.23193,19.86603,0.38014,
1979.41956,10.56956,3.98495,1.43093,0.63534,0.22814,19.82466,0.36308,
1979.66956,10.81956,3.07237,1.42763,0.48984,0.22761,19.90221,0.40090,
1979.91955,11.06955,3.82459,1.44560,0.60977,0.23048,19.76922,0.30756,
1980.16955,11.31955,10.50908,1.43776,1.67548,0.22922,19.21512,0.19745,
1980.41954,11.56954,7.83469,1.42743,1.24909,0.22758,19.45519,0.21997,
1980.66954,11.81954,6.58097,1.41837,1.04922,0.22613,19.49187,0.22661,
1980.91954,12.06954,7.75115,1.43924,1.23579,0.22946,19.41367,0.23634,
1981.16953,12.31953,10.53122,1.42857,1.67902,0.22776,19.19430,0.18212,
1981.41953,12.56953,9.69691,1.41084,1.54600,0.22493,19.33642,0.22148,
1981.66952,12.81952,4.98317,1.37144,0.79449,0.21866,19.67632,0.29982,
1981.91952,13.06952,2.86138,1.28852,0.45621,0.20543,19.95243,0.42818,
1982.15910,13.30910,4.30962,1.26749,0.68710,0.20208,19.87576,0.32172,
