BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1816.09441,-24.07559,-2.6480,12.7364,-0.0113,0.0542,18.3154,0.0,
1816.11524,-24.05476,3.3941,12.8691,0.0144,0.0548,18.3154,0.0,
1816.13607,-24.03393,10.8860,12.8890,0.0463,0.0548,18.3154,0.0,
1816.15691,-24.01309,2.0241,12.9127,0.0086,0.0550,18.3154,0.0,
1816.17774,-23.99226,9.8166,12.9346,0.0418,0.0550,18.3154,0.0,
1816.19857,-23.97143,0.5458,12.6929,0.0023,0.0540,18.3154,0.0,
1816.21941,-23.95059,-2.8326,12.6738,-0.0121,0.0539,18.3154,0.0,
1816.24024,-23.92976,7.0312,12.6734,0.0299,0.0539,18.3154,0.0,
1816.26108,-23.90892,25.4329,12.6737,0.1082,0.0539,18.1193,0.5410,0.0
1816.28191,-23.88809,7.2953,12.8422,0.0310,0.0547,18.3154,0.0,
1816.30274,-23.86726,-4.6587,12.8483,-0.0198,0.0547,18.3154,0.0,
1816.32358,-23.84642,14.4218,12.7167,0.0614,0.0541,18.3154,0.0,
1816.34441,-23.82559,0.4215,12.8968,0.0018,0.0549,18.3154,0.0,
1816.36524,-23.80476,11.7805,12.9077,0.0501,0.0549,18.3154,0.0,
1816.40691,-23.76309,11.6467,12.7582,0.0496,0.0543,18.3154,0.0,
1816.42774,-23.74226,5.8550,12.5836,0.0249,0.0536,18.3154,0.0,
1816.44858,-23.72142,-0.6541,12.8236,-0.0028,0.0546,18.3154,0.0,
1816.51108,-23.65892,8.5974,12.6246,0.0366,0.0537,18.3154,0.0,
1816.53191,-23.63809,17.0874,12.5733,0.0727,0.0535,18.3154,0.0,
1816.55274,-23.61726,8.4579,12.8356,0.0360,0.0546,18.3154,0.0,
1816.61525,-23.55475,4.8943,12.8730,0.0208,0.0548,18.3154,0.0,
1816.63608,-23.53392,13.9150,12.6517,0.0592,0.0538,18.3154,0.0,
1816.65691,-23.51309,9.5898,12.7343,0.0408,0.0542,18.3154,0.0,
1816.67775,-23.49225,-5.3145,12.7487,-0.0226,0.0543,18.3154,0.0,
1816.69858,-23.47142,-9.8604,12.7565,-0.0420,0.0543,18.3154,0.0,
1816.71941,-23.45059,-12.3429,12.8034,-0.0525,0.0545,18.3154,0.0,
1816.74025,-23.42975,11.8453,12.6481,0.0504,0.0538,18.3154,0.0,
1816.78191,-23.38809,-4.6736,12.7230,-0.0199,0.0541,18.3154,0.0,
1816.80275,-23.36725,0.7103,12.7088,0.0030,0.0541,18.3154,0.0,
1816.82358,-23.34642,13.9774,12.6976,0.0595,0.0540,18.3154,0.0,
1816.84441,-23.32559,14.8440,12.6972,0.0632,0.0540,18.3154,0.0,
1816.86525,-23.30475,-4.9999,12.7780,-0.0213,0.0544,18.3154,0.0,
1816.90691,-23.26309,-16.1503,13.3637,-0.0687,0.0569,18.3154,0.0,
1816.92775,-23.24225,-1.2929,13.3120,-0.0055,0.0566,18.3154,0.0,
1816.99025,-23.17975,17.7657,12.8168,0.0756,0.0545,18.3154,0.0,
1817.01108,-23.15892,6.4122,12.8319,0.0273,0.0546,18.3154,0.0,
1817.03192,-23.13808,18.0736,12.8107,0.0769,0.0545,18.3154,0.0,
1817.05275,-23.11725,-3.2196,12.9108,-0.0137,0.0549,18.3154,0.0,
1817.07358,-23.09642,3.8068,12.9402,0.0162,0.0551,18.3154,0.0,
1817.09442,-23.07558,4.7428,12.9056,0.0202,0.0549,18.3154,0.0,
1817.11525,-23.05475,24.9157,12.8469,0.1060,0.0547,18.1416,0.5598,0.0
1817.13608,-23.03392,-8.0845,12.6714,-0.0344,0.0539,18.3154,0.0,
1817.15692,-23.01308,-17.7371,12.9408,-0.0755,0.0551,18.3154,0.0,
1817.17775,-22.99225,9.4887,12.7116,0.0404,0.0541,18.3154,0.0,
1817.19858,-22.97142,-10.4970,12.7625,-0.0447,0.0543,18.3154,0.0,
1817.21942,-22.95058,2.9003,12.7301,0.0123,0.0542,18.3154,0.0,
1817.24025,-22.92975,-1.0407,12.7167,-0.0044,0.0541,18.3154,0.0,
1817.26108,-22.90892,-2.7035,12.8029,-0.0115,0.0545,18.3154,0.0,
1817.28192,-22.88808,9.7292,12.7921,0.0414,0.0544,18.3154,0.0,
1817.32358,-22.84642,-8.8030,12.8373,-0.0375,0.0546,18.3154,0.0,
1817.34442,-22.82558,-12.5242,12.8458,-0.0533,0.0547,18.3154,0.0,
1817.36525,-22.80475,-22.1573,12.8389,-0.0943,0.0546,18.3154,0.0,
1817.38609,-22.78391,-19.1292,13.1254,-0.0814,0.0559,18.3154,0.0,
1817.40692,-22.76308,-20.0327,13.0934,-0.0853,0.0557,18.3154,0.0,
1817.42775,-22.74225,-12.5334,12.7511,-0.0533,0.0543,18.3154,0.0,
1817.44859,-22.72141,-7.0311,12.7938,-0.0299,0.0544,18.3154,0.0,
1817.46942,-22.70058,5.7407,12.8019,0.0244,0.0545,18.3154,0.0,
1817.49025,-22.67975,-2.9040,12.7773,-0.0124,0.0544,18.3154,0.0,
1817.51109,-22.65891,1.2620,12.7972,0.0054,0.0545,18.3154,0.0,
1817.53192,-22.63808,-9.7071,12.7228,-0.0413,0.0541,18.3154,0.0,
