BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1983.65991,-2.16009,0.7705,1.1411,0.1237,0.1833,20.2810,,
1983.70160,-2.11840,-1.6572,1.1858,-0.2661,0.1904,20.2810,,
1983.72241,-2.09759,-1.9948,1.2980,-0.3204,0.2085,20.2810,,
1983.74323,-2.07677,1.0951,1.2610,0.1759,0.2025,20.2810,,
1983.76410,-2.05590,1.5058,1.2496,0.2418,0.2007,19.9956,0.9010,
1983.78491,-2.03509,3.2285,1.3842,0.5185,0.2223,19.1675,0.4655,
1983.80573,-2.01427,-0.0661,1.3232,-0.0106,0.2125,20.2810,,
1983.82660,-1.99340,-4.0529,1.2754,-0.6509,0.2048,20.2810,,
1983.84741,-1.97259,-3.1115,1.2522,-0.4997,0.2011,20.2810,,
1983.86823,-1.95177,-1.3208,1.3799,-0.2121,0.2216,20.2810,,
1983.88910,-1.93090,-1.7712,1.3619,-0.2844,0.2187,20.2810,,
1983.90991,-1.91009,0.4718,1.5298,0.0758,0.2457,20.2810,,
1983.93073,-1.88927,0.2334,1.2706,0.0375,0.2041,20.2810,,
1983.95160,-1.86840,-0.9715,1.6198,-0.1560,0.2601,20.2810,,
1983.97241,-1.84759,1.1385,1.4287,0.1828,0.2294,20.2810,,
1983.99323,-1.82677,1.4475,1.5254,0.2325,0.2450,20.0385,1.1442,
1984.01410,-1.80590,0.3788,1.4391,0.0608,0.2311,20.2810,,
1984.03491,-1.78509,4.3771,1.3725,0.7030,0.2204,18.8370,0.3404,
1984.05573,-1.76427,-0.5754,1.5992,-0.0924,0.2568,20.2810,,
1984.07660,-1.74340,-1.4148,1.4900,-0.2272,0.2393,20.2810,,
1984.09741,-1.72259,0.1133,1.4243,0.0182,0.2287,20.2810,,
1984.11823,-1.70177,2.2994,1.2901,0.3693,0.2072,19.5360,0.6092,
1984.13910,-1.68090,0.7221,1.4352,0.1160,0.2305,20.2810,,
