BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1985.94116,0.12116,-0.64096,0.66642,-0.10293,0.10702,20.13156,0.71277,
1986.18075,0.36075,-1.44240,0.67891,-0.23165,0.10903,19.98353,0.62764,
1986.44116,0.62116,0.92219,0.60229,0.14810,0.09672,19.80977,0.35297,
1986.70158,0.88158,1.08612,0.70805,0.17441,0.11371,19.63332,0.37911,
1986.95158,1.13158,0.30878,0.84063,0.04959,0.13500,19.90998,0.69020,
1987.19116,1.37116,0.34313,0.72493,0.05511,0.11642,19.89973,0.35308,
1987.44116,1.62116,1.65244,0.67752,0.26537,0.10881,19.66907,0.40297,
1987.69116,1.87116,2.33842,0.77568,0.37553,0.12457,19.51958,0.44997,
1987.94116,2.12116,0.91495,0.84017,0.14693,0.13493,19.56169,0.42017,
1988.19116,2.37116,0.87610,0.72104,0.14070,0.11579,19.74307,0.38723,
1988.45156,2.63156,1.12708,0.62291,0.18101,0.10004,19.63489,0.31536,
1988.71196,2.89196,-0.48917,0.75586,-0.07854,0.12139,19.96236,0.54345,
1988.96196,3.14196,-1.29972,0.74104,-0.20873,0.11900,20.12943,0.41100,
1989.22237,3.40237,0.41636,0.79633,0.06686,0.12789,19.79707,0.47055,
1989.46196,3.64196,2.81822,0.62904,0.45260,0.10102,19.49295,0.30050,
1989.71196,3.89196,0.57003,0.68933,0.09155,0.11071,19.88020,0.44893,
1989.96196,4.14196,0.66888,0.70567,0.10742,0.11333,19.69257,0.36043,
1990.21196,4.39196,3.00857,0.62904,0.48317,0.10102,19.29025,0.22970,
1990.46196,4.64196,1.20104,0.56115,0.19287,0.09012,19.56840,0.28258,
1990.71196,4.89196,1.50374,0.63868,0.24149,0.10257,19.53837,0.27792,
1990.96101,5.14101,1.76174,0.64542,0.28293,0.10365,19.58293,0.30187,
1991.21196,5.39196,2.11357,0.56963,0.33942,0.09148,19.52713,0.31000,
1991.46196,5.64196,1.57122,0.56013,0.25233,0.08995,19.75658,0.37617,
1991.71196,5.89196,2.91050,0.57923,0.46743,0.09302,19.36814,0.28876,
1991.96196,6.14196,3.46315,0.52670,0.55617,0.08459,19.22536,0.24395,
1992.21196,6.39196,2.31394,0.48379,0.37162,0.07770,19.49840,0.24031,
1992.46196,6.64196,1.49561,0.48384,0.24019,0.07770,19.88587,0.33619,
1992.71859,6.89859,4.00865,0.54684,0.64377,0.08782,19.07781,0.20152,
1992.96196,7.14196,3.13765,0.49259,0.50390,0.07911,19.36218,0.16431,
1993.21196,7.39196,2.33503,0.46954,0.37500,0.07540,19.58026,0.29868,
1993.46196,7.64196,3.73883,0.44583,0.60044,0.07159,19.14822,0.17722,
1993.71196,7.89196,3.29712,0.46226,0.52951,0.07424,19.22772,0.17050,
1993.96196,8.14196,3.57043,0.44330,0.57339,0.07119,19.15829,0.15586,
1994.21196,8.39196,3.87254,0.43181,0.62191,0.06935,19.09149,0.17731,
1994.46196,8.64196,3.52456,0.40637,0.56604,0.06526,19.16787,0.14474,
1994.71196,8.89196,3.35430,0.40774,0.53868,0.06548,19.25293,0.13579,
1994.96196,9.14196,3.24518,0.36111,0.52118,0.05799,19.29212,0.14782,
1995.21196,9.39196,3.10318,0.33141,0.49836,0.05322,19.27235,0.14508,
1995.46859,9.64859,4.21490,0.29018,0.67690,0.04660,18.99869,0.10407,
1995.59735,9.77735,3.13940,0.91970,0.50420,0.14770,19.19790,0.31810,
1997.00358,11.18358,3.26755,0.47913,0.52474,0.07695,19.30436,0.17819,
1997.21191,11.39191,2.74372,0.42856,0.44064,0.06883,19.37315,0.19771,
1997.46191,11.64191,3.62974,0.43747,0.58293,0.07025,19.13239,0.14126,
1997.71191,11.89191,3.29890,0.49755,0.52982,0.07990,19.26483,0.20836,
1997.96191,12.14191,3.09313,0.51439,0.49675,0.08261,19.23014,0.19817,
1998.21191,12.39191,2.68478,0.53204,0.43117,0.08544,19.47453,0.26118,
1998.46191,12.64191,4.72905,0.51746,0.75947,0.08310,18.88358,0.15612,
1998.71191,12.89191,3.53939,0.58039,0.56840,0.09321,19.21378,0.26844,
1998.96187,13.14187,4.86282,0.61897,0.78093,0.09940,18.84226,0.13605,
1999.21187,13.39187,3.38201,0.65795,0.54312,0.10566,19.26373,0.20388,
1999.46187,13.64187,2.84296,0.59895,0.45656,0.09618,19.24803,0.19512,
1999.71187,13.89187,4.28547,0.75249,0.68821,0.12085,19.04413,0.24608,
1999.96187,14.14187,3.99742,0.83953,0.64196,0.13482,19.10137,0.26537,
2000.21187,14.39187,4.09832,0.78829,0.65814,0.12659,19.08358,0.35276,
2000.46187,14.64187,4.17506,0.72699,0.67049,0.11675,18.95807,0.21393,
2000.71187,14.89187,2.80873,0.79555,0.45107,0.12776,19.25392,0.35102,
2000.96187,15.14187,2.39430,0.86766,0.38452,0.13934,19.53712,0.50298,
2001.21187,15.39187,4.73514,0.77596,0.76043,0.12462,18.93312,0.29764,
2001.46186,15.64186,4.44620,0.72330,0.71403,0.11616,19.03928,0.26550,
2001.71183,15.89183,4.90468,0.79777,0.78767,0.12812,18.84144,0.20654,
2001.96183,16.14183,5.11184,0.79502,0.82093,0.12768,18.84677,0.24267,
2002.21183,16.39183,4.87024,0.75634,0.78213,0.12146,19.00320,0.31470,
2002.46183,16.64183,4.60316,0.70744,0.73923,0.11361,18.89926,0.18029,
2002.71183,16.89183,5.32242,0.73711,0.85476,0.11838,18.75656,0.15428,
2002.96183,17.14183,5.55787,0.77157,0.89256,0.12391,18.85070,0.19074,
2003.20836,17.38836,4.41879,0.84074,0.70966,0.13501,18.97756,0.24937,
2003.46183,17.64183,5.94990,0.67712,0.95554,0.10874,18.62519,0.15137,
2003.71183,17.89183,4.42876,0.70512,0.71124,0.11323,19.10210,0.30227,
2003.96182,18.14182,4.95078,0.69552,0.79507,0.11170,18.98483,0.14140,
2004.21179,18.39179,5.62248,0.67345,0.90294,0.10815,18.69206,0.14623,
2004.46179,18.64179,4.66254,0.62425,0.74878,0.10025,18.86235,0.17467,
2004.71179,18.89179,5.65960,0.63302,0.90892,0.10166,18.73148,0.17644,
2004.96179,19.14179,5.38404,0.63255,0.86466,0.10158,18.80012,0.24319,
2005.21179,19.39179,5.04142,0.62544,0.80963,0.10045,18.80572,0.17843,
2005.46179,19.64179,4.84733,0.58197,0.77847,0.09346,18.88512,0.22027,
2005.71179,19.89179,5.74536,0.58267,0.92269,0.09358,18.69518,0.15218,
2005.96179,20.14179,6.38836,0.61294,1.02595,0.09843,18.56945,0.12319,
2006.21179,20.39179,6.00157,0.56514,0.96383,0.09076,18.64883,0.13470,
2006.46176,20.64176,5.75315,0.53954,0.92393,0.08665,18.65592,0.14520,
2006.71175,20.89175,6.21573,0.59084,0.99821,0.09489,18.51608,0.11618,
2006.96175,21.14175,7.39787,0.59465,1.18806,0.09550,18.38537,0.14360,
2007.21175,21.39175,5.84427,0.56316,0.93856,0.09044,18.66226,0.15460,
2007.46175,21.64175,6.65285,0.50730,1.06842,0.08147,18.47484,0.11473,
2007.71838,21.89838,5.69167,0.54941,0.91405,0.08823,18.63898,0.13292,
2007.96175,22.14175,6.80196,0.52587,1.09237,0.08445,18.52713,0.13868,
2008.21175,22.39175,6.10862,0.44152,0.98101,0.07090,18.57883,0.10810,
2008.46175,22.64175,5.49900,0.41349,0.88311,0.06640,18.64416,0.09241,
2008.71173,22.89172,5.22032,0.34595,0.83836,0.05556,18.70143,0.08932,
2008.96171,23.14171,7.15516,0.30849,1.14909,0.04954,18.33102,0.05008,
2009.19088,23.37087,6.40732,0.33168,1.02899,0.05326,18.46134,0.06229,
