BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1846.27296,0.12296,0.14806,1.27833,0.01888,0.16305,20.27408,0.56315,
1846.52296,0.37296,-0.45929,1.28660,-0.05858,0.16411,20.24198,0.50233,
1846.77296,0.62296,-0.85574,1.28225,-0.10916,0.16355,20.37262,1.18420,
1847.02297,0.87297,0.11307,1.28388,0.01442,0.16376,20.34053,0.86431,
1847.27297,1.12297,0.78143,1.30454,0.09966,0.16639,20.23963,0.53925,
1847.52297,1.37297,0.89382,1.31045,0.11401,0.16715,20.19368,0.47751,
1847.77297,1.62297,4.34343,1.33079,0.55400,0.16974,20.01827,0.32562,
1848.04381,1.89381,3.05195,1.43767,0.38927,0.18338,20.06320,0.33261,
1848.27298,2.12298,0.53422,1.31099,0.06813,0.16722,20.34989,0.91313,
1848.52203,2.37203,1.20596,1.38411,0.15382,0.17654,20.19980,0.52955,
1848.77298,2.62298,0.90153,1.30301,0.11499,0.16620,20.29801,0.63071,
1849.02298,2.87298,1.95744,1.28614,0.24967,0.16405,20.20241,0.48136,
1849.27299,3.12299,2.46530,1.29767,0.31444,0.16552,20.12768,0.45531,
1849.52299,3.37299,1.25733,1.28948,0.16037,0.16447,20.25008,0.55524,
1849.77299,3.62299,2.69393,1.29749,0.34360,0.16550,20.11505,0.37010,
1850.02299,3.87299,4.55617,1.30264,0.58115,0.16615,19.84717,0.27085,
1850.27299,4.12299,3.78576,1.30557,0.48288,0.16652,19.94963,0.34058,
1850.52300,4.37300,3.15781,1.30840,0.40276,0.16688,20.02787,0.38423,
1850.77300,4.62300,2.18372,1.30010,0.27853,0.16583,20.02068,0.30996,
1851.02300,4.87300,1.28029,1.29853,0.16329,0.16563,20.18228,0.43110,
1851.27300,5.12300,3.02113,1.28800,0.38534,0.16428,20.08223,0.37996,
1851.52300,5.37300,3.32455,1.27306,0.42405,0.16238,19.98791,0.33754,
1851.77301,5.62301,2.95898,1.25741,0.37743,0.16039,20.10330,0.40476,
1852.02301,5.87301,4.06157,1.25701,0.51803,0.16033,19.96735,0.30925,
1852.27301,6.12301,1.52074,1.28236,0.19396,0.16356,20.08432,0.37170,
1852.52301,6.37301,5.91352,1.30373,0.75427,0.16629,19.73301,0.26083,
1852.77301,6.62301,2.85028,1.29748,0.36356,0.16549,20.05004,0.34225,
1853.02301,6.87301,4.77253,1.30262,0.60873,0.16615,19.90070,0.32176,
1853.26885,7.11885,4.00899,1.43392,0.51135,0.18289,20.02858,0.39530,
1853.52302,7.37302,4.51830,1.33044,0.57631,0.16970,19.92939,0.33838,
1853.77302,7.62302,6.52603,1.30580,0.83239,0.16656,19.65436,0.26970,
1854.02302,7.87302,6.26672,1.30242,0.79931,0.16612,19.70078,0.24400,
1854.27302,8.12302,8.18097,1.30946,1.04348,0.16702,19.42437,0.21398,
1854.52302,8.37302,6.78114,1.33859,0.86492,0.17073,19.63642,0.26865,
1854.74177,8.59177,4.89561,1.60582,0.62443,0.20483,19.93358,0.40784,
1858.06818,11.91818,0.29387,2.99130,0.03747,0.38153,20.39670,,
1858.30726,12.15726,5.20397,1.90418,0.66377,0.24288,19.81410,0.41224,
1858.50336,12.35336,5.83793,1.60945,0.74463,0.20528,19.77237,0.41635,
1858.77304,12.62304,7.60941,1.35667,0.97056,0.17304,19.54542,0.23584,
1859.02304,12.87304,3.43060,1.36246,0.43757,0.17378,20.01652,0.35805,
1859.27304,13.12304,8.66212,1.35089,1.10484,0.17231,19.33175,0.17930,
1859.52304,13.37304,5.53645,1.33865,0.70618,0.17074,19.64120,0.25508,
1859.77304,13.62304,7.21035,1.31369,0.91966,0.16756,19.56513,0.23451,
1860.02304,13.87304,9.67617,1.30665,1.23419,0.16666,19.21322,0.16646,
1860.27304,14.12304,5.66652,1.32045,0.72277,0.16842,19.75547,0.25146,
1860.52304,14.37304,8.69844,1.30807,1.10947,0.16684,19.32546,0.18181,
1860.77304,14.62304,7.33444,1.32550,0.93551,0.16906,19.60730,0.27436,
1861.02304,14.87304,7.52313,1.31717,0.95957,0.16800,19.55778,0.24925,
1861.27304,15.12304,8.38486,1.33351,1.06947,0.17009,19.41065,0.21062,
