BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1985.03044,-10.81956,-0.3461,5.4676,-0.0248,0.3912,20.5932,,
1985.05127,-10.79873,-1.6801,5.4779,-0.1202,0.3920,20.5932,,
1985.07211,-10.77789,-1.4949,5.4643,-0.1070,0.3910,20.5932,,
1985.13461,-10.71539,-3.7543,5.4378,-0.2686,0.3891,20.5932,,
1985.19711,-10.65289,-1.9072,5.3906,-0.1365,0.3857,20.5932,,
1985.25961,-10.59039,-3.9362,5.3867,-0.2817,0.3855,20.5932,,
1985.28044,-10.56956,-1.9845,5.3220,-0.1420,0.3808,20.5932,,
1985.30127,-10.54873,-9.6922,5.3240,-0.6935,0.3810,20.5932,,
1985.32211,-10.52789,-16.4156,5.2210,-1.1747,0.3736,20.5932,,
1985.34294,-10.50706,-0.0411,5.1729,-0.0029,0.3702,20.5932,,
1985.36377,-10.48623,-1.0213,5.0855,-0.0731,0.3639,20.5932,,
1985.38461,-10.46539,-6.6498,5.0255,-0.4758,0.3596,20.5932,,
1985.40544,-10.44456,1.6714,5.0423,0.1196,0.3608,20.5932,,
1985.42627,-10.42373,-8.1002,5.0002,-0.5796,0.3578,20.5932,,
1985.44711,-10.40289,1.6244,4.9716,0.1162,0.3558,20.5932,,
1985.46794,-10.38206,-5.1457,4.8739,-0.3682,0.3488,20.5932,,
1985.48877,-10.36123,-8.3197,4.8644,-0.5953,0.3481,20.5932,,
1985.50961,-10.34039,-7.1123,4.9359,-0.5089,0.3532,20.5932,,
1985.53044,-10.31956,-7.9144,4.9589,-0.5663,0.3549,20.5932,,
1985.55127,-10.29873,-8.9053,5.0003,-0.6372,0.3578,20.5932,,
1985.57211,-10.27789,12.7904,5.0574,0.9153,0.3619,18.8656,0.4293,
1985.59294,-10.25706,-8.1018,5.0416,-0.5797,0.3608,20.5932,,
1985.61377,-10.23623,-7.7476,5.0417,-0.5544,0.3608,20.5932,,
1985.63461,-10.21539,-13.9860,5.0357,-1.0008,0.3603,20.5932,,
1985.65544,-10.19456,-1.4826,5.0484,-0.1061,0.3612,20.5932,,
1985.67627,-10.17373,-6.8937,5.0692,-0.4933,0.3627,20.5932,,
1985.69711,-10.15289,-1.2958,5.0817,-0.0927,0.3636,20.5932,,
1985.71794,-10.13206,-2.6657,5.0486,-0.1908,0.3613,20.5932,,
1985.73878,-10.11122,-10.8383,5.1209,-0.7756,0.3664,20.5932,,
1985.75961,-10.09039,-2.1623,5.0996,-0.1547,0.3649,20.5932,,
1985.78044,-10.06956,-8.0863,5.0869,-0.5786,0.3640,20.5932,,
1985.80128,-10.04872,-6.1166,5.1211,-0.4377,0.3665,20.5932,,
1985.82211,-10.02789,-12.9578,5.2018,-0.9272,0.3722,20.5932,,
1985.84294,-10.00706,-15.7324,5.0943,-1.1258,0.3645,20.5932,,
1985.86378,-9.98622,-9.7437,5.1934,-0.6972,0.3716,20.5932,,
1985.88461,-9.96539,-5.4971,5.1081,-0.3934,0.3655,20.5932,,
1985.90544,-9.94456,-11.7725,5.1505,-0.8424,0.3686,20.5932,,
1985.92628,-9.92372,-2.7950,5.0703,-0.2000,0.3628,20.5932,,
1985.94711,-9.90289,-3.4031,5.1122,-0.2435,0.3658,20.5932,,
1985.96794,-9.88206,-13.0346,5.0648,-0.9327,0.3624,20.5932,,
1985.98878,-9.86122,0.1517,5.0877,0.0109,0.3641,20.5932,,
1986.00961,-9.84039,0.7218,5.0024,0.0517,0.3580,20.5932,,
1986.03044,-9.81956,-4.3135,5.0286,-0.3087,0.3598,20.5932,,
1986.05128,-9.79872,-2.8701,5.0680,-0.2054,0.3627,20.5932,,
1986.07211,-9.77789,-6.3627,5.0793,-0.4553,0.3635,20.5932,,
1986.09294,-9.75706,-0.1521,5.0214,-0.0109,0.3593,20.5932,,
1986.11378,-9.73622,-6.1732,4.9928,-0.4417,0.3573,20.5932,,
