BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1983.65715,-11.28285,-4.7121,5.8609,-0.3975,0.4944,18.9190,,
1983.69881,-11.24119,8.8422,6.3468,0.7459,0.5354,18.9190,,
1983.71965,-11.22035,5.7493,6.6350,0.4850,0.5597,18.9190,,
1983.74048,-11.19952,18.4174,6.7821,1.5536,0.5721,18.4697,0.3998,
1983.76131,-11.17869,1.9730,6.6173,0.1664,0.5582,18.9190,,
1983.78215,-11.15785,8.0679,7.3710,0.6806,0.6218,18.9190,,
1983.80298,-11.13702,-1.5047,7.1805,-0.1269,0.6057,18.9190,,
1983.82381,-11.11619,1.4264,7.4245,0.1203,0.6263,18.9190,,
1983.84465,-11.09535,-7.0851,7.6486,-0.5977,0.6452,18.9190,,
1983.86548,-11.07452,-0.2680,7.7831,-0.0226,0.6565,18.9190,,
1983.88631,-11.05369,0.1308,7.3904,0.0110,0.6234,18.9190,,
1983.90715,-11.03285,0.5978,7.6714,0.0504,0.6471,18.9190,,
1983.92798,-11.01202,-3.5486,8.3180,-0.2993,0.7017,18.9190,,
1983.94881,-10.99119,4.1423,7.9358,0.3494,0.6694,18.9190,,
1983.96965,-10.97035,-0.2450,8.6208,-0.0207,0.7272,18.9190,,
1983.99048,-10.94952,5.3427,9.3186,0.4507,0.7861,18.9190,,
1984.01131,-10.92869,-0.6077,9.8650,-0.0513,0.8322,18.9190,,
1984.03215,-10.90785,2.7443,9.5136,0.2315,0.8025,18.9190,,
1984.05298,-10.88702,9.3695,9.6071,0.7904,0.8104,18.9190,,
1984.07381,-10.86619,-10.0097,10.3665,-0.8444,0.8745,18.9190,,
1984.09465,-10.84535,3.1944,10.1942,0.2695,0.8599,18.9190,,
1984.11548,-10.82452,-12.9582,10.0228,-1.0931,0.8455,18.9190,,
1984.13631,-10.80369,-24.7113,10.5949,-2.0845,0.8937,18.9190,,
1984.15715,-10.78285,-0.6884,10.8379,-0.0581,0.9142,18.9190,,
1984.17798,-10.76202,-0.5512,10.3733,-0.0465,0.8750,18.9190,,
