BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1995.06343,0.12343,-0.80125,1.52059,-0.06759,0.12827,18.91900,,
1995.31343,0.37343,0.33042,1.44984,0.02788,0.12230,18.91900,,
1995.52176,0.58176,4.15025,1.72553,0.35009,0.14556,18.91900,,
1996.92801,1.98801,1.67960,5.83590,0.14170,0.49230,18.91900,,
1997.06343,2.12343,4.16040,1.88982,0.35096,0.15941,18.91716,0.54020,
1997.31343,2.37343,4.67409,2.47108,0.39428,0.20845,18.87973,0.35119,
1997.56343,2.62343,2.53447,2.88990,0.21379,0.24378,18.89614,0.54829,
1997.81343,2.87343,1.84848,3.21528,0.15593,0.27123,18.88123,0.57602,
1998.06343,3.12343,13.72838,3.34469,1.15807,0.28214,18.68760,0.29791,
1998.31343,3.37343,5.64203,3.16497,0.47594,0.26699,18.88336,0.68640,
1998.56343,3.62343,5.45503,3.00034,0.46017,0.25310,18.86113,0.48850,
1998.81343,3.87343,10.07783,3.17582,0.85011,0.26790,18.80494,0.29936,
1999.06343,4.12343,5.92440,3.16774,0.49976,0.26722,18.81126,0.37860,
1999.31343,4.37343,3.26373,2.99596,0.27533,0.25272,18.91194,0.63004,
1999.56343,4.62343,5.10193,2.98075,0.43037,0.25144,18.87425,0.50170,
1999.81343,4.87343,5.72729,3.08650,0.48313,0.26037,18.84353,0.45569,
2000.06343,5.12343,5.44960,3.06029,0.45972,0.25815,18.88393,0.53507,
2000.31343,5.37343,8.84063,2.84872,0.74576,0.24031,18.85715,0.47510,
2000.56343,5.62343,4.09416,2.71901,0.34537,0.22936,18.91369,0.80100,
2000.81343,5.87343,6.22604,2.90860,0.52521,0.24536,18.86040,0.39713,
2001.06343,6.12343,5.25565,2.90815,0.44333,0.24532,18.88191,0.52747,
2001.31343,6.37343,9.83123,2.84529,0.82932,0.24002,18.71411,0.24782,
2001.56343,6.62343,17.61867,2.68464,1.48623,0.22646,18.52528,0.18474,
2001.81343,6.87343,7.92613,2.77458,0.66862,0.23405,18.89183,0.52323,
2002.06343,7.12343,12.47153,2.68106,1.05203,0.22616,18.72737,0.24104,
2002.31343,7.37343,16.83327,2.58259,1.41997,0.21786,18.52283,0.17723,
2002.56343,7.62343,10.10838,2.42340,0.85270,0.20442,18.81879,0.28435,
2002.81343,7.87343,10.50527,2.46689,0.88619,0.20810,18.83406,0.28673,
2003.06343,8.12343,6.65379,2.34128,0.56129,0.19750,18.85418,0.33835,
2003.34468,8.40468,9.81000,2.51162,0.82752,0.21186,18.83458,0.34060,
2003.56343,8.62343,9.38165,2.05119,0.79138,0.17303,18.81381,0.21489,
2003.81343,8.87343,6.48991,2.15155,0.54747,0.18149,18.89495,0.40100,
2004.06343,9.12343,7.02616,2.05834,0.59269,0.17363,18.88415,0.32970,
2004.31343,9.37343,9.03703,1.94484,0.76233,0.16406,18.90535,0.52860,
