BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1989.05430,0.08430,-4.44709,1.68384,-0.56971,0.21572,19.55850,,
1989.33555,0.36556,-0.62235,1.49878,-0.07973,0.19201,19.53905,0.66150,
1989.58556,0.61556,0.10998,1.52685,0.01408,0.19561,19.55850,,
1989.83557,0.86557,0.87463,1.59585,0.11206,0.20444,19.53037,0.65660,
1990.08557,1.11557,-0.19366,1.55650,-0.02480,0.19940,19.55496,0.84270,
1990.33558,1.36558,1.65981,1.46348,0.21265,0.18748,19.49484,0.42872,
1990.58558,1.61558,5.27989,1.47758,0.67641,0.18930,19.40455,0.26551,
1990.83559,1.86559,3.78653,1.48738,0.48508,0.19055,19.45913,0.31398,
1991.09601,2.12601,7.00469,1.54734,0.89736,0.19823,19.30314,0.23328,
1991.33560,2.36560,7.96624,1.48737,1.02056,0.19055,19.33324,0.24366,
1991.58561,2.61561,5.30338,1.54867,0.67941,0.19840,19.44199,0.31203,
1991.83561,2.86561,5.28326,1.51749,0.67684,0.19441,19.44397,0.30913,
1992.08562,3.11562,5.13096,1.49060,0.65733,0.19096,19.36284,0.24844,
1992.33563,3.36563,9.63436,1.47495,1.23428,0.18895,19.14465,0.16960,
1992.58090,3.61090,7.98382,1.51537,1.02281,0.19414,19.26240,0.22135,
1992.83564,3.86564,6.04343,1.46177,0.77422,0.18727,19.31069,0.22581,
1993.08564,4.11564,7.73318,1.42822,0.99070,0.18297,19.25741,0.19644,
1993.33565,4.36565,9.23392,1.40259,1.18296,0.17968,19.16787,0.17351,
1993.58565,4.61565,9.05700,1.38511,1.16029,0.17745,19.20707,0.17225,
1993.83566,4.86566,5.36520,1.41034,0.68734,0.18068,19.51114,0.35228,
1994.08567,5.11567,9.05690,1.44900,1.16028,0.18563,19.20171,0.18412,
1994.33567,5.36567,10.51235,1.43074,1.34675,0.18329,19.11024,0.16606,
1994.58568,5.61568,9.07091,1.39090,1.16209,0.17819,19.21241,0.18183,
1994.83569,5.86569,8.80062,1.39512,1.12746,0.17873,19.20516,0.18748,
1995.08569,6.11569,8.32259,1.32633,1.06623,0.16991,19.27607,0.19246,
1995.33570,6.36570,6.27033,1.24808,0.80331,0.15989,19.39677,0.22975,
1995.53362,6.56362,7.06493,1.60775,0.90510,0.20597,19.27414,0.22553,
