BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1983.65747,-11.33253,-0.5601,1.6743,-0.1319,0.3941,20.0736,,
1983.69916,-11.29084,1.1919,1.7679,0.2806,0.4162,20.0736,,
1983.71997,-11.27003,0.4370,1.8493,0.1029,0.4353,20.0736,,
1983.74078,-11.24922,-2.3362,1.6819,-0.5499,0.3959,20.0736,,
1983.76166,-11.22834,-1.0508,1.9082,-0.2473,0.4492,20.0736,,
1983.78247,-11.20753,3.8677,1.9316,0.9104,0.4547,18.9714,0.5422,
1983.80328,-11.18672,-0.8315,1.7194,-0.1957,0.4047,20.0736,,
1983.82416,-11.16584,-1.9945,1.8048,-0.4695,0.4248,20.0736,,
1983.84497,-11.14503,-1.5741,2.0867,-0.3705,0.4912,20.0736,,
1983.86578,-11.12422,0.7443,2.0724,0.1752,0.4878,20.0736,,
1983.88666,-11.10334,0.9247,1.9810,0.2177,0.4663,20.0736,,
1983.90747,-11.08253,2.7356,1.9456,0.6439,0.4580,19.3474,0.7722,
1983.92828,-11.06172,-0.4146,2.0812,-0.0976,0.4899,20.0736,,
1983.94916,-11.04084,1.8171,2.1697,0.4277,0.5107,19.7916,1.2964,
1983.96997,-11.02003,1.0033,2.3224,0.2362,0.5467,20.0736,,
1983.99078,-10.99922,0.9901,2.3381,0.2331,0.5504,20.0736,,
1984.01166,-10.97834,0.6509,2.2370,0.1532,0.5266,20.0736,,
1984.03247,-10.95753,-1.3057,2.6330,-0.3073,0.6198,20.0736,,
1984.05328,-10.93672,-2.2787,2.5553,-0.5364,0.6015,20.0736,,
1984.07416,-10.91584,-2.5793,2.7776,-0.6071,0.6538,20.0736,,
1984.09497,-10.89503,-1.0769,2.6836,-0.2535,0.6317,20.0736,,
1984.11578,-10.87422,2.7136,2.2490,0.6388,0.5294,19.3561,0.8998,
1984.13666,-10.85334,-4.0133,2.4097,-0.9447,0.5672,20.0736,,
1984.15747,-10.83253,-2.7279,2.5337,-0.6421,0.5964,20.0736,,
1984.17834,-10.81166,-0.2872,2.5506,-0.0676,0.6004,20.0736,,
1984.19916,-10.79084,0.9181,2.5418,0.2161,0.5983,20.0736,,
1984.22003,-10.76997,-0.7753,2.9162,-0.1825,0.6865,20.0736,,
1984.24084,-10.74916,1.5936,2.7796,0.3751,0.6543,19.9341,1.8938,
1984.26166,-10.72834,-1.5558,2.8501,-0.3662,0.6709,20.0736,,
1984.28253,-10.70747,-0.4006,2.5868,-0.0943,0.6089,20.0736,,
