BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2001.19953,0.13953,-1.58819,2.63175,-0.08425,0.13961,19.56755,0.93318,
2001.45994,0.39994,3.01353,2.67467,0.15985,0.14189,19.39585,0.46918,
2001.70993,0.64993,2.72033,2.89422,0.14431,0.15353,19.34828,0.46157,
2001.95993,0.89993,-1.96963,3.02854,-0.10448,0.16066,19.24631,0.29309,
2002.20993,1.14993,5.71663,2.93440,0.30326,0.15566,19.24449,0.36068,
2002.45992,1.39992,9.74520,2.77948,0.51697,0.14745,19.14818,0.36006,
2002.70992,1.64992,4.13666,2.86211,0.21943,0.15183,19.39679,0.47436,
2002.95991,1.89991,5.35375,2.92823,0.28399,0.15534,19.28825,0.37642,
2003.20644,2.14644,7.80820,3.37946,0.41422,0.17927,19.29342,0.50962,
2003.45990,2.39990,4.05007,2.80861,0.21485,0.14899,19.36298,0.47702,
2003.70990,2.64990,11.15317,2.91694,0.59166,0.15474,19.02592,0.30391,
2003.95990,2.89990,9.54623,3.02926,0.50641,0.16070,19.13508,0.37604,
2004.20989,3.14989,7.90862,3.15063,0.41956,0.16714,19.10457,0.36088,
2004.45989,3.39989,9.10707,2.99232,0.48311,0.15874,19.08823,0.33134,
2004.70989,3.64989,15.14566,3.11917,0.80346,0.16547,18.66312,0.20425,
2004.95988,3.89988,19.57097,3.23990,1.03821,0.17187,18.43377,0.19599,
2005.20988,4.14988,13.96120,3.23221,0.74063,0.17147,18.84795,0.29937,
2005.45987,4.39987,14.49123,3.07694,0.76874,0.16323,18.81334,0.29056,
2005.70987,4.64987,15.52413,3.26890,0.82353,0.17341,18.66789,0.23252,
2005.95986,4.89986,17.15936,3.32717,0.91028,0.17650,18.61410,0.21759,
2006.20986,5.14986,12.11971,3.23963,0.64292,0.17186,18.84851,0.27416,
2006.45986,5.39986,12.06135,3.07892,0.63984,0.16334,18.89994,0.27290,
2006.70985,5.64985,14.51325,3.19619,0.76991,0.16955,18.87502,0.31953,
2006.95985,5.89985,15.14012,3.29180,0.80317,0.17463,18.75902,0.32238,
2007.20984,6.14984,8.55423,3.07108,0.45378,0.16292,19.14293,0.40438,
2007.45984,6.39984,11.69737,2.94225,0.62053,0.15608,18.96147,0.31753,
2007.71646,6.65646,15.51165,3.14559,0.82287,0.16687,18.77227,0.29553,
2007.95983,6.89983,22.68167,2.93740,1.20322,0.15583,18.38236,0.18927,
2008.20983,7.14983,19.01076,2.58099,1.00849,0.13691,18.55838,0.21971,
2008.45982,7.39982,22.18273,2.24724,1.17675,0.11921,18.28593,0.11363,
2008.70982,7.64982,21.49841,1.57043,1.14046,0.08331,18.32037,0.08235,
2008.95982,7.89981,24.29040,1.36514,1.28857,0.07242,18.18297,0.06330,
2009.18898,8.12898,23.95872,1.49705,1.27097,0.07942,18.21526,0.07406,
