BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2010.28422,-0.47578,-12.9774,5.6369,-0.3776,0.1640,19.3770,,
2010.30506,-0.45494,-4.6058,5.6680,-0.1340,0.1649,19.3770,,
2010.32589,-0.43411,-9.9907,5.6940,-0.2907,0.1657,19.3770,,
2010.36756,-0.39244,-10.5348,5.7594,-0.3066,0.1676,19.3770,,
2010.38839,-0.37161,-6.2686,5.8127,-0.1824,0.1691,19.3770,,
2010.40923,-0.35077,-5.6186,5.8831,-0.1635,0.1712,19.3770,,
2010.43006,-0.32994,-8.4600,5.9640,-0.2462,0.1735,19.3770,,
2010.45089,-0.30911,-3.3712,6.0680,-0.0981,0.1766,19.3770,,
2010.47173,-0.28827,12.2746,6.1783,0.3572,0.1798,18.9103,0.5465,
2010.49256,-0.26744,1.9095,6.3261,0.0556,0.1841,19.3770,,
2010.51339,-0.24661,-4.1374,6.4301,-0.1204,0.1871,19.3770,,
2010.53423,-0.22577,-3.7910,6.4583,-0.1103,0.1879,19.3770,,
2010.55506,-0.20494,-7.8262,6.5532,-0.2277,0.1907,19.3770,,
2010.57590,-0.18410,-3.0929,6.6573,-0.0900,0.1937,19.3770,,
2010.59673,-0.16327,-7.2659,6.7277,-0.2114,0.1958,19.3770,,
2010.61756,-0.14244,-7.1731,6.7776,-0.2087,0.1972,19.3770,,
2010.63840,-0.12160,-8.8089,6.8222,-0.2563,0.1985,19.3770,,
2010.65923,-0.10077,-13.0198,6.8213,-0.3789,0.1985,19.3770,,
2010.68006,-0.07994,-3.0101,6.8465,-0.0876,0.1992,19.3770,,
2010.70090,-0.05910,-2.5512,6.8340,-0.0742,0.1989,19.3770,,
2010.72173,-0.03827,0.4328,6.8190,0.0126,0.1984,19.3770,,
2010.74257,-0.01743,-12.5147,6.8483,-0.3642,0.1993,19.3770,,
2010.76340,0.00340,3.3140,6.8774,0.0964,0.2001,19.3770,,
2010.78423,0.02423,-0.7011,6.9055,-0.0204,0.2009,19.3770,,
2010.80507,0.04507,6.2981,6.9640,0.1833,0.2026,19.3770,,
2010.82590,0.06590,-1.9420,7.0287,-0.0565,0.2045,19.3770,,
2010.84673,0.08673,0.5422,7.0956,0.0158,0.2065,19.3770,,
2010.86757,0.10757,14.1265,7.1510,0.4111,0.2081,18.7577,0.5496,
2010.88840,0.12840,1.1488,7.1806,0.0334,0.2090,19.3770,,
2010.90923,0.14923,6.6941,7.1887,0.1948,0.2092,19.3770,,
2010.93007,0.17007,0.4900,7.1882,0.0143,0.2092,19.3770,,
2010.95090,0.19090,0.8122,7.2754,0.0236,0.2117,19.3770,,
2010.97174,0.21174,-1.5518,7.1694,-0.0452,0.2086,19.3770,,
2010.99257,0.23257,-4.7237,7.1502,-0.1375,0.2081,19.3770,,
2011.01340,0.25340,2.5423,7.1464,0.0740,0.2080,19.3770,,
2011.03424,0.27424,4.8041,7.1748,0.1398,0.2088,19.3770,,
2011.05507,0.29507,4.8661,7.2082,0.1416,0.2098,19.3770,,
2011.07590,0.31590,-5.7740,7.2399,-0.1680,0.2107,19.3770,,
