BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1983.65778,-16.89222,0.0665,2.1475,0.0363,1.1731,20.1258,0.0,
1983.69940,-16.85060,1.5157,1.7472,0.8280,0.9545,19.9885,1.2516,0.0
1983.72028,-16.82972,1.8947,1.8463,1.0350,1.0086,19.7461,1.0580,0.0
1983.74109,-16.80891,0.5903,1.9674,0.3225,1.0747,20.1258,0.0,
1983.76190,-16.78810,0.4077,1.9905,0.2227,1.0874,20.1258,0.0,
1983.78278,-16.76722,0.9400,1.7975,0.5135,0.9819,20.1258,0.0,
1983.80359,-16.74641,4.7358,2.1353,2.5870,1.1665,18.7515,0.4895,0.0
1983.82440,-16.72560,-0.4369,2.0660,-0.2387,1.1286,20.1258,0.0,
1983.84528,-16.70472,0.8241,2.1536,0.4502,1.1764,20.1258,0.0,
1983.86609,-16.68391,0.4586,1.9701,0.2505,1.0762,20.1258,0.0,
1983.88690,-16.66310,3.3214,1.9337,1.8144,1.0564,19.1367,0.6321,0.0
1983.90778,-16.64222,-1.8985,2.1014,-1.0371,1.1479,20.1258,0.0,
1983.92859,-16.62141,3.6061,2.2546,1.9700,1.2316,19.0474,0.6788,0.0
1983.94940,-16.60060,2.9120,2.2407,1.5908,1.2240,19.2795,0.8354,0.0
1983.97028,-16.57972,1.0995,2.1247,0.6006,1.1607,20.1258,0.0,
1983.99109,-16.55891,1.5251,2.0432,0.8331,1.1161,19.9817,1.4545,0.0
1984.01190,-16.53810,-0.3318,2.1032,-0.1812,1.1489,20.1258,0.0,
1984.03278,-16.51722,-0.7804,1.9281,-0.4263,1.0533,20.1258,0.0,
1984.05359,-16.49641,-0.3404,2.0821,-0.1860,1.1374,20.1258,0.0,
1984.07440,-16.47560,0.9123,2.1287,0.4984,1.1629,20.1258,0.0,
1984.09528,-16.45472,-0.6988,1.9335,-0.3817,1.0562,20.1258,0.0,
1984.11609,-16.43391,2.2229,2.1680,1.2143,1.1843,19.5727,1.0589,0.0
1984.13690,-16.41310,0.2042,2.1151,0.1116,1.1554,20.1258,0.0,
1984.15778,-16.39222,-5.1253,2.0096,-2.7998,1.0978,20.1258,0.0,
1984.17859,-16.37141,1.4514,1.9576,0.7929,1.0694,20.0355,1.4644,0.0
1984.19940,-16.35060,-0.2716,2.1451,-0.1483,1.1718,20.1258,0.0,
1984.22028,-16.32972,0.9330,2.0994,0.5097,1.1468,20.1258,0.0,
1984.24109,-16.30891,0.0894,2.1129,0.0488,1.1542,20.1258,0.0,
1984.26190,-16.28810,-0.9804,1.9447,-0.5356,1.0623,20.1258,0.0,
1984.28278,-16.26722,0.4064,2.1638,0.2220,1.1820,20.1258,0.0,
1984.30359,-16.24641,-1.8339,1.8209,-1.0018,0.9947,20.1258,0.0,
1984.32440,-16.22560,0.8396,2.2238,0.4587,1.2148,20.1258,0.0,
1984.34528,-16.20472,-1.0671,1.9200,-0.5829,1.0489,20.1258,0.0,
1984.36609,-16.18391,0.2739,2.0564,0.1496,1.1234,20.1258,0.0,
1984.38690,-16.16310,-2.8690,2.0349,-1.5673,1.1116,20.1258,0.0,
1984.40778,-16.14222,2.3141,1.8029,1.2642,0.9849,19.5290,0.8459,0.0
1984.42859,-16.12141,0.9102,1.7277,0.4972,0.9438,20.1258,0.0,
1984.44940,-16.10060,-1.7056,2.0698,-0.9317,1.1307,20.1258,0.0,
1984.47028,-16.07972,2.8848,1.9874,1.5759,1.0857,19.2897,0.7480,0.0
1984.49109,-16.05891,-0.1749,2.0295,-0.0955,1.1087,20.1258,0.0,
1984.51190,-16.03810,-1.8422,2.2202,-1.0063,1.2128,20.1258,0.0,
1984.53278,-16.01722,-1.7083,2.1565,-0.9332,1.1781,20.1258,0.0,
1984.55359,-15.99641,0.3469,2.2950,0.1895,1.2537,20.1258,0.0,
1984.57440,-15.97560,-3.3473,2.2526,-1.8285,1.2306,20.1258,0.0,
1984.59528,-15.95472,-0.3477,2.0764,-0.1900,1.1343,20.1258,0.0,
1984.61609,-15.93391,-1.2518,2.2860,-0.6838,1.2488,20.1258,0.0,
1984.63690,-15.91310,2.2543,2.2618,1.2314,1.2356,19.5575,1.0894,0.0
1984.65778,-15.89222,-0.4238,2.2566,-0.2315,1.2327,20.1258,0.0,
1984.67859,-15.87141,-1.1268,2.4571,-0.6156,1.3423,20.1258,0.0,
1984.69940,-15.85060,0.1557,2.4929,0.0850,1.3618,20.1258,0.0,
1984.72028,-15.82972,-3.0505,2.1641,-1.6664,1.1822,20.1258,0.0,
1984.74109,-15.80891,0.7815,2.3808,0.4269,1.3006,20.1258,0.0,
1984.76190,-15.78810,1.5164,2.0929,0.8284,1.1433,19.9880,1.4986,0.0
1984.78278,-15.76722,4.1402,2.1089,2.2617,1.1520,18.8975,0.5530,0.0
1984.80359,-15.74641,-2.6874,2.2320,-1.4680,1.2193,20.1258,0.0,
1984.82440,-15.72560,3.5029,2.3631,1.9135,1.2909,19.0789,0.7325,0.0
1984.84528,-15.70472,3.5350,2.1351,1.9311,1.1664,19.0690,0.6558,0.0
1984.86609,-15.68391,-1.4491,2.1774,-0.7916,1.1895,20.1258,0.0,
1984.88690,-15.66310,-2.0017,2.1602,-1.0935,1.1801,20.1258,0.0,
1984.90778,-15.64222,3.1989,2.0861,1.7475,1.1396,19.1775,0.7081,0.0
1984.92859,-15.62141,-0.7073,2.5605,-0.3864,1.3987,20.1258,0.0,
