BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2010.27969,-8.21031,-9.1669,10.0794,-0.3984,0.4381,18.5105,,
2010.30052,-8.18948,-17.4975,10.0655,-0.7605,0.4375,18.5105,,
2010.32135,-8.16865,6.2220,10.0850,0.2704,0.4383,18.5105,,
2010.36302,-8.12698,-16.8434,10.1881,-0.7321,0.4428,18.5105,,
2010.38385,-8.10615,-0.8968,10.2258,-0.0390,0.4445,18.5105,,
2010.40469,-8.08531,-14.6183,10.4069,-0.6354,0.4523,18.5105,,
2010.42552,-8.06448,10.8524,10.4614,0.4717,0.4547,18.5105,,
2010.44635,-8.04365,-2.5174,10.4989,-0.1094,0.4563,18.5105,,
2010.46719,-8.02281,0.6529,10.5945,0.0284,0.4605,18.5105,,
2010.48802,-8.00198,14.9388,10.8783,0.6493,0.4728,18.5105,,
2010.50885,-7.98115,15.8740,10.9619,0.6900,0.4765,18.5105,,
2010.52969,-7.96031,17.4034,11.0365,0.7564,0.4797,18.5105,,
2010.55052,-7.93948,11.9208,11.1377,0.5181,0.4841,18.5105,,
2010.57135,-7.91865,17.5256,11.2172,0.7618,0.4876,18.5105,,
2010.59219,-7.89781,23.4427,11.2327,1.0189,0.4882,18.2078,0.5202,
2010.61302,-7.87698,20.8867,11.5766,0.9078,0.5032,18.3331,0.6018,
2010.63385,-7.85615,10.9047,11.6114,0.4740,0.5047,18.5105,,
2010.65469,-7.83531,-0.9697,11.6480,-0.0421,0.5063,18.5105,,
2010.67552,-7.81448,-0.3250,11.6220,-0.0141,0.5052,18.5105,,
2010.69635,-7.79365,4.2271,11.6019,0.1837,0.5043,18.5105,,
2010.71719,-7.77281,16.4618,11.5475,0.7155,0.5019,18.5105,,
2010.73802,-7.75198,-2.3850,11.5636,-0.1037,0.5026,18.5105,,
2010.75885,-7.73115,5.9500,11.6217,0.2586,0.5051,18.5105,,
2010.77969,-7.71031,-8.1834,11.6369,-0.3557,0.5058,18.5105,,
2010.80052,-7.68948,-2.2965,11.6918,-0.0998,0.5082,18.5105,,
2010.82135,-7.66865,4.6597,11.6558,0.2025,0.5066,18.5105,,
2010.84219,-7.64781,-2.0854,11.6587,-0.0906,0.5067,18.5105,,
2010.86302,-7.62698,2.8209,11.6999,0.1226,0.5085,18.5105,,
2010.88385,-7.60615,0.8191,11.7048,0.0356,0.5088,18.5105,,
2010.90469,-7.58531,14.7125,11.6266,0.6395,0.5054,18.5105,,
2010.92552,-7.56448,14.0255,11.5610,0.6096,0.5025,18.5105,,
2010.94635,-7.54365,2.9046,11.5300,0.1262,0.5012,18.5105,,
2010.96719,-7.52281,12.0352,11.5355,0.5231,0.5014,18.5105,,
2010.98802,-7.50198,-13.2267,11.4924,-0.5749,0.4995,18.5105,,
