BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2018.81612,0.12612,-0.07530,0.59655,-0.01139,0.09026,20.72833,0.99891,
2019.06612,0.37612,-0.95368,0.54663,-0.14429,0.08271,20.89442,0.98967,
2019.30949,0.61949,0.57164,0.51725,0.08648,0.07827,20.47794,0.71726,
2019.56612,0.87612,-1.15994,0.47147,-0.17551,0.07134,21.22490,,
2019.81612,1.12612,0.20237,0.49498,0.03063,0.07490,20.72486,0.74153,
2020.06612,1.37612,0.10892,0.48318,0.01648,0.07311,20.75877,0.69541,
2020.31612,1.62612,0.14812,0.45838,0.02240,0.06935,20.75725,0.65266,
2020.56612,1.87612,-0.33022,0.42727,-0.04997,0.06464,20.74386,0.63207,
2020.82652,2.13652,1.10702,0.40177,0.16751,0.06079,20.23707,0.32236,
2021.08691,2.39691,0.60054,0.41614,0.09086,0.06297,20.54222,0.62066,
2021.33691,2.64691,0.51511,0.38342,0.07793,0.05802,20.68064,0.63976,
2021.58691,2.89691,1.82276,0.34715,0.27579,0.05253,19.93577,0.20448,
2021.83691,3.14691,1.80174,0.36340,0.27261,0.05498,19.93621,0.28473,
2022.06608,3.37608,1.67864,0.34724,0.25400,0.05254,20.00465,0.29899,
2023.17024,4.48024,3.05417,0.76556,0.46213,0.11583,19.52908,0.24093,
2023.33691,4.64691,2.17638,0.47802,0.32931,0.07233,19.80992,0.23104,
2023.58691,4.89691,2.10343,0.51221,0.31826,0.07750,19.85655,0.38870,
2023.83691,5.14691,2.46843,0.49830,0.37349,0.07540,19.55548,0.23753,
2024.08691,5.39691,2.57132,0.49190,0.38907,0.07443,19.52533,0.20424,
2024.32856,5.63856,2.75235,0.56933,0.41644,0.08615,19.64944,0.29986,
2024.58687,5.89687,3.33322,0.54544,0.50434,0.08253,19.26150,0.26747,
2024.83687,6.14687,3.14791,0.60889,0.47631,0.09213,19.44813,0.44072,
2025.08593,6.39593,2.16245,0.61678,0.32719,0.09332,19.82185,0.48941,
2025.33687,6.64687,2.79492,0.59563,0.42289,0.09013,19.57770,0.23794,
2025.58687,6.89687,3.09146,0.64934,0.46776,0.09825,19.55223,0.35343,
2025.83687,7.14687,3.02974,0.65957,0.45842,0.09980,19.50664,0.35786,
2026.08687,7.39687,1.92374,0.68728,0.29108,0.10399,19.83799,0.38381,
2026.33687,7.64687,3.41004,0.65451,0.51597,0.09903,19.44539,0.30839,
2026.58687,7.89687,3.89668,0.76371,0.58960,0.11556,19.25960,0.39146,
2026.83686,8.14686,2.95214,0.84127,0.44667,0.12729,19.52963,0.30821,
2027.08683,8.39683,2.72382,0.77433,0.41213,0.11716,19.74636,0.45539,
2027.33683,8.64683,2.32889,0.74678,0.35238,0.11299,19.76578,0.57832,
2027.58683,8.89683,2.09128,0.76367,0.31643,0.11555,19.79870,0.40830,
2027.83683,9.14683,3.41445,0.82875,0.51663,0.12540,19.38950,0.52127,
2028.08683,9.39683,5.47800,0.78089,0.82885,0.11815,18.87031,0.27766,
2028.33683,9.64683,5.38437,0.72048,0.81470,0.10901,18.83545,0.22532,
2028.58683,9.89683,4.68904,0.72939,0.70948,0.11036,18.89787,0.26973,
2028.83683,10.14683,3.13206,0.80133,0.47393,0.12125,19.44616,0.31580,
2029.07434,10.38434,3.50211,0.84806,0.52989,0.12832,19.25830,0.34386,
2029.33681,10.64681,4.13683,0.76267,0.62593,0.11540,19.11298,0.19396,
2029.58679,10.89679,5.77906,0.72718,0.87442,0.11003,18.79163,0.30386,
2029.83679,11.14679,3.66188,0.80943,0.55407,0.12247,19.29649,0.35554,
2030.08679,11.39679,4.41507,0.77700,0.66803,0.11757,19.21706,0.33716,
2030.33679,11.64679,5.14348,0.72432,0.77826,0.10959,18.74495,0.19160,
2030.58679,11.89679,5.78537,0.70495,0.87537,0.10666,18.62907,0.17332,
2030.83679,12.14679,4.26489,0.71875,0.64531,0.10875,19.19043,0.22056,
2031.08679,12.39679,4.36897,0.71223,0.66106,0.10777,18.94298,0.17188,
2031.33679,12.64679,5.09753,0.63711,0.77130,0.09640,18.73003,0.16024,
2031.58679,12.89679,5.79669,0.62664,0.87710,0.09481,18.65426,0.21954,
2031.83676,13.14676,4.13982,0.64301,0.62638,0.09729,19.02558,0.29161,
2032.08675,13.39675,5.53280,0.59298,0.83715,0.08972,18.65644,0.15390,
2032.33675,13.64675,5.53126,0.61626,0.83692,0.09324,18.67316,0.19340,
2032.58675,13.89675,5.27945,0.53310,0.79883,0.08066,18.76928,0.11185,
2032.83675,14.14675,5.76787,0.55289,0.87272,0.08366,18.61726,0.13313,
2033.08675,14.39675,5.95375,0.51756,0.90087,0.07831,18.62573,0.13199,
2033.33675,14.64675,5.35988,0.50722,0.81099,0.07675,18.95708,0.41098,
2033.58675,14.89675,5.27584,0.48108,0.79826,0.07279,18.70577,0.12598,
2033.83675,15.14675,4.43180,0.52376,0.67057,0.07925,18.95672,0.18419,
2034.00342,15.31342,8.89488,0.80856,1.34588,0.12235,18.07470,0.09967,
