BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2028.58605,0.11605,1.18481,1.72169,0.05702,0.08285,20.32880,0.62961,
2028.83605,0.36605,1.75282,1.78604,0.08435,0.08595,20.22543,0.57277,
2029.07355,0.60355,0.45174,1.91874,0.02174,0.09234,20.37587,0.97294,
2029.33605,0.86605,4.30112,1.72507,0.20698,0.08302,20.00623,0.38101,
2029.58605,1.11605,3.80446,1.72331,0.18308,0.08293,19.99704,0.42868,
2029.83605,1.36605,1.59174,1.78648,0.07661,0.08597,20.16625,0.58119,
2030.08605,1.61605,3.79243,1.75264,0.18250,0.08434,20.07157,0.49525,
2030.34646,1.87646,7.80171,1.64723,0.37546,0.07927,19.51772,0.27613,
2030.59646,2.12646,4.67922,1.79350,0.22517,0.08631,19.93561,0.48338,
2030.83605,2.36604,7.24543,1.76904,0.34868,0.08513,19.60680,0.33381,
2031.08604,2.61604,3.14222,1.74076,0.15122,0.08377,20.04983,0.43881,
2031.33604,2.86604,10.21306,1.70575,0.49150,0.08209,19.26054,0.23540,
2031.58604,3.11604,7.27382,1.70201,0.35005,0.08191,19.59197,0.29277,
2031.83604,3.36604,5.76082,1.76206,0.27724,0.08480,19.82214,0.33040,
2032.08604,3.61604,10.44505,1.72805,0.50267,0.08316,19.24509,0.31700,
2032.33604,3.86604,15.38339,1.86520,0.74032,0.08976,18.74322,0.16438,
2032.58604,4.11604,15.60047,1.69175,0.75076,0.08142,18.74413,0.16102,
2032.83604,4.36604,13.71780,1.75090,0.66017,0.08426,18.87157,0.19066,
2033.08604,4.61604,6.92342,1.74605,0.33319,0.08403,19.72029,0.40506,
2033.33604,4.86604,14.15405,1.70276,0.68115,0.08194,18.90674,0.15690,
2033.58604,5.11604,14.95921,1.68262,0.71989,0.08098,18.83714,0.14307,
2033.83604,5.36604,15.06995,1.76095,0.72525,0.08474,18.85910,0.17781,
2034.08604,5.61604,17.39541,1.69535,0.83716,0.08159,18.69176,0.12826,
2034.33604,5.86604,21.47553,1.63590,1.03349,0.07873,18.31648,0.08656,
2034.58604,6.11604,26.09687,1.52894,1.25588,0.07358,18.11367,0.06812,
2034.83604,6.36604,16.04621,1.34332,0.77223,0.06465,18.76075,0.16238,
2035.04437,6.57437,15.45120,1.58506,0.74356,0.07629,18.68290,0.11822,
