BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2036.28653,-6.13347,-0.2427,2.1238,-0.0366,0.3201,19.6283,,
2036.29347,-6.12653,-1.3534,2.1229,-0.2040,0.3200,19.6283,,
2036.30042,-6.11958,-3.5201,2.1209,-0.5305,0.3197,19.6283,,
2036.30736,-6.11264,-0.2713,2.1229,-0.0409,0.3200,19.6283,,
2036.31431,-6.10569,1.2769,2.1222,0.1924,0.3198,19.6283,,
2036.32125,-6.09875,-0.7146,2.1214,-0.1077,0.3197,19.6283,,
2036.32820,-6.09180,-5.7943,2.1183,-0.8733,0.3193,19.6283,,
2036.33514,-6.08486,0.7254,2.1214,0.1093,0.3197,19.6283,,
2036.34208,-6.07792,-4.0542,2.1185,-0.6110,0.3193,19.6283,,
2036.34903,-6.07097,6.6438,2.1234,1.0013,0.3200,18.3840,0.3470,
2036.35597,-6.06403,1.4997,2.1212,0.2260,0.3197,19.6283,,
2036.36292,-6.05708,0.1474,2.1206,0.0222,0.3196,19.6283,,
2036.36986,-6.05014,0.8085,2.1202,0.1219,0.3195,19.6283,,
2036.37681,-6.04319,-2.7574,2.1190,-0.4156,0.3194,19.6283,,
2036.38375,-6.03625,-4.2609,2.1192,-0.6422,0.3194,19.6283,,
2036.39070,-6.02930,1.3000,2.1199,0.1959,0.3195,19.6283,,
2036.39764,-6.02236,-4.0684,2.1180,-0.6132,0.3192,19.6283,,
2036.40459,-6.01541,-0.4739,2.1187,-0.0714,0.3193,19.6283,,
2036.41153,-6.00847,0.2130,2.1189,0.0321,0.3193,19.6283,,
2036.41847,-6.00153,2.8650,2.1201,0.4318,0.3195,19.2972,0.8034,
2036.42542,-5.99458,-2.1129,2.1176,-0.3184,0.3192,19.6283,,
2036.43236,-5.98764,-1.7268,2.1176,-0.2603,0.3192,19.6283,,
2036.43931,-5.98069,-1.1278,2.1182,-0.1700,0.3192,19.6283,,
2036.44625,-5.97375,-2.7225,2.1179,-0.4103,0.3192,19.6283,,
2036.45320,-5.96680,-5.4419,2.1175,-0.8202,0.3191,19.6283,,
2036.46014,-5.95986,-4.1556,2.1171,-0.6263,0.3191,19.6283,,
2036.46709,-5.95291,-2.6623,2.1185,-0.4012,0.3193,19.6283,,
2036.47403,-5.94597,0.8154,2.1206,0.1229,0.3196,19.6283,,
2036.48098,-5.93902,2.7458,2.1205,0.4138,0.3196,19.3433,0.8385,
2036.48792,-5.93208,5.9831,2.1225,0.9017,0.3199,18.4977,0.3852,
2036.49487,-5.92513,3.8397,2.1207,0.5787,0.3196,18.9793,0.5997,
2036.50181,-5.91819,-1.3406,2.1208,-0.2021,0.3196,19.6283,,
2036.50875,-5.91125,-4.2047,2.1187,-0.6337,0.3193,19.6283,,
2036.51570,-5.90430,0.9827,2.1209,0.1481,0.3197,19.6283,,
2036.52264,-5.89736,1.8822,2.1221,0.2837,0.3198,19.6283,,
2036.52959,-5.89041,-2.8691,2.1197,-0.4324,0.3195,19.6283,,
2036.53653,-5.88347,-2.4261,2.1193,-0.3656,0.3194,19.6283,,
2036.54348,-5.87652,1.6457,2.1214,0.2480,0.3197,19.6283,,
2036.55042,-5.86958,-2.5126,2.1195,-0.3787,0.3194,19.6283,,
2036.55737,-5.86263,-1.9828,2.1209,-0.2988,0.3197,19.6283,,
2036.56431,-5.85569,5.4947,2.1222,0.8281,0.3199,18.5901,0.4193,
2036.57125,-5.84875,-1.2719,2.1204,-0.1917,0.3196,19.6283,,
2036.57820,-5.84180,3.1286,2.1238,0.4715,0.3201,19.2016,0.7370,
2036.58514,-5.83486,0.7732,2.1218,0.1165,0.3198,19.6283,,
2036.59209,-5.82791,-2.9813,2.1206,-0.4493,0.3196,19.6283,,
2036.59903,-5.82097,-0.2717,2.1229,-0.0409,0.3200,19.6283,,
2036.60598,-5.81402,-1.1992,2.1216,-0.1807,0.3198,19.6283,,
2036.61292,-5.80708,2.5463,2.1235,0.3838,0.3200,19.4252,0.9054,
2036.61987,-5.80013,-1.6252,2.1220,-0.2449,0.3198,19.6283,,
2036.62681,-5.79319,-3.6204,2.1203,-0.5456,0.3196,19.6283,,
2036.63376,-5.78624,-0.6548,2.1224,-0.0987,0.3199,19.6283,,
2036.64070,-5.77930,0.4646,2.1212,0.0700,0.3197,19.6283,,
2036.64765,-5.77235,1.6950,2.1232,0.2555,0.3200,19.6283,,
2036.65459,-5.76541,2.8230,2.1234,0.4255,0.3200,19.3132,0.8167,
2036.66153,-5.75847,3.6474,2.1245,0.5497,0.3202,19.0350,0.6324,
2036.66848,-5.75152,-1.0876,2.1231,-0.1639,0.3200,19.6283,,
2036.67542,-5.74458,3.3915,2.1253,0.5111,0.3203,19.1140,0.6804,
2036.68237,-5.73763,-2.3775,2.1243,-0.3583,0.3202,19.6283,,
2036.68931,-5.73069,3.0070,2.1260,0.4532,0.3204,19.2447,0.7676,
2036.69626,-5.72374,-5.4134,2.1213,-0.8159,0.3197,19.6283,,
2036.70320,-5.71680,-2.9677,2.1231,-0.4473,0.3200,19.6283,,
2036.71015,-5.70985,1.7770,2.1249,0.2678,0.3203,19.6283,,
2036.71709,-5.70291,-2.2095,2.1236,-0.3330,0.3201,19.6283,,
2036.72404,-5.69596,7.5166,2.1279,1.1329,0.3207,18.2499,0.3074,
2036.73098,-5.68902,0.6964,2.1250,0.1050,0.3203,19.6283,,
2036.73792,-5.68208,-2.2126,2.1252,-0.3335,0.3203,19.6283,,
2036.74487,-5.67513,-0.0004,2.1249,-0.0001,0.3202,19.6283,,
2036.75181,-5.66819,0.1683,2.1251,0.0254,0.3203,19.6283,,
2036.75876,-5.66124,0.2458,2.1250,0.0370,0.3203,19.6283,,
2036.76570,-5.65430,1.5467,2.1279,0.2331,0.3207,19.6283,,
2036.77265,-5.64735,2.3412,2.1281,0.3529,0.3207,19.5164,0.9869,
2036.77959,-5.64041,-1.0187,2.1270,-0.1535,0.3206,19.6283,,
2036.78654,-5.63346,4.8264,2.1293,0.7274,0.3209,18.7309,0.4790,
2036.79348,-5.62652,-4.0406,2.1257,-0.6090,0.3204,19.6283,,
2036.80043,-5.61957,0.2137,2.1274,0.0322,0.3206,19.6283,,
2036.80737,-5.61263,1.3207,2.1290,0.1990,0.3209,19.6283,,
2036.81432,-5.60568,1.7555,2.1287,0.2646,0.3208,19.6283,,
2036.82126,-5.59874,-2.0427,2.1273,-0.3079,0.3206,19.6283,,
2036.82820,-5.59180,1.7449,2.1293,0.2630,0.3209,19.6283,,
2036.83515,-5.58485,1.9948,2.1304,0.3006,0.3211,19.6283,,
2036.84209,-5.57791,-0.9339,2.1297,-0.1408,0.3210,19.6283,,
2036.84904,-5.57096,0.1671,2.1294,0.0252,0.3209,19.6283,,
2036.85598,-5.56402,4.2165,2.1325,0.6355,0.3214,18.8776,0.5491,
2036.86293,-5.55707,1.3111,2.1297,0.1976,0.3210,19.6283,,
2036.86987,-5.55013,-0.9177,2.1299,-0.1383,0.3210,19.6283,,
2036.87682,-5.54318,4.1356,2.1327,0.6233,0.3214,18.8986,0.5599,
2036.88376,-5.53624,2.8657,2.1335,0.4319,0.3216,19.2969,0.8083,
2036.89071,-5.52929,-1.2883,2.1309,-0.1942,0.3212,19.6283,,
2036.89765,-5.52235,1.9334,2.1319,0.2914,0.3213,19.6283,,
2036.90459,-5.51541,0.5360,2.1320,0.0808,0.3213,19.6283,,
2036.91154,-5.50846,0.3545,2.1307,0.0534,0.3211,19.6283,,
2036.91848,-5.50152,-0.1164,2.1332,-0.0175,0.3215,19.6283,,
2036.92543,-5.49457,0.4338,2.1332,0.0654,0.3215,19.6283,,
2036.93237,-5.48763,0.5161,2.1335,0.0778,0.3215,19.6283,,
2036.93932,-5.48068,-1.4099,2.1307,-0.2125,0.3211,19.6283,,
2036.94626,-5.47374,1.7762,2.1336,0.2677,0.3216,19.6283,,
2036.95321,-5.46679,-3.2032,2.1326,-0.4828,0.3214,19.6283,,
2036.96015,-5.45985,4.3638,2.1357,0.6577,0.3219,18.8403,0.5314,
2036.96710,-5.45290,0.9384,2.1338,0.1414,0.3216,19.6283,,
2036.97404,-5.44596,1.2837,2.1347,0.1935,0.3217,19.6283,,
2036.98098,-5.43902,3.5423,2.1364,0.5339,0.3220,19.0668,0.6548,
2036.98793,-5.43207,-1.9110,2.1336,-0.2880,0.3216,19.6283,,
2036.99487,-5.42513,-0.5903,2.1345,-0.0890,0.3217,19.6283,,
