BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2102.46908,4.25908,1.13158,0.16897,0.36402,0.05436,19.02889,0.16359,
2102.71417,4.50417,1.67162,0.15933,0.53776,0.05126,18.75609,0.12071,
2102.96417,4.75417,1.22809,0.15490,0.39507,0.04983,19.04279,0.16022,
2103.21416,5.00416,1.23930,0.16610,0.39869,0.05343,19.01237,0.16725,
2103.46415,5.25415,1.65604,0.16425,0.53275,0.05284,18.76154,0.12505,
2103.71415,5.50415,1.70261,0.16155,0.54772,0.05197,18.73586,0.11377,
2103.96414,5.75414,1.96728,0.15723,0.63286,0.05058,18.61073,0.10515,
2104.21414,6.00414,1.81448,0.15664,0.58371,0.05039,18.67527,0.11527,
2104.46413,6.25413,2.25299,0.16405,0.72477,0.05277,18.44533,0.09805,
2104.71462,6.50462,2.18039,0.16155,0.70142,0.05197,18.50425,0.09782,
2104.96411,6.75411,1.79329,0.15617,0.57690,0.05024,18.68019,0.11491,
2105.21411,7.00411,2.07435,0.15931,0.66731,0.05125,18.51693,0.09760,
2105.46410,7.25410,2.34237,0.15218,0.75353,0.04895,18.39776,0.08016,
2105.71409,7.50409,2.32980,0.15182,0.74949,0.04884,18.38860,0.08384,
2105.96409,7.75409,2.42538,0.14965,0.78023,0.04814,18.32580,0.07618,
2106.21408,8.00408,2.07281,0.15436,0.66682,0.04966,18.52365,0.09239,
2106.46407,8.25407,2.52488,0.16137,0.81225,0.05191,18.32254,0.08814,
2106.71406,8.50406,2.58539,0.15932,0.83172,0.05125,18.27439,0.07659,
2106.96405,8.75405,2.30855,0.16521,0.74266,0.05315,18.42010,0.09390,
2107.21405,9.00405,3.00712,0.16829,0.96737,0.05414,18.11375,0.07485,
2107.46404,9.25404,2.82197,0.16945,0.90781,0.05451,18.19715,0.08033,
2107.71403,9.50403,2.81152,0.17037,0.90446,0.05481,18.20751,0.08691,
2107.96402,9.75402,2.89764,0.16684,0.93216,0.05367,18.14975,0.07819,
2108.21401,10.00401,3.19104,0.16633,1.02654,0.05351,18.04310,0.06423,
2108.45929,10.24929,2.84575,0.19167,0.91548,0.06166,18.18724,0.08977,
2108.71400,10.50400,3.16387,0.16917,1.01781,0.05442,18.08216,0.07035,
2108.96399,10.75399,2.70279,0.16865,0.86948,0.05425,18.28538,0.09460,
2109.21398,11.00398,3.07718,0.16870,0.98992,0.05427,18.08672,0.07391,
2109.46397,11.25397,3.18668,0.17039,1.02514,0.05481,18.03800,0.06745,
2109.71396,11.50396,2.63673,0.16914,0.84823,0.05441,18.27738,0.08876,
2109.96396,11.75395,3.30051,0.17197,1.06176,0.05532,18.03302,0.06886,
2110.21395,12.00395,3.06944,0.17254,0.98744,0.05550,18.10914,0.07631,
2110.41880,12.20880,2.83753,0.21431,0.91283,0.06895,18.18369,0.09278,
