BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2088.24531,-16.18469,-0.5636,0.9382,-0.8526,1.4194,21.1296,,
2088.25225,-16.17775,0.0765,0.9317,0.1158,1.4094,21.1296,,
2088.25919,-16.17081,0.3583,0.9391,0.5420,1.4207,20.3616,2.8459,
2088.26614,-16.16386,0.2635,0.9309,0.3986,1.4083,20.6954,3.8363,
2088.27308,-16.15692,-0.7420,0.9325,-1.1225,1.4107,21.1296,,
2088.28003,-16.14997,1.4821,0.9286,2.2422,1.4048,18.8200,0.6803,
2088.28697,-16.14303,1.7580,0.9286,2.6595,1.4048,18.6347,0.5735,
2088.29392,-16.13608,-0.6257,0.9367,-0.9465,1.4170,21.1296,,
2088.30086,-16.12914,0.6923,0.9428,1.0474,1.4262,19.6464,1.4785,
2088.30781,-16.12219,0.4035,0.9455,0.6104,1.4304,20.2326,2.5442,
2088.31475,-16.11525,-0.6047,0.9462,-0.9148,1.4314,21.1296,,
2088.32170,-16.10830,-2.0305,0.9438,-3.0718,1.4278,21.1296,,
2088.32864,-16.10136,-0.1079,0.9471,-0.1632,1.4327,21.1296,,
2088.33559,-16.09441,-0.5830,0.9289,-0.8820,1.4052,21.1296,,
2088.34253,-16.08747,0.9476,0.9371,1.4335,1.4176,19.3057,1.0737,
2088.34948,-16.08052,-0.0855,0.9498,-0.1293,1.4368,21.1296,,
2088.35642,-16.07358,-0.5814,0.9359,-0.8795,1.4158,21.1296,,
2088.36337,-16.06663,-0.2862,0.9435,-0.4330,1.4274,21.1296,,
2088.37031,-16.05969,-0.7451,0.9424,-1.1272,1.4257,21.1296,,
2088.37725,-16.05275,-0.2929,0.9341,-0.4431,1.4131,21.1296,,
2088.38420,-16.04580,0.0502,0.9347,0.0759,1.4141,21.1296,,
2088.39114,-16.03886,0.6549,0.9341,0.9908,1.4131,19.7067,1.5485,
2088.39809,-16.03191,0.1705,0.9404,0.2579,1.4227,21.1296,,
2088.40503,-16.02497,0.7946,0.9268,1.2021,1.4020,19.4968,1.2663,
2088.41198,-16.01802,-0.8397,0.9460,-1.2703,1.4312,21.1296,,
2088.41892,-16.01108,1.9883,0.9265,3.0079,1.4016,18.5010,0.5059,
2088.42587,-16.00413,0.6568,0.9203,0.9937,1.3922,19.7036,1.5212,
2088.43281,-15.99719,-1.2205,0.9278,-1.8464,1.4035,21.1296,,
2088.43976,-15.99024,-0.0170,0.9300,-0.0257,1.4069,21.1296,,
2088.44670,-15.98330,0.5762,0.9297,0.8718,1.4064,19.8457,1.7516,
2088.45365,-15.97635,-0.1273,0.9195,-0.1926,1.3910,21.1296,,
2088.46059,-15.96941,-0.3782,0.9316,-0.5722,1.4093,21.1296,,
2088.46754,-15.96246,-0.1748,0.8830,-0.2645,1.3358,21.1296,,
2088.47448,-15.95552,-0.5989,0.9305,-0.9060,1.4077,21.1296,,
2088.48142,-15.94858,0.8293,0.9304,1.2546,1.4075,19.4504,1.2181,
2088.48837,-15.94163,-0.0722,0.8893,-0.1092,1.3454,21.1296,,
2088.49531,-15.93469,0.8262,0.9466,1.2498,1.4320,19.4545,1.2440,
2088.50226,-15.92774,-0.8699,0.9396,-1.3161,1.4214,21.1296,,
2088.50920,-15.92080,-0.6906,0.9192,-1.0448,1.3906,21.1296,,
2088.51615,-15.91385,-0.1886,0.9400,-0.2854,1.4220,21.1296,,
2088.52309,-15.90691,0.7446,0.9392,1.1264,1.4209,19.5674,1.3696,
2088.53004,-15.89996,-0.2712,0.9361,-0.4103,1.4161,21.1296,,
2088.53698,-15.89302,-0.6648,0.9410,-1.0057,1.4235,21.1296,,
2088.54393,-15.88607,-0.0269,0.9388,-0.0407,1.4202,21.1296,,
2088.55087,-15.87913,0.6808,0.9446,1.0299,1.4290,19.6646,1.5064,
2088.55781,-15.87219,-0.3314,0.9320,-0.5013,1.4099,21.1296,,
2088.56476,-15.86524,-1.0684,0.9075,-1.6164,1.3729,21.1296,,
2088.57170,-15.85830,0.5387,0.9359,0.8150,1.4159,19.9188,1.8864,
2088.57865,-15.85135,0.3635,0.9306,0.5499,1.4078,20.3459,2.7795,
2088.58559,-15.84441,0.1089,0.9002,0.1647,1.3619,21.1296,,
2088.59254,-15.83746,0.6421,0.9060,0.9714,1.3706,19.7281,1.5319,
2088.59948,-15.83052,0.8729,0.9146,1.3205,1.3836,19.3948,1.1376,
