BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2104.55454,0.12454,0.11572,0.14363,0.17505,0.21729,20.52245,0.55570,
2104.81109,0.38109,-0.25089,0.14311,-0.37956,0.21650,20.71103,0.51013,
2105.05801,0.62801,0.06768,0.14655,0.10239,0.22170,20.51870,0.42194,
2105.30801,0.87801,0.30427,0.14124,0.46030,0.21366,20.20771,0.36961,
2105.56148,1.13148,-0.17408,0.14281,-0.26335,0.21604,20.79042,0.75624,
2105.81148,1.38148,-0.06441,0.14603,-0.09744,0.22091,20.64690,0.60921,
2106.06147,1.63147,-0.05994,0.14683,-0.09067,0.22212,20.50457,0.38449,
2106.31147,1.88147,0.13342,0.14409,0.20185,0.21798,20.46904,0.48932,
2106.56147,2.13147,0.11521,0.14480,0.17429,0.21905,20.64222,0.64218,
2106.81147,2.38147,0.08324,0.14418,0.12593,0.21812,20.59714,0.61110,
2107.06147,2.63147,0.37895,0.14243,0.57328,0.21548,20.16687,0.43693,
2107.31147,2.88146,0.34069,0.14276,0.51540,0.21597,20.16540,0.34477,
2107.56146,3.13146,0.37448,0.14190,0.56652,0.21466,20.14837,0.33756,
2107.80898,3.37898,0.33897,0.14553,0.51281,0.22015,20.22888,0.50894,
2108.06146,3.63146,0.39715,0.14289,0.60081,0.21617,20.12257,0.31077,
2108.30818,3.87818,0.20715,0.14284,0.31339,0.21608,20.35891,0.48019,
2108.57906,4.14906,0.27415,0.15431,0.41473,0.23345,20.36038,0.54491,
2108.81145,4.38145,0.28597,0.14144,0.43263,0.21398,20.40129,0.47502,
2109.06145,4.63145,0.20538,0.13737,0.31070,0.20782,20.34284,0.43919,
2109.31145,4.88145,0.65718,0.13717,0.99420,0.20752,19.83261,0.29062,
2109.56144,5.13144,0.51554,0.14068,0.77990,0.21283,20.11271,0.40961,
2109.81144,5.38144,0.39668,0.14188,0.60011,0.21464,20.16967,0.34708,
2110.06144,5.63144,0.52507,0.14354,0.79431,0.21714,19.99493,0.25345,
2110.31144,5.88144,0.47111,0.14620,0.71269,0.22118,20.16557,0.32661,
2110.56143,6.13143,0.39758,0.14309,0.60146,0.21647,20.12925,0.37559,
2110.81143,6.38143,0.42098,0.14636,0.63687,0.22142,20.19390,0.44124,
2111.06143,6.63143,0.67537,0.14000,1.02169,0.21179,19.95498,0.36578,
2111.31490,6.88490,0.40246,0.14152,0.60884,0.21410,20.18952,0.38580,
2111.54486,7.11486,0.56791,0.17926,0.85913,0.27119,19.98409,0.43389,
2111.78413,7.35413,1.14633,0.37123,1.73419,0.56160,19.47173,0.35405,
2112.02620,7.59620,0.89424,0.26320,1.35280,0.39817,19.51421,0.39615,
2112.32303,7.89303,0.65180,0.21637,0.98604,0.32733,19.86138,0.37046,
2112.53594,8.10594,0.59437,0.33446,0.89919,0.50598,19.83095,1.04543,
