BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2088.24369,-14.93631,0.4159,0.8648,0.0148,0.0309,20.1012,,
2088.25063,-14.92937,0.2235,0.8722,0.0080,0.0311,20.1012,,
2088.25758,-14.92242,-0.0731,0.8720,-0.0026,0.0311,20.1012,,
2088.26452,-14.91548,0.6948,0.8670,0.0248,0.0309,19.6426,1.3550,
2088.27147,-14.90853,0.9179,0.8679,0.0328,0.0310,19.3402,1.0265,
2088.27841,-14.90159,-0.7891,0.8671,-0.0282,0.0309,20.1012,,
2088.28536,-14.89464,-0.3098,0.8724,-0.0111,0.0311,20.1012,,
2088.29230,-14.88770,-1.2802,0.8667,-0.0457,0.0309,20.1012,,
2088.29925,-14.88075,0.5757,0.8661,0.0205,0.0309,19.8467,1.6335,
2088.30619,-14.87381,-1.3403,0.8623,-0.0478,0.0308,20.1012,,
2088.31313,-14.86687,-0.1396,0.8668,-0.0050,0.0309,20.1012,,
2088.32008,-14.85992,-0.3374,0.8601,-0.0120,0.0307,20.1012,,
2088.32702,-14.85298,-0.4778,0.8609,-0.0171,0.0307,20.1012,,
2088.33397,-14.84603,0.2685,0.8571,0.0096,0.0306,20.1012,,
2088.34091,-14.83909,0.6727,0.8536,0.0240,0.0305,19.6777,1.3778,
2088.34786,-14.83214,0.7567,0.8636,0.0270,0.0308,19.5499,1.2391,
2088.35480,-14.82520,-0.4520,0.8614,-0.0161,0.0307,20.1012,,
2088.36175,-14.81825,-0.7490,0.8564,-0.0267,0.0306,20.1012,,
2088.36869,-14.81131,-0.2121,0.8622,-0.0076,0.0308,20.1012,,
2088.37564,-14.80436,0.2817,0.8569,0.0101,0.0306,20.1012,,
2088.38258,-14.79742,-0.6847,0.8554,-0.0244,0.0305,20.1012,,
2088.38952,-14.79048,0.3750,0.8549,0.0134,0.0305,20.1012,,
2088.39647,-14.78353,-0.0837,0.8564,-0.0030,0.0306,20.1012,,
2088.40341,-14.77659,1.0636,0.8558,0.0380,0.0305,19.1802,0.8735,
2088.41036,-14.76964,-0.4851,0.8594,-0.0173,0.0307,20.1012,,
2088.41730,-14.76270,-1.0189,0.8637,-0.0364,0.0308,20.1012,,
2088.42425,-14.75575,-0.8942,0.8590,-0.0319,0.0307,20.1012,,
2088.43119,-14.74881,0.7628,0.8636,0.0272,0.0308,19.5411,1.2291,
2088.43814,-14.74186,1.2960,0.8670,0.0463,0.0309,18.9657,0.7264,
2088.44508,-14.73492,-0.8454,0.8622,-0.0302,0.0308,20.1012,,
2088.45202,-14.72798,-0.7969,0.8631,-0.0284,0.0308,20.1012,,
2088.45897,-14.72103,-0.7420,0.8590,-0.0265,0.0307,20.1012,,
2088.46591,-14.71409,-0.5326,0.8626,-0.0190,0.0308,20.1012,,
2088.47286,-14.70714,-0.3353,0.8638,-0.0120,0.0308,20.1012,,
2088.47980,-14.70020,1.2988,0.8657,0.0464,0.0309,18.9634,0.7237,
2088.48675,-14.69325,-0.2253,0.8670,-0.0080,0.0309,20.1012,,
2088.49369,-14.68631,1.3173,0.8676,0.0470,0.0310,18.9480,0.7151,
2088.50064,-14.67936,-0.4069,0.8684,-0.0145,0.0310,20.1012,,
2088.50758,-14.67242,1.0028,0.8680,0.0358,0.0310,19.2442,0.9398,
2088.51453,-14.66547,0.2013,0.8644,0.0072,0.0308,20.1012,,
2088.52147,-14.65853,-0.1232,0.8595,-0.0044,0.0307,20.1012,,
2088.52841,-14.65159,-0.6727,0.8634,-0.0240,0.0308,20.1012,,
2088.53536,-14.64464,0.0191,0.8661,0.0007,0.0309,20.1012,,
2088.54230,-14.63770,0.0343,0.8632,0.0012,0.0308,20.1012,,
2088.54925,-14.63075,-0.2751,0.8679,-0.0098,0.0310,20.1012,,
2088.55619,-14.62381,1.4292,0.8668,0.0510,0.0309,18.8595,0.6585,
2088.56314,-14.61686,-0.1578,0.8665,-0.0056,0.0309,20.1012,,
2088.57008,-14.60992,-0.1096,0.8635,-0.0039,0.0308,20.1012,,
2088.57703,-14.60297,-0.1564,0.8657,-0.0056,0.0309,20.1012,,
2088.58397,-14.59603,1.1189,0.8634,0.0399,0.0308,19.1252,0.8378,
2088.59091,-14.58909,-0.4763,0.8629,-0.0170,0.0308,20.1012,,
2088.59786,-14.58214,0.8883,0.8652,0.0317,0.0309,19.3758,1.0574,
2088.60480,-14.57520,-0.6681,0.8637,-0.0238,0.0308,20.1012,,
2088.61175,-14.56825,-0.2486,0.8650,-0.0089,0.0309,20.1012,,
2088.61869,-14.56131,0.1492,0.8654,0.0053,0.0309,20.1012,,
2088.62564,-14.55436,0.6040,0.8623,0.0216,0.0308,19.7946,1.5500,
2088.63258,-14.54742,0.7013,0.8584,0.0250,0.0306,19.6325,1.3291,
2088.63953,-14.54047,-1.1656,0.8568,-0.0416,0.0306,20.1012,,
2088.64647,-14.53353,-0.1246,0.8627,-0.0044,0.0308,20.1012,,
2088.65342,-14.52658,-0.1135,0.8536,-0.0041,0.0305,20.1012,,
2088.66036,-14.51964,2.9227,0.8599,0.1043,0.0307,18.0827,0.3194,
2088.66730,-14.51270,0.4221,0.8572,0.0151,0.0306,20.1012,,
2088.67425,-14.50575,-0.7179,0.8534,-0.0256,0.0305,20.1012,,
2088.68119,-14.49881,-0.9666,0.8583,-0.0345,0.0306,20.1012,,
2088.68814,-14.49186,0.0859,0.8559,0.0031,0.0305,20.1012,,
2088.69508,-14.48492,1.8788,0.8597,0.0671,0.0307,18.5625,0.4968,
2088.70203,-14.47797,0.3314,0.8573,0.0118,0.0306,20.1012,,
2088.70897,-14.47103,0.9317,0.8570,0.0333,0.0306,19.3241,0.9987,
2088.71592,-14.46408,0.5126,0.8460,0.0183,0.0302,19.9727,1.7919,
2088.72286,-14.45714,0.1628,0.8580,0.0058,0.0306,20.1012,,
2088.72980,-14.45020,1.0164,0.8462,0.0363,0.0302,19.2295,0.9038,
2088.73675,-14.44325,-0.8276,0.8492,-0.0295,0.0303,20.1012,,
2088.74369,-14.43631,0.7492,0.8457,0.0267,0.0302,19.5606,1.2256,
2088.75064,-14.42936,1.9152,0.8534,0.0684,0.0305,18.5417,0.4838,
2088.75758,-14.42242,0.6210,0.8528,0.0222,0.0304,19.7645,1.4911,
2088.76453,-14.41547,-1.7851,0.8507,-0.0637,0.0304,20.1012,,
2088.77147,-14.40853,-0.0134,0.8482,-0.0005,0.0303,20.1012,,
2088.77842,-14.40158,1.5925,0.8462,0.0568,0.0302,18.7420,0.5769,
2088.78536,-14.39464,1.0604,0.8465,0.0378,0.0302,19.1836,0.8668,
2088.79231,-14.38769,-0.9940,0.8481,-0.0355,0.0303,20.1012,,
2088.79925,-14.38075,1.4991,0.8630,0.0535,0.0308,18.8076,0.6251,
2088.80619,-14.37381,1.0937,0.8501,0.0390,0.0303,19.1499,0.8439,
2088.81314,-14.36686,-0.6374,0.8459,-0.0227,0.0302,20.1012,,
2088.82008,-14.35992,-0.8038,0.8494,-0.0287,0.0303,20.1012,,
2088.82703,-14.35297,-1.1607,0.8534,-0.0414,0.0305,20.1012,,
2088.83397,-14.34603,0.4200,0.8672,0.0150,0.0309,20.1012,,
2088.84092,-14.33908,-0.6706,0.8516,-0.0239,0.0304,20.1012,,
2088.84786,-14.33214,0.4534,0.8503,0.0162,0.0303,20.1012,,
2088.85481,-14.32519,0.3540,0.8645,0.0126,0.0309,20.1012,,
2088.86175,-14.31825,-0.1750,0.8489,-0.0062,0.0303,20.1012,,
2088.86869,-14.31131,-0.7492,0.8517,-0.0267,0.0304,20.1012,,
2088.87564,-14.30436,0.9149,0.8642,0.0327,0.0308,19.3438,1.0256,
2088.88258,-14.29742,0.3932,0.8482,0.0140,0.0303,20.1012,,
2088.88953,-14.29047,-0.1723,0.8506,-0.0061,0.0304,20.1012,,
2088.89647,-14.28353,0.7493,0.8679,0.0267,0.0310,19.5605,1.2576,
2088.90342,-14.27658,0.7675,0.8673,0.0274,0.0310,19.5345,1.2269,
2088.91036,-14.26964,2.0400,0.8652,0.0728,0.0309,18.4731,0.4605,
2088.91731,-14.26269,0.1133,0.8470,0.0040,0.0302,20.1012,,
2088.92425,-14.25575,-0.7392,0.8617,-0.0264,0.0308,20.1012,,
2088.93119,-14.24881,0.7842,0.8599,0.0280,0.0307,19.5111,1.1905,
2088.93814,-14.24186,-0.5898,0.8599,-0.0211,0.0307,20.1012,,
2088.94508,-14.23492,-0.7171,0.8579,-0.0256,0.0306,20.1012,,
2088.95203,-14.22797,0.7121,0.8595,0.0254,0.0307,19.6159,1.3106,
2088.95897,-14.22103,-0.5043,0.8556,-0.0180,0.0305,20.1012,,
2088.96592,-14.21408,0.4750,0.8596,0.0170,0.0307,20.0553,1.9646,
2088.97286,-14.20714,0.1099,0.8600,0.0039,0.0307,20.1012,,
2088.97981,-14.20019,0.6429,0.8568,0.0229,0.0306,19.7269,1.4471,
2088.98675,-14.19325,-0.8965,0.8536,-0.0320,0.0305,20.1012,,
2088.99370,-14.18630,0.0580,0.8568,0.0021,0.0306,20.1012,,
2089.00064,-14.17936,0.3437,0.8570,0.0123,0.0306,20.1012,,
2089.00758,-14.17242,0.7149,0.8572,0.0255,0.0306,19.6116,1.3019,
2089.01453,-14.16547,0.7447,0.8576,0.0266,0.0306,19.5673,1.2505,
2089.02147,-14.15853,0.4489,0.8590,0.0160,0.0307,20.1012,,
2089.02842,-14.15158,0.2449,0.8553,0.0087,0.0305,20.1012,,
2089.03536,-14.14464,-0.1066,0.8499,-0.0038,0.0303,20.1012,,
2089.04231,-14.13769,-0.7113,0.8532,-0.0254,0.0305,20.1012,,
2089.04925,-14.13075,-0.7725,0.8547,-0.0276,0.0305,20.1012,,
2089.05620,-14.12380,-0.2837,0.8553,-0.0101,0.0305,20.1012,,
2089.06314,-14.11686,-0.9593,0.8548,-0.0342,0.0305,20.1012,,
2089.07008,-14.10992,-0.9461,0.8523,-0.0338,0.0304,20.1012,,
2089.07703,-14.10297,0.6501,0.8554,0.0232,0.0305,19.7147,1.4286,
2089.08397,-14.09603,-0.3014,0.8530,-0.0108,0.0304,20.1012,,
2089.09092,-14.08908,0.5063,0.8594,0.0181,0.0307,19.9861,1.8429,
2089.09786,-14.08214,2.1543,0.8603,0.0769,0.0307,18.4139,0.4336,
2089.10481,-14.07519,1.0530,0.8559,0.0376,0.0305,19.1911,0.8824,
2089.11175,-14.06825,-0.4033,0.8550,-0.0144,0.0305,20.1012,,
2089.11870,-14.06130,0.3028,0.8583,0.0108,0.0306,20.1012,,
2089.12564,-14.05436,0.1985,0.8601,0.0071,0.0307,20.1012,,
2089.13258,-14.04742,1.8025,0.8629,0.0643,0.0308,18.6075,0.5198,
2089.13953,-14.04047,0.7288,0.8634,0.0260,0.0308,19.5906,1.2862,
2089.14647,-14.03353,-0.8605,0.8600,-0.0307,0.0307,20.1012,,
2089.15342,-14.02658,1.6691,0.8720,0.0596,0.0311,18.6910,0.5672,
2089.16036,-14.01964,-0.4793,0.8669,-0.0171,0.0309,20.1012,,
2089.16731,-14.01269,-0.4021,0.8668,-0.0144,0.0309,20.1012,,
2089.17425,-14.00575,0.2300,0.8631,0.0082,0.0308,20.1012,,
2089.18120,-13.99880,-0.4086,0.8594,-0.0146,0.0307,20.1012,,
2089.18814,-13.99186,-0.2187,0.8619,-0.0078,0.0308,20.1012,,
2089.19508,-13.98492,0.0125,0.8675,0.0004,0.0310,20.1012,,
2089.20203,-13.97797,1.0370,0.8673,0.0370,0.0310,19.2077,0.9081,
2089.20897,-13.97103,-0.0879,0.8690,-0.0031,0.0310,20.1012,,
2089.21592,-13.96408,-0.2125,0.8697,-0.0076,0.0310,20.1012,,
2089.22286,-13.95714,0.7580,0.8751,0.0271,0.0312,19.5480,1.2534,
2089.22981,-13.95019,0.4287,0.8705,0.0153,0.0311,20.1012,,
2089.23675,-13.94325,-2.4853,0.8746,-0.0887,0.0312,20.1012,,
2089.24370,-13.93630,-1.2497,0.8698,-0.0446,0.0310,20.1012,,
2089.25064,-13.92936,1.0644,0.8735,0.0380,0.0312,19.1794,0.8910,
2089.25758,-13.92242,0.1270,0.8736,0.0045,0.0312,20.1012,,
2089.26453,-13.91547,1.8387,0.8718,0.0656,0.0311,18.5859,0.5148,
2089.27147,-13.90853,0.5429,0.8758,0.0194,0.0313,19.9103,1.7513,
2089.27842,-13.90158,-0.5442,0.8698,-0.0194,0.0310,20.1012,,
2089.28536,-13.89464,-0.9121,0.8734,-0.0326,0.0312,20.1012,,
2089.29231,-13.88769,-0.5578,0.8723,-0.0199,0.0311,20.1012,,
2089.29925,-13.88075,-0.3467,0.8673,-0.0124,0.0310,20.1012,,
2089.30620,-13.87380,-0.0868,0.8734,-0.0031,0.0312,20.1012,,
2089.31314,-13.86686,1.5744,0.8733,0.0562,0.0312,18.7544,0.6023,
2089.32008,-13.85992,-0.9964,0.8693,-0.0356,0.0310,20.1012,,
2089.32703,-13.85297,0.1215,0.8661,0.0043,0.0309,20.1012,,
2089.33397,-13.84603,0.7112,0.8700,0.0254,0.0310,19.6173,1.3282,
2089.34092,-13.83908,-0.5058,0.8731,-0.0181,0.0312,20.1012,,
2089.34786,-13.83214,-1.6581,0.8644,-0.0592,0.0309,20.1012,,
2089.35481,-13.82519,-0.1747,0.8688,-0.0062,0.0310,20.1012,,
2089.36175,-13.81825,-1.4229,0.8661,-0.0508,0.0309,20.1012,,
2089.36870,-13.81130,-0.6235,0.8614,-0.0223,0.0307,20.1012,,
2089.37564,-13.80436,-0.4300,0.8634,-0.0153,0.0308,20.1012,,
2089.38258,-13.79742,-1.2084,0.8645,-0.0431,0.0309,20.1012,,
2089.38953,-13.79047,-1.0593,0.8622,-0.0378,0.0308,20.1012,,
2089.39647,-13.78353,-0.1454,0.8679,-0.0052,0.0310,20.1012,,
