BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2103.30614,0.12614,0.25261,0.14328,0.00902,0.00511,19.75761,0.27985,
2103.55961,0.37961,0.11253,0.14560,0.00401,0.00519,19.76754,0.29806,
2103.80960,0.62960,-0.02587,0.14534,-0.00093,0.00519,19.79731,0.32318,
2104.05960,0.87960,0.48433,0.14603,0.01728,0.00521,19.67155,0.27484,
2104.30960,1.12960,0.30063,0.14660,0.01073,0.00523,19.74484,0.30738,
2104.55959,1.37959,0.84605,0.14478,0.03019,0.00517,19.43062,0.20846,
2104.81286,1.63286,0.93288,0.14594,0.03330,0.00521,19.33721,0.19983,
2105.05959,1.87959,1.31731,0.14619,0.04701,0.00522,19.08832,0.14852,
2105.30958,2.12958,1.34328,0.14583,0.04795,0.00521,19.01712,0.14722,
2105.55958,2.37958,2.13262,0.14471,0.07612,0.00516,18.52161,0.10305,
2105.80957,2.62957,2.88824,0.14557,0.10307,0.00519,18.16496,0.07176,
2106.05957,2.87957,3.36456,0.14456,0.12008,0.00516,17.96380,0.05243,
2106.30957,3.12957,4.14205,0.14445,0.14783,0.00515,17.72573,0.04063,
2106.55956,3.37956,4.67596,0.14545,0.16689,0.00519,17.59417,0.03587,
2106.80956,3.62956,5.32901,0.14704,0.19019,0.00525,17.44819,0.03156,
2107.05955,3.87955,6.08255,0.14573,0.21709,0.00520,17.30024,0.02696,
2107.30955,4.12955,6.86886,0.14616,0.24515,0.00522,17.16463,0.02372,
2107.55954,4.37954,7.63190,0.14676,0.27238,0.00524,17.04663,0.02123,
2107.80706,4.62706,8.72304,0.14721,0.31132,0.00525,16.90048,0.01857,
2108.06122,4.88122,9.24697,0.14739,0.33002,0.00526,16.83902,0.01762,
2108.30626,5.12626,10.36660,0.14868,0.36999,0.00531,16.71231,0.01575,
2108.57713,5.39713,11.09797,0.16324,0.39608,0.00583,16.63662,0.01608,
2108.80952,5.62952,12.15409,0.14799,0.43376,0.00528,16.53924,0.01336,
2109.05952,5.87952,13.04614,0.14697,0.46562,0.00524,16.46027,0.01229,
2109.30951,6.12951,14.02489,0.14765,0.50054,0.00527,16.38414,0.01157,
2109.55951,6.37951,14.97748,0.14746,0.53453,0.00526,16.31001,0.01073,
2109.80950,6.62950,16.25797,0.14763,0.58024,0.00527,16.22100,0.00990,
2110.05950,6.87950,17.38814,0.15009,0.62058,0.00536,16.14866,0.00942,
2110.30949,7.12949,18.72628,0.15146,0.66833,0.00540,16.06802,0.00882,
2110.55948,7.37948,19.84434,0.15228,0.70824,0.00543,16.00415,0.00835,
2110.80948,7.62948,20.80119,0.15262,0.74239,0.00545,15.95302,0.00799,
2111.05948,7.87947,22.04642,0.15342,0.78682,0.00548,15.89024,0.00758,
2111.30947,8.12947,22.95292,0.15492,0.81917,0.00553,15.84629,0.00735,
2111.56194,8.38194,23.96176,0.16366,0.85518,0.00584,15.79909,0.00743,
2111.80946,8.62946,24.74567,0.16810,0.88316,0.00600,15.76437,0.00739,
2112.06040,8.88040,25.78391,0.17922,0.92022,0.00640,15.71952,0.00756,
2112.30945,9.12945,27.16127,0.17680,0.96937,0.00631,15.66308,0.00708,
2112.46222,9.28222,27.94240,0.44419,0.99728,0.01585,15.63325,0.01725,
