BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51634,-9.10366,-7.6435,5.7187,-0.2711,0.2028,19.8256,,
1842.53717,-9.08283,-7.4857,5.7647,-0.2655,0.2044,19.8256,,
1842.55800,-9.06200,-7.0720,5.7577,-0.2508,0.2042,19.8256,,
1842.57884,-9.04116,0.3845,5.8231,0.0136,0.2065,19.8256,,
1842.59967,-9.02033,-6.8304,5.7968,-0.2422,0.2056,19.8256,,
1842.62050,-8.99950,3.7176,5.8084,0.1318,0.2060,19.8256,,
1842.68301,-8.93699,-10.6112,5.8485,-0.3763,0.2074,19.8256,,
1842.74551,-8.87449,-8.0216,5.7740,-0.2845,0.2048,19.8256,,
1842.76634,-8.85366,-10.7045,5.7148,-0.3796,0.2027,19.8256,,
1842.78718,-8.83282,-1.9214,5.6957,-0.0681,0.2020,19.8256,,
1842.80801,-8.81199,-3.5103,5.7195,-0.1245,0.2028,19.8256,,
1842.82884,-8.79116,-6.7126,5.7313,-0.2380,0.2032,19.8256,,
1842.84968,-8.77032,-4.4960,5.6527,-0.1594,0.2005,19.8256,,
1842.87051,-8.74949,-6.4107,5.6275,-0.2273,0.1996,19.8256,,
1842.89134,-8.72866,-2.9465,5.5831,-0.1045,0.1980,19.8256,,
1842.91218,-8.70782,-5.4047,5.6089,-0.1917,0.1989,19.8256,,
1842.93301,-8.68699,-2.3094,5.6279,-0.0819,0.1996,19.8256,,
1842.95385,-8.66615,-3.7466,5.6931,-0.1329,0.2019,19.8256,,
1842.97468,-8.64532,9.4301,5.6767,0.3344,0.2013,19.1965,0.6536,
1842.99551,-8.62449,-6.0407,5.6731,-0.2142,0.2012,19.8256,,
1843.01635,-8.60365,-1.0935,5.6826,-0.0388,0.2015,19.8256,,
1843.03718,-8.58282,8.0007,5.6824,0.2837,0.2015,19.3750,0.7711,
1843.05801,-8.56199,0.5912,5.6959,0.0210,0.2020,19.8256,,
1843.07885,-8.54115,-2.5587,5.7372,-0.0907,0.2035,19.8256,,
1843.09968,-8.52032,3.2304,5.6180,0.1146,0.1992,19.8256,,
1843.12052,-8.49948,1.8813,5.7000,0.0667,0.2021,19.8256,,
1843.14135,-8.47865,3.0029,5.7195,0.1065,0.2028,19.8256,,
1843.16218,-8.45782,-6.3952,5.6489,-0.2268,0.2003,19.8256,,
1843.18302,-8.43698,-10.4783,5.6572,-0.3716,0.2006,19.8256,,
1843.20385,-8.41615,1.9771,5.6991,0.0701,0.2021,19.8256,,
1843.22469,-8.39531,-2.5821,5.7473,-0.0916,0.2038,19.8256,,
1843.24552,-8.37448,-2.4168,5.7462,-0.0857,0.2038,19.8256,,
1843.26635,-8.35365,-5.6459,5.7785,-0.2002,0.2049,19.8256,,
1843.28719,-8.33281,-1.3301,5.7916,-0.0472,0.2054,19.8256,,
1843.30802,-8.31198,10.6065,5.7640,0.3761,0.2044,19.0689,0.5900,
1843.32885,-8.29115,-11.2680,5.7742,-0.3996,0.2048,19.8256,,
1843.34969,-8.27031,1.5561,5.7460,0.0552,0.2038,19.8256,,
1843.37052,-8.24948,-4.3518,5.7795,-0.1543,0.2050,19.8256,,
1843.39135,-8.22865,0.3386,5.7035,0.0120,0.2023,19.8256,,
1843.41219,-8.20781,-0.7002,5.7466,-0.0248,0.2038,19.8256,,
1843.43302,-8.18698,-11.1520,5.7364,-0.3955,0.2034,19.8256,,
1843.45386,-8.16614,-3.7213,5.7724,-0.1320,0.2047,19.8256,,
1843.47469,-8.14531,1.6797,5.6869,0.0596,0.2017,19.8256,,
1843.49552,-8.12448,-7.3992,5.6419,-0.2624,0.2001,19.8256,,
1843.51636,-8.10364,2.2468,5.6259,0.0797,0.1995,19.8256,,
1843.53719,-8.08281,-0.0576,5.6755,-0.0020,0.2013,19.8256,,
1843.55803,-8.06197,3.1550,5.6793,0.1119,0.2014,19.8256,,
1843.57886,-8.04114,3.1941,5.6944,0.1133,0.2019,19.8256,,
1843.59969,-8.02031,-1.5315,5.7051,-0.0543,0.2023,19.8256,,
