BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51595,-16.05405,-0.1818,3.3444,-0.0222,0.4090,20.2974,,
1842.53678,-16.03322,0.3028,3.3016,0.0370,0.4038,20.2974,,
1842.55762,-16.01238,-1.6350,3.2426,-0.2000,0.3966,20.2974,,
1842.57845,-15.99155,6.5165,3.2717,0.7970,0.4002,19.5978,0.5451,
1842.59928,-15.97072,-3.6464,3.2445,-0.4460,0.3968,20.2974,,
1842.62012,-15.94988,2.4138,3.2504,0.2952,0.3975,20.2974,,
1842.68262,-15.88738,2.3269,3.2693,0.2846,0.3999,20.2974,,
1842.74512,-15.82488,0.8307,3.2665,0.1016,0.3995,20.2974,,
1842.76595,-15.80405,4.8631,3.2679,0.5948,0.3997,19.9155,0.7296,
1842.78679,-15.78321,4.0118,3.3249,0.4907,0.4067,20.1245,0.8998,
1842.80762,-15.76238,1.0345,3.2599,0.1265,0.3987,20.2974,,
1842.82846,-15.74154,-2.9591,3.2756,-0.3619,0.4006,20.2974,,
1842.84929,-15.72071,-5.7176,3.2827,-0.6993,0.4015,20.2974,,
1842.87012,-15.69988,3.4485,3.2475,0.4218,0.3972,20.2887,1.0224,
1842.89096,-15.67904,10.5503,3.2568,1.2904,0.3983,19.0746,0.3352,
1842.91179,-15.65821,-2.4581,3.2833,-0.3006,0.4016,20.2974,,
1842.93262,-15.63738,-3.6545,3.2881,-0.4470,0.4022,20.2974,,
1842.95346,-15.61654,-2.2318,3.2552,-0.2730,0.3981,20.2974,,
1842.97429,-15.59571,2.0745,3.2816,0.2537,0.4014,20.2974,,
1842.99513,-15.57487,-0.4434,3.3961,-0.0542,0.4154,20.2974,,
1843.01596,-15.55404,-1.8398,3.2749,-0.2250,0.4005,20.2974,,
1843.03679,-15.53321,-1.5379,3.2855,-0.1881,0.4018,20.2974,,
1843.05763,-15.51237,-3.6770,3.2755,-0.4497,0.4006,20.2974,,
1843.07846,-15.49154,0.9969,3.3531,0.1219,0.4101,20.2974,,
1843.09929,-15.47071,-3.1534,3.2856,-0.3857,0.4018,20.2974,,
1843.12013,-15.44987,-1.2962,3.2878,-0.1585,0.4021,20.2974,,
1843.14096,-15.42904,-1.8951,3.2911,-0.2318,0.4025,20.2974,,
1843.16180,-15.40820,4.7260,3.4096,0.5780,0.4170,19.9466,0.7833,
1843.18263,-15.38737,-4.7435,3.2877,-0.5802,0.4021,20.2974,,
1843.20346,-15.36654,-0.1152,3.2842,-0.0141,0.4017,20.2974,,
1843.22430,-15.34570,-1.4581,3.2803,-0.1783,0.4012,20.2974,,
1843.24513,-15.32487,-1.3696,3.4166,-0.1675,0.4179,20.2974,,
1843.26596,-15.30404,4.2199,3.2706,0.5161,0.4000,20.0695,0.8415,
1843.28680,-15.28320,-4.2143,3.3429,-0.5154,0.4089,20.2974,,
1843.30763,-15.26237,-4.0130,3.2512,-0.4908,0.3976,20.2974,,
1843.32847,-15.24153,0.7956,3.3023,0.0973,0.4039,20.2974,,
1843.34930,-15.22070,-1.6540,3.2539,-0.2023,0.3980,20.2974,,
1843.37013,-15.19987,-0.9433,3.2874,-0.1154,0.4021,20.2974,,
1843.39097,-15.17903,-0.2369,3.2461,-0.0290,0.3970,20.2974,,
1843.41180,-15.15820,-6.6744,3.3233,-0.8163,0.4065,20.2974,,
1843.43263,-15.13737,-6.9485,3.2702,-0.8498,0.4000,20.2974,,
1843.45347,-15.11653,-2.0457,3.3324,-0.2502,0.4076,20.2974,,
1843.47430,-15.09570,1.3171,3.2721,0.1611,0.4002,20.2974,,
1843.49514,-15.07486,4.5753,3.2987,0.5596,0.4035,19.9818,0.7828,
