BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1858.72246,0.15246,10.76200,1.04200,1.31627,0.12744,19.23719,0.16774,
1858.96393,0.39393,8.34518,0.99220,1.02066,0.12135,19.48848,0.16496,
1859.21393,0.64393,6.82297,0.98902,0.83449,0.12096,19.60152,0.18120,
1859.46393,0.89393,10.46577,0.98394,1.28003,0.12034,19.17761,0.09589,
1859.72435,1.15435,8.03382,0.93873,0.98259,0.11481,19.44892,0.15617,
1859.98476,1.41476,8.13525,0.98320,0.99499,0.12025,19.42343,0.15923,
1860.23476,1.66476,7.67193,0.98029,0.93833,0.11990,19.47084,0.17846,
1860.48475,1.91475,8.63127,0.98103,1.05566,0.11999,19.46457,0.17538,
1860.73475,2.16475,8.32217,0.97787,1.01785,0.11960,19.42364,0.15224,
1860.98475,2.41475,12.10179,0.97888,1.48011,0.11972,19.02335,0.10286,
1861.23475,2.66475,12.44318,0.97733,1.52188,0.11954,19.12897,0.11934,
1861.48474,2.91474,9.52990,0.98066,1.16557,0.11994,19.23119,0.12979,
1861.73474,3.16474,8.13094,0.98216,0.99447,0.12013,19.44105,0.15083,
1861.99307,3.42307,7.35449,1.07538,0.89950,0.13153,19.43632,0.14627,
1862.23473,3.66473,-0.03720,0.97740,-0.00456,0.11955,20.12561,0.30189,
1862.48473,3.91473,9.62006,0.98197,1.17658,0.12010,19.23709,0.12381,
1862.73472,4.16472,9.09888,0.98433,1.11286,0.12039,19.35924,0.17231,
1862.98472,4.41472,8.62921,0.98055,1.05541,0.11993,19.39901,0.16725,
1863.23472,4.66472,9.41111,0.97651,1.15103,0.11943,19.21572,0.11251,
1863.48471,4.91471,6.20511,0.97868,0.75893,0.11970,19.69573,0.19645,
1863.64096,5.07096,5.89913,1.95289,0.72150,0.23887,19.62817,0.31955,
