BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1858.60031,0.14031,0.23781,1.42929,0.00404,0.02424,20.11735,0.41829,
1858.84614,0.38614,0.50209,1.38996,0.00851,0.02357,20.14800,0.45351,
1859.08572,0.62572,2.45898,1.30526,0.04170,0.02214,19.99823,0.32953,
1859.34614,0.88614,5.49975,1.28005,0.09328,0.02171,19.72752,0.22505,
1859.59614,1.13614,6.48526,1.36272,0.11001,0.02311,19.63650,0.28970,
1859.83572,1.37572,7.40171,1.27603,0.12554,0.02164,19.50962,0.18596,
1860.08572,1.62572,10.75999,1.26435,0.18251,0.02144,19.15093,0.14705,
1860.33572,1.87572,14.11101,1.30165,0.23933,0.02208,18.78071,0.10625,
1860.58572,2.12572,15.55165,1.27857,0.26377,0.02169,18.70186,0.10603,
1860.83572,2.37572,17.98288,1.30050,0.30501,0.02206,18.51851,0.08343,
1861.08572,2.62572,17.96702,1.28247,0.30473,0.02175,18.50971,0.08018,
1861.33572,2.87572,19.43471,1.32266,0.32964,0.02243,18.42488,0.07659,
1861.58572,3.12572,22.02088,1.29964,0.37350,0.02204,18.29008,0.06691,
1861.81489,3.35489,23.18855,1.40913,0.39330,0.02390,18.22814,0.06752,
1862.08572,3.62572,26.25439,1.31042,0.44531,0.02222,18.10005,0.05675,
1862.33572,3.87572,25.84922,1.32071,0.43844,0.02240,18.11692,0.05779,
1862.59614,4.13614,25.84075,1.27113,0.43830,0.02156,18.10960,0.05465,
1862.85655,4.39655,27.69507,1.28659,0.46976,0.02182,18.04147,0.05287,
1863.10655,4.64655,31.52861,1.32927,0.53477,0.02255,17.89622,0.04702,
1863.35655,4.89655,33.52967,1.32543,0.56870,0.02248,17.82222,0.04326,
1863.60655,5.14655,36.96731,1.25375,0.62702,0.02126,17.72436,0.03812,
1863.85655,5.39655,34.98221,1.25601,0.59333,0.02131,17.77788,0.03958,
1864.10655,5.64655,35.72515,1.29792,0.60595,0.02202,17.76377,0.04101,
1864.35655,5.89655,35.11865,1.26944,0.59565,0.02153,17.78060,0.04061,
1864.59613,6.13613,38.27873,1.35542,0.64925,0.02299,17.67905,0.03882,
1864.85655,6.39655,42.83475,1.32670,0.72654,0.02250,17.55982,0.03424,
1865.10655,6.64655,44.19342,1.29743,0.74957,0.02201,17.52598,0.03242,
1865.62738,7.16738,47.56298,1.42826,0.80672,0.02422,17.44713,0.03331,
1865.85654,7.39654,49.00136,1.30299,0.83112,0.02210,17.41858,0.02973,
1866.10654,7.64654,47.62331,1.29005,0.80775,0.02188,17.44046,0.02958,
1866.35654,7.89654,49.67208,1.31088,0.84250,0.02223,17.39939,0.02919,
1866.60654,8.14654,51.08672,1.31899,0.86649,0.02237,17.36716,0.02847,
1866.85654,8.39654,53.25394,1.31843,0.90326,0.02236,17.32552,0.02754,
1867.10654,8.64654,56.33684,1.30069,0.95554,0.02206,17.25793,0.02520,
1867.33987,8.87987,53.24219,1.44724,0.90306,0.02454,17.32024,0.02979,
1867.60653,9.14654,57.37992,1.37049,0.97324,0.02325,17.24484,0.02655,
1867.85653,9.39653,55.47522,1.34056,0.94093,0.02274,17.27470,0.02635,
1868.10653,9.64653,54.16999,1.30940,0.91879,0.02221,17.30152,0.02646,
1868.33570,9.87570,57.61782,1.43691,0.97727,0.02437,17.23354,0.02723,
