BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2120.46380,0.12380,0.16723,0.12982,0.04340,0.03369,19.38031,0.31234,
2120.71380,0.37380,0.19371,0.13001,0.05028,0.03374,19.35413,0.26614,
2120.96380,0.62380,0.42103,0.13006,0.10926,0.03375,19.30499,0.22040,
2121.21380,0.87380,0.41086,0.13034,0.10662,0.03383,19.32259,0.24162,
2121.46380,1.12380,0.23552,0.13047,0.06112,0.03386,19.32927,0.25793,
2121.71380,1.37380,0.39906,0.13055,0.10356,0.03388,19.27387,0.20919,
2121.96379,1.62379,0.41403,0.13044,0.10745,0.03385,19.31387,0.21942,
2122.21727,1.87727,0.59868,0.12854,0.15536,0.03336,19.25104,0.18164,
2122.45146,2.11146,0.62848,0.14575,0.16310,0.03782,19.27616,0.21518,
2122.72074,2.38074,1.14838,0.13097,0.29803,0.03399,19.03860,0.13717,
2122.97073,2.63073,0.64548,0.13104,0.16751,0.03401,19.21444,0.17406,
2123.22073,2.88073,1.04378,0.13095,0.27088,0.03398,19.03823,0.12741,
2123.47073,3.13073,0.93056,0.13075,0.24149,0.03393,19.14467,0.15482,
2123.72073,3.38073,1.33416,0.13063,0.34624,0.03390,18.92993,0.11603,
2123.97073,3.63073,1.15863,0.13091,0.30069,0.03397,18.97720,0.12177,
2124.22073,3.88073,1.35127,0.13100,0.35068,0.03400,18.92305,0.11376,
2124.47072,4.13072,1.26621,0.13142,0.32861,0.03410,18.96662,0.12228,
2124.72072,4.38072,1.32588,0.13143,0.34409,0.03411,18.95135,0.11668,
2124.97072,4.63072,1.40424,0.13155,0.36443,0.03414,18.90424,0.10960,
2125.22072,4.88072,1.91456,0.13178,0.49686,0.03420,18.62274,0.08898,
2125.47072,5.13072,1.70735,0.13235,0.44309,0.03435,18.69359,0.09177,
2125.72071,5.38071,1.84461,0.13288,0.47871,0.03448,18.62946,0.08859,
2125.97071,5.63071,1.96352,0.13459,0.50957,0.03493,18.59629,0.09299,
2126.20242,5.86242,2.24058,0.15378,0.58148,0.03991,18.43231,0.08745,
2126.40531,6.06531,1.93503,0.26277,0.50217,0.06819,18.61497,0.18606,
2130.28174,9.94174,3.28478,0.18857,0.85246,0.04894,17.98414,0.06826,
2130.47067,10.13067,3.59552,0.12989,0.93311,0.03371,17.90346,0.04193,
2130.72067,10.38067,3.53460,0.13004,0.91728,0.03375,17.92155,0.04913,
2130.97067,10.63067,3.45228,0.12980,0.89593,0.03368,17.93043,0.04441,
2131.22066,10.88066,3.52305,0.12993,0.91430,0.03372,17.91749,0.04439,
2131.47066,11.13066,3.80511,0.12984,0.98749,0.03370,17.81584,0.03929,
2131.72065,11.38065,3.66948,0.12988,0.95229,0.03371,17.86067,0.04149,
2131.97065,11.63065,3.61451,0.13000,0.93803,0.03374,17.87085,0.04152,
2132.22065,11.88065,3.69276,0.12984,0.95833,0.03370,17.85526,0.04124,
2132.47064,12.13064,3.76968,0.12969,0.97830,0.03366,17.83548,0.04070,
2132.72064,12.38064,3.67430,0.12940,0.95354,0.03358,17.86959,0.04295,
2132.96777,12.62777,3.62832,0.13303,0.94163,0.03452,17.86839,0.04226,
2133.22063,12.88063,3.61898,0.12953,0.93919,0.03361,17.88258,0.04276,
2133.47062,13.13062,3.72775,0.12973,0.96742,0.03367,17.83976,0.04102,
2133.72062,13.38062,3.88863,0.12927,1.00918,0.03355,17.78406,0.03733,
2133.97061,13.63061,3.80936,0.12944,0.98860,0.03359,17.81113,0.03859,
2134.22061,13.88061,3.67618,0.12943,0.95403,0.03359,17.85503,0.04054,
2134.47060,14.13060,3.88244,0.12940,1.00757,0.03358,17.79732,0.03869,
2134.72288,14.38288,3.84557,0.13120,0.99799,0.03405,17.80669,0.03972,
2134.93934,14.59934,3.53474,0.15002,0.91732,0.03893,17.91175,0.05120,
