BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2115.89106,-6.65894,-0.8954,0.8837,-0.2700,0.2665,20.9802,,
2115.89800,-6.65200,0.4949,0.8898,0.1492,0.2683,20.0110,1.9523,
2115.90494,-6.64506,0.6199,0.8797,0.1869,0.2653,19.7664,1.5409,
2115.91189,-6.63811,1.7205,0.8846,0.5188,0.2668,18.6580,0.5582,
2115.91883,-6.63117,-0.2623,0.8848,-0.0791,0.2668,20.9802,,
2115.92578,-6.62422,1.5167,0.8843,0.4574,0.2667,18.7949,0.6330,
2115.93272,-6.61728,-0.7960,0.8962,-0.2400,0.2703,20.9802,,
2115.95356,-6.59644,0.1501,0.8868,0.0453,0.2674,20.9802,,
2115.96050,-6.58950,-0.0239,0.8936,-0.0072,0.2695,20.9802,,
2115.97439,-6.57561,-0.4016,0.8948,-0.1211,0.2698,20.9802,,
2115.98134,-6.56866,-2.0109,0.8781,-0.6064,0.2648,20.9802,,
2115.98828,-6.56172,0.8329,0.8967,0.2512,0.2704,19.4457,1.1689,
2115.99522,-6.55478,0.1026,0.8955,0.0309,0.2700,20.9802,,
2116.00217,-6.54783,-0.3175,0.9037,-0.0957,0.2725,20.9802,,
2116.00911,-6.54089,1.2867,0.9001,0.3880,0.2714,18.9735,0.7596,
2116.01606,-6.53394,1.3057,0.9008,0.3937,0.2717,18.9576,0.7491,
2116.02300,-6.52700,-1.3291,0.9106,-0.4008,0.2746,20.9802,,
2116.02995,-6.52005,-0.1993,0.8894,-0.0601,0.2682,20.9802,,
2116.03689,-6.51311,-0.2999,0.9021,-0.0904,0.2720,20.9802,,
2116.04384,-6.50616,-0.7596,0.9215,-0.2291,0.2779,20.9802,,
2116.05078,-6.49922,-1.3628,0.9030,-0.4110,0.2723,20.9802,,
2116.05773,-6.49227,0.6004,0.9003,0.1811,0.2715,19.8011,1.6281,
2116.06467,-6.48533,0.0127,0.9005,0.0038,0.2715,20.9802,,
2116.07161,-6.47839,0.3907,0.9110,0.1178,0.2747,20.2675,2.5314,
2116.07856,-6.47144,-0.2651,0.8956,-0.0800,0.2701,20.9802,,
2116.08550,-6.46450,-0.7048,0.9109,-0.2125,0.2747,20.9802,,
2116.09245,-6.45755,-0.0603,0.9052,-0.0182,0.2730,20.9802,,
2116.09939,-6.45061,0.1992,0.8904,0.0601,0.2685,20.9802,,
2116.10634,-6.44366,0.5019,0.9064,0.1514,0.2733,19.9956,1.9608,
2116.11328,-6.43672,0.0655,0.9057,0.0197,0.2731,20.9802,,
2116.12023,-6.42977,-0.6519,0.8918,-0.1966,0.2689,20.9802,,
2116.12717,-6.42283,-0.0193,0.8910,-0.0058,0.2687,20.9802,,
2116.13412,-6.41588,0.2613,0.9084,0.0788,0.2739,20.7043,3.7744,
