BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2122.70011,0.15011,0.16028,0.14204,0.04833,0.04284,20.21466,0.37414,
2122.95011,0.40011,-0.04239,0.14032,-0.01277,0.04231,20.44270,0.48920,
2123.20011,0.65011,-0.22003,0.14196,-0.06636,0.04281,20.62006,0.65302,
2123.45011,0.90011,0.09865,0.14253,0.02975,0.04298,20.45258,0.52256,
2123.70011,1.15011,-0.09865,0.14317,-0.02975,0.04318,20.54491,0.50505,
2123.95011,1.40011,0.14417,0.13990,0.04347,0.04219,20.39403,0.45085,
2124.20011,1.65011,0.25206,0.14291,0.07601,0.04310,20.29967,0.49984,
2124.45358,1.90358,-0.04895,0.14235,-0.01476,0.04293,20.50190,0.49480,
2124.70705,2.15705,0.29416,0.14380,0.08870,0.04336,20.25172,0.43545,
2124.95705,2.40705,0.49156,0.14379,0.14824,0.04336,20.03987,0.40185,
2125.20704,2.65704,0.31368,0.14743,0.09459,0.04446,20.23515,0.44474,
2125.45704,2.90704,0.64002,0.14482,0.19301,0.04367,19.89678,0.36752,
2125.70704,3.15704,0.39386,0.14379,0.11878,0.04336,20.13466,0.30482,
2125.95704,3.40704,0.60363,0.15207,0.18203,0.04586,19.86140,0.34870,
2126.17458,3.62458,0.62762,0.19311,0.18927,0.05824,19.87110,0.41302,
2126.43807,3.88807,0.58032,0.25932,0.17500,0.07820,19.79928,0.57650,
2130.27437,7.72437,2.02247,0.21782,0.60990,0.06569,18.61231,0.25060,
2130.45700,7.90700,2.01856,0.13911,0.60871,0.04195,18.63350,0.09598,
2130.70700,8.15700,2.16976,0.13843,0.65430,0.04174,18.47094,0.08522,
2130.95700,8.40700,2.15805,0.13806,0.65077,0.04163,18.51196,0.10003,
2131.20700,8.65700,2.18829,0.13663,0.65990,0.04120,18.50625,0.08226,
2131.45699,8.90699,2.55695,0.13950,0.77107,0.04207,18.31980,0.09925,
2131.70699,9.15699,2.58568,0.14432,0.77974,0.04352,18.28048,0.07692,
2131.95699,9.40699,2.73390,0.14378,0.82444,0.04336,18.22151,0.07096,
2132.20698,9.65698,2.67085,0.14170,0.80542,0.04273,18.22565,0.06973,
2132.45698,9.90698,2.84812,0.14339,0.85888,0.04324,18.15665,0.06265,
2132.70697,10.15697,2.67425,0.14316,0.80644,0.04317,18.25449,0.07406,
2132.95329,10.40329,2.92780,0.14537,0.88291,0.04384,18.16358,0.07958,
2133.20696,10.65696,2.74856,0.13966,0.82885,0.04212,18.19326,0.06316,
2133.45696,10.90696,3.00770,0.14733,0.90700,0.04443,18.08547,0.05838,
2133.70695,11.15696,2.90167,0.14366,0.87502,0.04332,18.17093,0.07863,
2133.95695,11.40695,2.86585,0.14038,0.86422,0.04233,18.16194,0.06348,
2134.20695,11.65695,3.05499,0.14080,0.92127,0.04246,18.08640,0.05857,
2134.45694,11.90694,2.52909,0.14472,0.76267,0.04364,18.29834,0.07458,
2134.70882,12.15882,3.32815,0.14654,1.00363,0.04419,17.99238,0.05585,
2134.95693,12.40693,3.47064,0.14345,1.04661,0.04326,17.92893,0.04933,
2135.20692,12.65692,3.07359,0.14403,0.92687,0.04344,18.06669,0.05755,
2135.45692,12.90692,3.13589,0.14062,0.94565,0.04240,18.03197,0.05231,
2135.70642,13.15642,3.30469,0.14814,0.99657,0.04467,17.97359,0.05200,
2135.95523,13.40523,3.05681,0.16869,0.92181,0.05087,18.06107,0.06451,
2136.21732,13.66732,2.76761,0.22160,0.83459,0.06682,18.20045,0.10761,
2136.46037,13.91037,3.18602,0.21882,0.96078,0.06599,18.01424,0.08108,
2136.72098,14.17098,3.49074,0.21214,1.05266,0.06397,17.92652,0.07387,
2136.95688,14.40688,2.97001,0.14592,0.89564,0.04401,18.12677,0.06472,
2137.20687,14.65687,3.34078,0.14459,1.00745,0.04360,17.98241,0.05339,
2137.38048,14.83048,2.79871,0.23152,0.84399,0.06982,18.18714,0.10569,
