BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2115.89101,-10.10899,0.7173,0.6902,0.5202,0.5006,19.6079,1.0446,
2115.89795,-10.10205,1.9188,0.6915,1.3917,0.5015,18.5396,0.3913,
2115.90490,-10.09510,0.3492,0.6920,0.2533,0.5019,20.1535,,
2115.91184,-10.08816,-0.7254,0.6867,-0.5261,0.4980,20.1535,,
2115.91879,-10.08121,0.2507,0.6913,0.1818,0.5014,20.1535,,
2115.92573,-10.07427,0.3523,0.6892,0.2555,0.4998,20.1535,,
2115.93268,-10.06732,0.5452,0.6896,0.3954,0.5002,19.9059,1.3734,
2115.95351,-10.04649,0.4476,0.6873,0.3246,0.4985,20.1200,1.6672,
2115.96045,-10.03955,0.2723,0.6871,0.1975,0.4983,20.1535,,
2115.97434,-10.02566,0.8075,0.6873,0.5857,0.4985,19.4793,0.9241,
2115.98129,-10.01871,0.1597,0.6883,0.1158,0.4992,20.1535,,
2115.98823,-10.01177,-0.9135,0.6911,-0.6625,0.5012,20.1535,,
2115.99518,-10.00482,-0.0270,0.6909,-0.0196,0.5011,20.1535,,
2116.00212,-9.99788,0.1904,0.6926,0.1381,0.5023,20.1535,,
2116.00907,-9.99093,-0.1417,0.6877,-0.1028,0.4987,20.1535,,
2116.01601,-9.98399,0.0945,0.6913,0.0685,0.5014,20.1535,,
2116.02295,-9.97705,-1.8523,0.6881,-1.3434,0.4991,20.1535,,
2116.02990,-9.97010,0.0927,0.6869,0.0672,0.4982,20.1535,,
2116.03684,-9.96316,0.2288,0.6889,0.1660,0.4996,20.1535,,
2116.04379,-9.95621,-0.8294,0.6898,-0.6015,0.5003,20.1535,,
2116.05073,-9.94927,-1.6110,0.6865,-1.1684,0.4979,20.1535,,
2116.05768,-9.94232,-0.3234,0.6887,-0.2345,0.4995,20.1535,,
2116.06462,-9.93538,0.3876,0.6897,0.2811,0.5002,20.1535,,
2116.07157,-9.92843,0.0660,0.6887,0.0479,0.4995,20.1535,,
2116.07851,-9.92149,-0.1281,0.6878,-0.0929,0.4988,20.1535,,
2116.08546,-9.91454,-1.5727,0.6879,-1.1406,0.4989,20.1535,,
2116.09240,-9.90760,0.2844,0.6876,0.2062,0.4987,20.1535,,
2116.09934,-9.90066,-0.4037,0.6904,-0.2928,0.5007,20.1535,,
2116.10629,-9.89371,-1.1532,0.6880,-0.8364,0.4990,20.1535,,
2116.11323,-9.88677,0.3726,0.6892,0.2702,0.4999,20.1535,,
2116.12018,-9.87982,0.5696,0.6901,0.4131,0.5005,19.8582,1.3153,
2116.12712,-9.87288,-1.3410,0.6893,-0.9726,0.4999,20.1535,,
2116.13407,-9.86593,0.4180,0.6899,0.3032,0.5004,20.1535,,
2116.14101,-9.85899,1.0441,0.6883,0.7573,0.4992,19.2003,0.7157,
2116.14796,-9.85204,-0.2089,0.6879,-0.1515,0.4989,20.1535,,
2116.15490,-9.84510,-0.0540,0.6921,-0.0392,0.5020,20.1535,,
2116.16185,-9.83815,0.6087,0.6938,0.4415,0.5032,19.7862,1.2375,
2116.16879,-9.83121,0.5811,0.6887,0.4214,0.4995,19.8366,1.2868,
2116.17573,-9.82427,0.3517,0.6937,0.2551,0.5031,20.1535,,
2116.18268,-9.81732,-0.2565,0.6895,-0.1860,0.5001,20.1535,,
2116.18962,-9.81038,-1.6639,0.6899,-1.2067,0.5004,20.1535,,
2116.19657,-9.80343,-0.9898,0.6907,-0.7179,0.5010,20.1535,,
2116.20351,-9.79649,-1.3280,0.6932,-0.9632,0.5027,20.1535,,
2116.21046,-9.78954,-1.3872,0.6884,-1.0061,0.4992,20.1535,,
2116.21740,-9.78260,0.9889,0.6925,0.7172,0.5023,19.2593,0.7603,
2116.22435,-9.77565,-1.6479,0.6914,-1.1952,0.5014,20.1535,,
2116.23129,-9.76871,0.6853,0.6913,0.4970,0.5014,19.6574,1.0952,
2116.23823,-9.76177,-0.2197,0.6902,-0.1593,0.5006,20.1535,,
2116.24518,-9.75482,-1.1413,0.6891,-0.8278,0.4998,20.1535,,
2116.25212,-9.74788,-1.2755,0.6942,-0.9251,0.5035,20.1535,,
2116.25907,-9.74093,0.0921,0.6885,0.0668,0.4994,20.1535,,
2116.26601,-9.73399,-0.5677,0.6911,-0.4118,0.5012,20.1535,,
2116.27296,-9.72704,-0.7759,0.6882,-0.5627,0.4991,20.1535,,
2116.27990,-9.72010,0.1258,0.6894,0.0912,0.5000,20.1535,,
2116.28685,-9.71315,-1.1905,0.6883,-0.8635,0.4992,20.1535,,
2116.29379,-9.70621,0.8824,0.6946,0.6400,0.5037,19.3831,0.8546,
2116.30074,-9.69926,0.0781,0.6899,0.0566,0.5003,20.1535,,
2116.30768,-9.69232,-1.8293,0.6949,-1.3267,0.5040,20.1535,,
2116.31462,-9.68538,-0.4224,0.6934,-0.3063,0.5029,20.1535,,
2116.32157,-9.67843,-0.3670,0.6907,-0.2661,0.5010,20.1535,,
2116.32851,-9.67149,0.6102,0.6931,0.4426,0.5027,19.7834,1.2331,
2116.33546,-9.66454,-1.1321,0.6892,-0.8211,0.4998,20.1535,,
2116.34240,-9.65760,0.2642,0.6947,0.1916,0.5038,20.1535,,
2116.34935,-9.65065,-0.9465,0.6946,-0.6865,0.5038,20.1535,,
2116.35629,-9.64371,-0.6372,0.6949,-0.4621,0.5040,20.1535,,
2116.36324,-9.63676,0.8117,0.6971,0.5887,0.5056,19.4737,0.9324,
2116.37018,-9.62982,0.9191,0.6941,0.6666,0.5034,19.3388,0.8199,
2116.37712,-9.62288,-0.0695,0.6909,-0.0504,0.5011,20.1535,,
2116.38407,-9.61593,0.6923,0.6968,0.5021,0.5054,19.6465,1.0928,
2116.39101,-9.60899,-0.5732,0.6941,-0.4157,0.5034,20.1535,,
2116.39796,-9.60204,0.1510,0.6940,0.1095,0.5034,20.1535,,
2116.40490,-9.59510,0.0592,0.6949,0.0429,0.5040,20.1535,,
2116.41185,-9.58815,1.1473,0.6860,0.8321,0.4975,19.0980,0.6491,
2116.41879,-9.58121,-2.2703,0.6964,-1.6466,0.5051,20.1535,,
2116.42574,-9.57426,-0.2403,0.6949,-0.1743,0.5040,20.1535,,
2116.43268,-9.56732,-0.6301,0.6947,-0.4570,0.5038,20.1535,,
2116.43962,-9.56038,0.6308,0.6969,0.4575,0.5054,19.7474,1.1995,
2116.44657,-9.55343,-0.8422,0.6886,-0.6108,0.4994,20.1535,,
2116.45351,-9.54649,0.5372,0.6917,0.3896,0.5017,19.9218,1.3979,
2116.46046,-9.53954,-0.1397,0.6950,-0.1013,0.5041,20.1535,,
2116.46740,-9.53260,0.7202,0.6903,0.5223,0.5006,19.6036,1.0407,
2116.47435,-9.52565,-1.2179,0.6916,-0.8833,0.5016,20.1535,,
2116.48129,-9.51871,0.4865,0.6962,0.3528,0.5049,20.0295,1.5538,
2116.48824,-9.51176,1.0368,0.6954,0.7519,0.5044,19.2080,0.7283,
2116.49518,-9.50482,-0.4237,0.6926,-0.3073,0.5023,20.1535,,
2116.50212,-9.49788,-0.4751,0.6916,-0.3446,0.5016,20.1535,,
2116.50907,-9.49093,0.4050,0.6915,0.2937,0.5015,20.1535,,
2116.51601,-9.48399,0.1383,0.6899,0.1003,0.5004,20.1535,,
2116.52296,-9.47704,0.1149,0.6887,0.0834,0.4995,20.1535,,
2116.52990,-9.47010,0.4786,0.6880,0.3471,0.4990,20.0473,1.5607,
2116.53685,-9.46315,1.0856,0.6916,0.7873,0.5016,19.1580,0.6917,
2116.54379,-9.45621,0.3083,0.6917,0.2236,0.5017,20.1535,,
2116.55074,-9.44926,-0.0541,0.6930,-0.0393,0.5026,20.1535,,
2116.55768,-9.44232,0.3199,0.6946,0.2320,0.5038,20.1535,,
2116.56463,-9.43537,-0.4545,0.6935,-0.3296,0.5029,20.1535,,
2116.57157,-9.42843,1.2909,0.6912,0.9362,0.5013,18.9700,0.5813,
2116.57851,-9.42149,0.4185,0.6912,0.3036,0.5013,20.1535,,
2116.58546,-9.41454,-0.8878,0.6928,-0.6439,0.5025,20.1535,,
2116.59240,-9.40760,0.9950,0.6929,0.7216,0.5025,19.2526,0.7560,
2116.59935,-9.40065,-0.7896,0.6948,-0.5727,0.5039,20.1535,,
2116.60629,-9.39371,0.1511,0.6912,0.1096,0.5013,20.1535,,
2116.61324,-9.38676,0.4061,0.6920,0.2945,0.5019,20.1535,,
2116.62018,-9.37982,0.1579,0.6963,0.1145,0.5050,20.1535,,
2116.62713,-9.37287,-0.3448,0.6937,-0.2501,0.5031,20.1535,,
2116.63407,-9.36593,-0.7106,0.6898,-0.5154,0.5003,20.1535,,
2116.64101,-9.35899,-0.6301,0.6988,-0.4570,0.5068,20.1535,,
2116.64796,-9.35204,0.3949,0.6923,0.2864,0.5021,20.1535,,
2116.65490,-9.34510,-1.0709,0.6900,-0.7767,0.5004,20.1535,,
2116.66185,-9.33815,-0.0647,0.6944,-0.0469,0.5036,20.1535,,
2116.66879,-9.33121,0.6298,0.6901,0.4568,0.5005,19.7492,1.1897,
2116.67574,-9.32426,-0.9554,0.6949,-0.6929,0.5040,20.1535,,
2116.68268,-9.31732,-0.2924,0.6905,-0.2121,0.5008,20.1535,,
2116.68963,-9.31037,1.0291,0.6932,0.7464,0.5028,19.2160,0.7314,
2116.69657,-9.30343,-0.1108,0.6877,-0.0804,0.4988,20.1535,,
2116.70352,-9.29648,1.0241,0.6870,0.7428,0.4982,19.2213,0.7283,
2116.71046,-9.28954,0.9170,0.6892,0.6650,0.4999,19.3413,0.8161,
2116.71740,-9.28260,1.3753,0.6877,0.9974,0.4988,18.9012,0.5429,
2116.72435,-9.27565,-0.4136,0.6887,-0.3000,0.4995,20.1535,,
2116.73129,-9.26871,-0.0115,0.6884,-0.0083,0.4993,20.1535,,
2116.73824,-9.26176,0.4644,0.6937,0.3368,0.5031,20.0800,1.6218,
2116.74518,-9.25482,-0.2069,0.6886,-0.1501,0.4994,20.1535,,
2116.75213,-9.24787,1.6056,0.6954,1.1645,0.5043,18.7331,0.4703,
2116.75907,-9.24093,0.3074,0.6907,0.2229,0.5009,20.1535,,
2116.76602,-9.23398,1.2295,0.6918,0.8917,0.5017,19.0229,0.6109,
2116.77296,-9.22704,0.8839,0.6930,0.6410,0.5026,19.3812,0.8513,
2116.77990,-9.22010,0.3586,0.6941,0.2601,0.5034,20.1535,,
2116.78685,-9.21315,0.4968,0.6900,0.3603,0.5005,20.0067,1.5080,
2116.79379,-9.20621,0.0267,0.6907,0.0194,0.5009,20.1535,,
2116.80074,-9.19926,0.1317,0.6912,0.0955,0.5013,20.1535,,
2116.80768,-9.19232,0.9039,0.6915,0.6556,0.5016,19.3568,0.8306,
2116.81463,-9.18537,-0.0944,0.6915,-0.0684,0.5015,20.1535,,
2116.82157,-9.17843,-0.5671,0.6914,-0.4113,0.5015,20.1535,,
2116.82852,-9.17148,-0.3408,0.6919,-0.2471,0.5018,20.1535,,
2116.83546,-9.16454,-0.6863,0.6949,-0.4978,0.5040,20.1535,,
2116.84241,-9.15759,0.1412,0.6907,0.1024,0.5009,20.1535,,
2116.84935,-9.15065,0.4562,0.6890,0.3309,0.4997,20.0993,1.6397,
2116.85629,-9.14371,1.6163,0.6902,1.1723,0.5006,18.7259,0.4636,
2116.86324,-9.13676,0.0539,0.6940,0.0391,0.5034,20.1535,,
2116.87018,-9.12982,-0.9978,0.6872,-0.7237,0.4984,20.1535,,
2116.87713,-9.12287,0.7829,0.6857,0.5678,0.4973,19.5129,0.9510,
2116.88407,-9.11593,-1.6229,0.6897,-1.1770,0.5002,20.1535,,
2116.89102,-9.10898,-0.5673,0.6907,-0.4114,0.5009,20.1535,,
2116.89796,-9.10204,0.4631,0.6893,0.3358,0.4999,20.0831,1.6161,
2116.90491,-9.09509,-0.0561,0.6892,-0.0407,0.4999,20.1535,,
2116.91185,-9.08815,0.7048,0.6945,0.5112,0.5037,19.6270,1.0698,
2116.91879,-9.08121,-2.1243,0.6890,-1.5407,0.4997,20.1535,,
2116.92574,-9.07426,0.2063,0.6913,0.1496,0.5013,20.1535,,
2116.93268,-9.06732,0.0146,0.6962,0.0106,0.5050,20.1535,,
2116.93963,-9.06037,0.4480,0.6907,0.3250,0.5009,20.1189,1.6736,
2116.94657,-9.05343,-1.0460,0.6907,-0.7587,0.5010,20.1535,,
2116.95352,-9.04648,-0.2106,0.6891,-0.1527,0.4998,20.1535,,
2116.96046,-9.03954,-0.6217,0.6912,-0.4509,0.5013,20.1535,,
2116.96741,-9.03259,-0.7234,0.6905,-0.5247,0.5008,20.1535,,
2116.97435,-9.02565,0.0966,0.6886,0.0700,0.4994,20.1535,,
2116.98129,-9.01871,0.5709,0.6941,0.4141,0.5034,19.8557,1.3199,
2116.98824,-9.01176,1.5469,0.6938,1.1219,0.5032,18.7735,0.4870,
2116.99518,-9.00482,-1.1491,0.6920,-0.8334,0.5019,20.1535,,
2117.00213,-8.99787,-0.2818,0.6909,-0.2043,0.5011,20.1535,,
2117.00907,-8.99093,-1.7130,0.6915,-1.2424,0.5015,20.1535,,
2117.01602,-8.98398,0.9286,0.6919,0.6735,0.5018,19.3276,0.8091,
2117.02296,-8.97704,-0.3082,0.6869,-0.2236,0.4982,20.1535,,
2117.02991,-8.97009,-0.0023,0.6858,-0.0017,0.4974,20.1535,,
2117.03685,-8.96315,-0.4552,0.6879,-0.3301,0.4989,20.1535,,
2117.04380,-8.95620,0.9317,0.6943,0.6757,0.5036,19.3240,0.8091,
2117.05074,-8.94926,0.4601,0.6908,0.3337,0.5010,20.0900,1.6300,
2117.05768,-8.94232,0.3567,0.6894,0.2587,0.5000,20.1535,,
2117.06463,-8.93537,-0.6781,0.6870,-0.4918,0.4982,20.1535,,
2117.07157,-8.92843,0.7999,0.6874,0.5801,0.4986,19.4896,0.9331,
2117.07852,-8.92148,1.8812,0.6883,1.3644,0.4992,18.5611,0.3972,
2117.08546,-8.91454,0.8655,0.6859,0.6277,0.4974,19.4041,0.8604,
2117.09241,-8.90759,-0.1439,0.6935,-0.1043,0.5030,20.1535,,
2117.09935,-8.90065,-1.0334,0.6927,-0.7495,0.5024,20.1535,,
2117.10630,-8.89370,-1.0822,0.6857,-0.7849,0.4973,20.1535,,
2117.11324,-8.88676,-0.3328,0.6890,-0.2414,0.4997,20.1535,,
2117.12018,-8.87982,0.9283,0.6886,0.6733,0.4994,19.3279,0.8054,
2117.12713,-8.87287,3.3530,0.6991,2.4318,0.5070,17.9336,0.2264,
2117.13407,-8.86593,0.4302,0.6947,0.3120,0.5039,20.1535,,
2117.14102,-8.85898,-0.6854,0.6912,-0.4971,0.5013,20.1535,,
2117.14796,-8.85204,1.1092,0.6964,0.8044,0.5050,19.1347,0.6817,
2117.15491,-8.84509,-1.2318,0.6935,-0.8934,0.5030,20.1535,,
2117.16185,-8.83815,-0.6585,0.6918,-0.4776,0.5018,20.1535,,
2117.16880,-8.83120,-0.3237,0.6925,-0.2347,0.5022,20.1535,,
2117.17574,-8.82426,1.3715,0.6932,0.9947,0.5028,18.9042,0.5488,
2117.18268,-8.81732,-0.1649,0.6933,-0.1196,0.5028,20.1535,,
2117.18963,-8.81037,0.4427,0.6923,0.3211,0.5021,20.1319,1.6979,
2117.19657,-8.80343,-0.1510,0.6914,-0.1095,0.5015,20.1535,,
2117.20352,-8.79648,-1.0970,0.6899,-0.7956,0.5004,20.1535,,
2117.21046,-8.78954,0.0152,0.6920,0.0111,0.5019,20.1535,,
2117.21741,-8.78259,0.4982,0.6894,0.3614,0.5000,20.0036,1.5023,
2117.22435,-8.77565,0.6576,0.6915,0.4769,0.5015,19.7023,1.1416,
2117.23130,-8.76870,1.1341,0.6920,0.8225,0.5019,19.1106,0.6625,
2117.23824,-8.76176,-0.4491,0.6927,-0.3257,0.5024,20.1535,,
2117.24518,-8.75482,0.1261,0.6923,0.0914,0.5021,20.1535,,
2117.25213,-8.74787,0.4681,0.6910,0.3395,0.5012,20.0713,1.6028,
2117.25907,-8.74093,0.5315,0.6924,0.3855,0.5021,19.9334,1.4143,
2117.26602,-8.73398,-0.4201,0.6958,-0.3047,0.5046,20.1535,,
2117.27296,-8.72704,0.0037,0.6947,0.0026,0.5038,20.1535,,
2117.27991,-8.72009,1.0120,0.6929,0.7339,0.5025,19.2343,0.7434,
2117.28685,-8.71315,-1.0906,0.6929,-0.7909,0.5025,20.1535,,
2117.29380,-8.70620,0.4154,0.6924,0.3013,0.5022,20.1535,,
2117.30074,-8.69926,-0.0795,0.6943,-0.0577,0.5035,20.1535,,
2117.30769,-8.69231,-0.0573,0.6840,-0.0415,0.4961,20.1535,,
2117.31463,-8.68537,0.3946,0.6902,0.2862,0.5006,20.1535,,
2117.32157,-8.67843,-1.2610,0.6918,-0.9146,0.5018,20.1535,,
2117.32852,-8.67148,0.4665,0.6909,0.3383,0.5011,20.0751,1.6081,
2117.33546,-8.66454,-0.2018,0.6898,-0.1464,0.5003,20.1535,,
2117.34241,-8.65759,0.0783,0.6940,0.0568,0.5034,20.1535,,
2117.34935,-8.65065,0.2321,0.6894,0.1683,0.5000,20.1535,,
2117.35630,-8.64370,-0.3467,0.6933,-0.2514,0.5028,20.1535,,
2117.36324,-8.63676,-0.8778,0.6915,-0.6366,0.5015,20.1535,,
2117.37019,-8.62981,0.5407,0.6947,0.3922,0.5038,19.9148,1.3949,
2117.37713,-8.62287,0.6878,0.6932,0.4988,0.5028,19.6536,1.0944,
2117.38407,-8.61593,1.0135,0.6924,0.7350,0.5022,19.2327,0.7417,
2117.39102,-8.60898,0.0462,0.6946,0.0335,0.5037,20.1535,,
2117.39796,-8.60204,1.1886,0.6981,0.8621,0.5063,19.0596,0.6377,
2117.40491,-8.59509,0.1326,0.6959,0.0962,0.5047,20.1535,,
2117.41185,-8.58815,-0.4510,0.6932,-0.3271,0.5027,20.1535,,
2117.41880,-8.58120,-0.8987,0.6919,-0.6518,0.5018,20.1535,,
2117.42574,-8.57426,0.3307,0.6942,0.2399,0.5035,20.1535,,
2117.43268,-8.56732,-0.8296,0.6916,-0.6017,0.5016,20.1535,,
2117.43963,-8.56037,1.6933,0.6923,1.2281,0.5021,18.6754,0.4439,
2117.44657,-8.55343,-0.2270,0.6943,-0.1647,0.5036,20.1535,,
2117.45352,-8.54648,-0.3393,0.6926,-0.2461,0.5023,20.1535,,
2117.46046,-8.53954,0.0126,0.6937,0.0092,0.5031,20.1535,,
2117.46741,-8.53259,-0.9045,0.6873,-0.6560,0.4985,20.1535,,
2117.47435,-8.52565,0.3627,0.6887,0.2631,0.4995,20.1535,,
2117.48130,-8.51870,-0.3202,0.6891,-0.2322,0.4998,20.1535,,
2117.48824,-8.51176,-0.1162,0.6902,-0.0843,0.5006,20.1535,,
2117.49518,-8.50482,-0.2255,0.6895,-0.1635,0.5000,20.1535,,
2117.50213,-8.49787,-0.2006,0.6937,-0.1455,0.5031,20.1535,,
2117.50907,-8.49093,1.0611,0.6865,0.7695,0.4979,19.1828,0.7025,
2117.51602,-8.48398,0.5231,0.6903,0.3794,0.5006,19.9508,1.4328,
2117.52296,-8.47704,0.5802,0.6912,0.4208,0.5013,19.8383,1.2936,
2117.52991,-8.47009,0.3899,0.6898,0.2828,0.5003,20.1535,,
2117.53685,-8.46315,-1.1249,0.6886,-0.8158,0.4994,20.1535,,
2117.54380,-8.45620,0.3134,0.6909,0.2273,0.5011,20.1535,,
2117.55074,-8.44926,0.2609,0.6943,0.1892,0.5036,20.1535,,
2117.55768,-8.44232,-0.4128,0.6914,-0.2994,0.5015,20.1535,,
2117.56463,-8.43537,0.1692,0.6939,0.1227,0.5033,20.1535,,
2117.57157,-8.42843,0.3237,0.6902,0.2348,0.5005,20.1535,,
2117.57852,-8.42148,1.1722,0.6905,0.8501,0.5008,19.0747,0.6396,
2117.58546,-8.41454,-1.2350,0.6907,-0.8957,0.5010,20.1535,,
2117.59241,-8.40759,-0.8986,0.6907,-0.6517,0.5009,20.1535,,
2117.59935,-8.40065,-2.0202,0.6925,-1.4652,0.5023,20.1535,,
2117.60630,-8.39370,-0.1438,0.6914,-0.1043,0.5014,20.1535,,
2117.61324,-8.38676,-1.7034,0.6878,-1.2354,0.4988,20.1535,,
2117.62019,-8.37981,1.2245,0.6922,0.8881,0.5020,19.0273,0.6138,
2117.62713,-8.37287,-0.4122,0.6936,-0.2989,0.5031,20.1535,,
2117.63407,-8.36593,1.0093,0.6914,0.7320,0.5014,19.2371,0.7437,
