BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2126.12361,0.12361,0.22475,0.12079,0.16300,0.08761,19.80881,0.24413,
2126.27985,0.27985,-0.50613,0.45505,-0.36707,0.33003,20.08060,1.61560,
2130.23467,4.23467,0.60107,0.28251,0.43593,0.20489,19.76263,0.54953,
2130.38744,4.38744,0.25557,0.11857,0.18536,0.08599,19.88119,0.29466,
2130.63049,4.63049,0.33371,0.11543,0.24203,0.08372,19.78065,0.22949,
2130.88049,4.88049,0.68275,0.11520,0.49518,0.08355,19.54064,0.17379,
2131.13049,5.13049,0.51766,0.11544,0.37544,0.08373,19.64370,0.20235,
2131.38048,5.38048,0.40075,0.11538,0.29066,0.08368,19.75869,0.23013,
2131.63048,5.63048,0.47704,0.11521,0.34598,0.08356,19.70572,0.21159,
2131.88047,5.88047,0.57607,0.11539,0.41781,0.08369,19.62102,0.19203,
2132.13047,6.13047,0.69164,0.11512,0.50163,0.08350,19.61130,0.19662,
2132.38046,6.38046,0.68320,0.11513,0.49550,0.08350,19.50943,0.16884,
2132.63046,6.63046,0.81396,0.11389,0.59034,0.08260,19.47190,0.16550,
2132.88045,6.88045,0.57642,0.11491,0.41805,0.08334,19.69994,0.22342,
2133.13698,7.13698,0.88679,0.11832,0.64315,0.08581,19.36267,0.15302,
2133.38044,7.38044,0.84223,0.11499,0.61084,0.08339,19.37489,0.14278,
2133.63043,7.63043,0.95437,0.11477,0.69217,0.08324,19.36528,0.16157,
2133.88043,7.88043,0.84305,0.11502,0.61144,0.08342,19.44499,0.16629,
2134.13042,8.13042,0.73824,0.11497,0.53541,0.08338,19.54245,0.18081,
2134.38042,8.38042,0.88359,0.11488,0.64083,0.08332,19.31986,0.14454,
2134.63011,8.63011,0.71568,0.11659,0.51906,0.08456,19.53104,0.18748,
2134.88040,8.88040,0.82285,0.11486,0.59678,0.08331,19.44086,0.14545,
2135.13040,9.13040,1.02536,0.11508,0.74365,0.08347,19.23937,0.13693,
2135.38039,9.38039,0.98551,0.11555,0.71476,0.08380,19.27974,0.13430,
2135.62770,9.62770,0.85349,0.11659,0.61901,0.08456,19.40436,0.16192,
2135.87112,9.87112,1.27613,0.12653,0.92553,0.09177,19.15583,0.16102,
2136.11709,10.11709,1.09106,0.16828,0.79131,0.12205,19.25191,0.19673,
2136.36531,10.36531,1.25959,0.17945,0.91353,0.13015,19.14722,0.22082,
2136.61820,10.61820,0.75012,0.17406,0.54404,0.12624,19.46103,0.26432,
2136.89423,10.89423,1.18558,0.12168,0.85986,0.08825,19.17868,0.15086,
2137.13034,11.13034,1.07071,0.11457,0.77654,0.08309,19.30607,0.15893,
2137.38033,11.38033,1.32889,0.11506,0.96380,0.08345,19.04804,0.11801,
2137.63032,11.63032,1.20728,0.11498,0.87560,0.08339,19.11062,0.11814,
2137.88032,11.88032,1.30914,0.11460,0.94947,0.08312,19.08431,0.12387,
2138.13031,12.13031,1.21396,0.11468,0.88044,0.08318,19.15140,0.12296,
2138.38030,12.38030,1.38323,0.11488,1.00321,0.08332,19.02984,0.12374,
2138.62980,12.62980,1.49539,0.11650,1.08456,0.08450,18.95423,0.11446,
2138.88028,12.88028,1.20201,0.11529,0.87177,0.08362,19.15485,0.12440,
2139.13027,13.13028,1.10823,0.11518,0.80376,0.08353,19.25426,0.14725,
2139.38027,13.38027,1.14974,0.11525,0.83387,0.08359,19.13952,0.12272,
2139.62718,13.62718,1.25515,0.11624,0.91032,0.08430,19.15705,0.15299,
2139.86766,13.86766,1.36901,0.12170,0.99289,0.08826,19.05038,0.12721,
