BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2130.34327,2.45327,0.44668,0.15858,0.27528,0.09773,19.47292,0.25072,
2130.58878,2.69878,0.65586,0.15419,0.40419,0.09502,19.39863,0.21886,
2130.83878,2.94878,0.44798,0.15761,0.27608,0.09713,19.58052,0.31642,
2131.08879,3.19879,0.48151,0.15599,0.29674,0.09613,19.42385,0.23794,
2131.33879,3.44879,0.47782,0.15173,0.29447,0.09351,19.50403,0.26037,
2131.58880,3.69880,0.47886,0.15718,0.29510,0.09687,19.44307,0.21902,
2131.83880,3.94880,0.52497,0.16065,0.32351,0.09900,19.42878,0.24257,
2132.08880,4.19880,0.70161,0.16024,0.43237,0.09875,19.43640,0.24275,
2132.33881,4.44881,1.03815,0.15764,0.63978,0.09715,19.17467,0.16401,
2132.58881,4.69881,0.76502,0.15803,0.47146,0.09739,19.37173,0.21527,
2132.83881,4.94881,0.83055,0.15986,0.51184,0.09852,19.24630,0.19630,
2133.09290,5.20290,0.58671,0.16282,0.36157,0.10034,19.37575,0.22459,
2133.33882,5.44882,0.76513,0.15767,0.47152,0.09717,19.30198,0.19996,
2133.58882,5.69882,0.68339,0.16118,0.42115,0.09933,19.37291,0.22236,
2133.83882,5.94882,1.25260,0.16430,0.77192,0.10125,19.03698,0.16068,
2134.08883,6.19883,1.17607,0.16269,0.72478,0.10026,19.12482,0.17209,
2134.33883,6.44883,0.68835,0.14193,0.42421,0.08747,19.41793,0.19738,
2134.58734,6.69734,1.04265,0.14779,0.64256,0.09108,19.15421,0.15831,
2134.83883,6.94883,0.94942,0.15697,0.58509,0.09674,19.23871,0.18847,
2135.08884,7.19884,1.39810,0.15671,0.86161,0.09658,18.91526,0.12966,
2135.33884,7.44884,1.18334,0.15450,0.72926,0.09521,19.07507,0.16076,
2135.58884,7.69884,1.24184,0.15423,0.76530,0.09504,19.07667,0.16548,
2135.83213,7.94213,1.35488,0.17407,0.83495,0.10727,18.99333,0.16710,
2136.06994,8.17994,0.97716,0.22804,0.60218,0.14053,19.24362,0.27630,
2136.32669,8.43669,1.52351,0.23927,0.93888,0.14745,18.85419,0.20305,
2136.58167,8.69167,1.28305,0.24219,0.79069,0.14925,19.03552,0.22548,
2136.86290,8.97290,1.31560,0.17863,0.81075,0.11008,19.07914,0.19855,
2137.08885,9.19885,1.32111,0.15811,0.81416,0.09744,19.02594,0.13206,
2137.33885,9.44885,1.58074,0.15826,0.97416,0.09753,18.85505,0.13584,
2137.58885,9.69885,1.48273,0.15400,0.91375,0.09491,18.87850,0.13045,
2137.83885,9.94885,1.63574,0.15280,1.00805,0.09416,18.83265,0.14180,
2138.08885,10.19885,1.53586,0.15284,0.94649,0.09419,18.95939,0.13769,
2138.33885,10.44885,1.73531,0.15461,1.06941,0.09528,18.72985,0.10816,
2138.58716,10.69716,1.47273,0.15548,0.90759,0.09582,18.87877,0.12390,
2138.83885,10.94885,1.47507,0.15282,0.90903,0.09418,18.89127,0.13187,
2139.08885,11.19885,1.81077,0.15425,1.11592,0.09506,18.70859,0.11567,
2139.33885,11.44885,1.57519,0.15516,0.97074,0.09562,18.83651,0.13603,
2139.58885,11.69885,1.95398,0.15172,1.20416,0.09350,18.62629,0.11185,
2139.83844,11.94844,1.51684,0.15875,0.93477,0.09783,18.88404,0.13866,
2140.09337,12.20337,1.78140,0.16051,1.09782,0.09892,18.71695,0.11668,
2140.29718,12.40718,1.45300,0.19045,0.89543,0.11737,18.86767,0.15594,
