BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2140.69044,0.01044,2.72080,1.38970,0.03880,0.01980,18.16050,0.55450,0.00000
2144.60020,3.92020,13.32971,0.26651,0.19000,0.00380,16.44374,0.02224,49.70000
2144.81201,4.13201,14.84354,0.21833,0.21157,0.00311,16.32221,0.01615,49.70000
2145.06202,4.38202,16.32042,0.21900,0.23262,0.00312,16.22059,0.01478,49.70000
2145.31202,4.63202,18.24072,0.21718,0.26000,0.00310,16.09836,0.01306,49.70000
2145.56202,4.88202,19.87914,0.21752,0.28336,0.00310,16.00308,0.01194,49.70000
2145.81203,5.13203,21.89847,0.21807,0.31214,0.00311,15.89801,0.01087,49.70000
2146.06203,5.38203,22.97336,0.21787,0.32746,0.00311,15.84559,0.01034,49.70000
2146.31203,5.63203,25.33497,0.21864,0.36112,0.00312,15.73993,0.00943,49.70000
2146.56204,5.88204,27.33392,0.21903,0.38961,0.00312,15.65690,0.00873,49.70000
2146.81204,6.13204,29.08190,0.21781,0.41451,0.00311,15.58967,0.00816,49.70000
2147.06204,6.38204,31.40112,0.21870,0.44757,0.00312,15.50558,0.00758,49.70000
2147.31205,6.63205,32.85424,0.21841,0.46829,0.00311,15.45639,0.00723,49.70000
2147.56205,6.88205,34.41594,0.21938,0.49055,0.00313,15.40595,0.00693,49.70000
2147.81205,7.13205,36.84120,0.21823,0.52512,0.00311,15.33227,0.00645,49.70000
2148.06206,7.38206,39.07584,0.21886,0.55697,0.00312,15.26804,0.00609,49.70000
2148.31206,7.63206,41.26481,0.21864,0.58817,0.00311,15.20878,0.00576,49.70000
2148.56206,7.88206,43.25493,0.22021,0.61654,0.00314,15.15772,0.00554,49.70000
2148.81207,8.13207,44.20629,0.21988,0.63010,0.00313,15.13393,0.00541,49.70000
2149.06207,8.38207,46.46964,0.22006,0.66237,0.00314,15.07965,0.00515,49.70000
2149.31207,8.63208,47.90876,0.22045,0.68288,0.00314,15.04671,0.00500,49.70000
2149.56208,8.88208,49.45257,0.21959,0.70487,0.00313,15.01201,0.00482,49.70000
2149.81208,9.13208,51.02712,0.22048,0.72732,0.00314,14.97803,0.00470,49.70000
2150.06208,9.38208,53.57263,0.22090,0.76360,0.00315,14.92524,0.00448,49.70000
2150.31209,9.63209,54.94476,0.21933,0.78316,0.00313,14.89769,0.00434,49.70000
2150.56209,9.88209,56.17397,0.21994,0.80067,0.00313,14.87373,0.00426,49.70000
2150.79126,10.11126,57.56597,0.24275,0.82052,0.00346,14.84716,0.00458,49.70000
2151.06557,10.38557,58.14958,0.22290,0.82884,0.00318,14.83613,0.00417,49.70000
2151.31210,10.63210,59.55684,0.22001,0.84889,0.00314,14.81019,0.00401,49.70000
2151.56210,10.88211,61.34673,0.22059,0.87442,0.00314,14.77805,0.00391,49.70000
2151.81211,11.13211,61.78692,0.22151,0.88069,0.00316,14.77014,0.00389,49.70000
2152.06211,11.38211,62.94589,0.22219,0.89720,0.00317,14.75002,0.00384,49.70000
2152.31211,11.63211,63.96144,0.22089,0.91168,0.00315,14.73259,0.00375,49.70000
2152.56212,11.88212,65.07904,0.22081,0.92761,0.00315,14.71381,0.00369,49.70000
2152.81212,12.13212,65.81318,0.22263,0.93807,0.00317,14.70163,0.00368,49.70000
2153.06212,12.38213,66.31920,0.22219,0.94529,0.00317,14.69331,0.00364,49.70000
2153.31213,12.63213,66.86957,0.22146,0.95312,0.00316,14.68435,0.00360,49.70000
2153.56213,12.88213,67.70502,0.22290,0.96503,0.00318,14.67086,0.00358,49.70000
2153.81213,13.13213,67.80925,0.22350,0.96652,0.00319,14.66911,0.00358,49.70000
2154.06214,13.38214,67.63050,0.22371,0.96398,0.00319,14.67205,0.00359,49.70000
2154.31214,13.63214,68.02868,0.22313,0.96965,0.00318,14.66569,0.00356,49.70000
2154.56214,13.88214,68.25196,0.22117,0.97283,0.00315,14.66221,0.00352,49.70000
2154.81215,14.13215,68.42642,0.22301,0.97531,0.00318,14.65932,0.00354,49.70000
2155.06215,14.38215,68.23917,0.22311,0.97266,0.00318,14.66224,0.00355,49.70000
2155.31215,14.63215,68.16209,0.22345,0.97155,0.00318,14.66354,0.00356,49.70000
2155.56216,14.88216,68.42799,0.22501,0.97535,0.00321,14.65937,0.00357,49.70000
2155.75313,15.07313,67.76167,0.30798,0.96585,0.00439,14.66993,0.00494,49.70000
