BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2133.12332,0.13332,-0.38427,0.20810,-0.06041,0.03271,19.24618,0.07243,0.00000
2133.37067,0.38067,-0.39857,0.20097,-0.06265,0.03159,19.23188,0.06926,0.00000
2133.62067,0.63067,-0.11854,0.20507,-0.01864,0.03224,19.23591,0.07193,0.00000
2133.86721,0.87721,0.31244,0.20303,0.04911,0.03192,19.15736,0.06860,0.00000
2134.11721,1.12721,0.45899,0.20298,0.07215,0.03191,19.08321,0.08475,0.00000
2134.36721,1.37721,0.59712,0.20278,0.09386,0.03188,19.08384,0.07662,0.00000
2134.61681,1.62681,-0.01431,0.20936,-0.00225,0.03291,19.18828,0.06436,0.00000
2134.86722,1.87722,-0.16053,0.20332,-0.02523,0.03196,19.28115,0.05798,0.00000
2135.11722,2.12722,0.57076,0.20318,0.08972,0.03194,19.10931,0.09629,0.00000
2135.36722,2.37722,0.78502,0.20362,0.12340,0.03201,19.03950,0.09900,0.00000
2135.61435,2.62435,0.79514,0.20605,0.12499,0.03239,19.03874,0.09754,0.00000
2135.85579,2.86579,1.13587,0.23564,0.17855,0.03704,18.96289,0.12037,0.00000
2136.11750,3.12750,1.56422,0.33914,0.24588,0.05331,18.82027,0.23987,0.00000
2136.34583,3.35583,1.51308,0.35350,0.23786,0.05557,18.71997,0.16787,0.00000
2136.62071,3.63071,0.05484,0.33922,0.00862,0.05332,19.24665,0.14007,0.00000
2136.88461,3.89461,1.56947,0.22049,0.24671,0.03466,18.75881,0.11223,0.00000
2137.11725,4.12725,0.62505,0.20561,0.09826,0.03232,19.02951,0.10226,0.00000
2137.36725,4.37725,1.30636,0.20540,0.20536,0.03229,18.89203,0.12417,0.00000
2137.61726,4.62726,2.17910,0.20264,0.34254,0.03185,18.49881,0.10685,0.00000
2137.86726,4.87726,2.25979,0.20461,0.35522,0.03216,18.47097,0.09045,0.00000
2138.11726,5.12726,2.18725,0.20540,0.34382,0.03229,18.49037,0.09497,0.00000
2138.36727,5.37727,2.35870,0.20637,0.37077,0.03244,18.43060,0.10804,0.00000
2138.61658,5.62658,2.19400,0.20817,0.34488,0.03272,18.44937,0.10359,0.00000
2138.86727,5.87727,2.33317,0.20464,0.36676,0.03217,18.42584,0.10712,0.00000
2139.11728,6.12728,2.34350,0.20335,0.36838,0.03196,18.41727,0.09179,0.00000
2139.36728,6.37728,3.44505,0.20579,0.54154,0.03235,17.95507,0.07605,0.00000
2139.61401,6.62401,3.14317,0.20874,0.49408,0.03281,18.09994,0.08743,0.00000
2139.85813,6.86813,3.43442,0.21350,0.53988,0.03356,17.97642,0.08266,0.00000
2140.11660,7.12660,4.20061,0.20689,0.66030,0.03252,17.72538,0.06119,0.00000
2140.37017,7.38017,4.34570,0.20930,0.68312,0.03290,17.69637,0.06254,0.00000
2140.49577,7.50577,4.40430,1.24990,0.69230,0.19650,17.63750,0.30810,0.00000
2144.62864,11.63864,5.93122,0.21781,0.93235,0.03424,17.33252,0.04192,6.92000
2144.86736,11.87736,5.82985,0.20446,0.91641,0.03214,17.35074,0.04004,6.92000
2145.11736,12.12736,6.35808,0.19824,0.99945,0.03116,17.25584,0.03595,6.92000
2145.36737,12.37737,6.14507,0.20175,0.96597,0.03171,17.29871,0.03807,6.92000
2145.61737,12.62737,6.29488,0.19485,0.98951,0.03063,17.26538,0.03508,6.92000
2145.86737,12.87737,6.06542,0.20285,0.95344,0.03189,17.31484,0.03947,6.92000
2146.11738,13.12738,6.50043,0.20094,1.02183,0.03159,17.23229,0.03534,6.92000
2146.36738,13.37738,6.02812,0.19723,0.94758,0.03100,17.31086,0.03702,6.92000
2146.61739,13.62739,6.23321,0.20259,0.97983,0.03185,17.27779,0.03706,6.92000
2146.86739,13.87739,6.33611,0.20134,0.99600,0.03165,17.25840,0.03593,6.92000
2147.11740,14.12740,6.52843,0.20391,1.02623,0.03205,17.22284,0.03514,6.92000
2147.36740,14.37740,6.42989,0.20173,1.01075,0.03171,17.24421,0.03596,6.92000
2147.61741,14.62741,6.37129,0.19847,1.00153,0.03120,17.26559,0.03695,6.92000
2147.86741,14.87741,6.68267,0.19614,1.05048,0.03083,17.20315,0.03361,6.92000
2148.11741,15.12742,6.30743,0.19584,0.99149,0.03078,17.25744,0.03461,6.92000
2148.36742,15.37742,6.22007,0.20136,0.97775,0.03165,17.27893,0.03689,6.92000
2148.61742,15.62742,6.49207,0.20175,1.02052,0.03171,17.24007,0.03606,6.92000
2148.86743,15.87743,6.43902,0.19916,1.01217,0.03131,17.24003,0.03514,6.92000
2149.11743,16.12743,6.37453,0.19912,1.00203,0.03130,17.25216,0.03559,6.92000
2149.36744,16.37744,6.36744,0.19292,1.00092,0.03033,17.25299,0.03452,6.92000
2149.61744,16.62744,6.64110,0.19550,1.04393,0.03073,17.20547,0.03323,6.92000
2149.86745,16.87745,6.01342,0.19721,0.94527,0.03100,17.31981,0.03801,6.92000
2150.11745,17.12745,5.77765,0.19879,0.90821,0.03125,17.37418,0.04238,6.92000
2150.36746,17.37746,5.98986,0.19953,0.94156,0.03136,17.32196,0.03806,6.92000
2150.61746,17.62746,6.10564,0.19570,0.95976,0.03076,17.30539,0.03716,6.92000
2150.85489,17.86489,6.69559,0.21536,1.05251,0.03385,17.19550,0.03616,6.92000
2151.08275,18.09275,6.41718,0.22889,1.00875,0.03598,17.24409,0.04039,6.92000
