BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2115.89071,-3.73929,0.4318,0.8450,0.4423,0.8656,20.0383,,
2115.89766,-3.73234,-0.7391,0.8322,-0.7571,0.8524,20.0383,,
2115.90460,-3.72540,-0.1117,0.8484,-0.1144,0.8690,20.0383,,
2115.91155,-3.71845,-0.6290,0.8442,-0.6443,0.8647,20.0383,,
2115.91849,-3.71151,0.0131,0.8489,0.0135,0.8696,20.0383,,
2115.92543,-3.70457,0.1363,0.8735,0.1397,0.8947,20.0383,,
2115.93238,-3.69762,-0.4694,0.8124,-0.4809,0.8322,20.0383,,
2115.95321,-3.67679,0.0389,0.8581,0.0399,0.8789,20.0383,,
2115.96016,-3.66984,0.0890,0.8388,0.0911,0.8592,20.0383,,
2115.97405,-3.65595,0.5780,0.8437,0.5921,0.8642,19.8424,1.5848,
2115.98099,-3.64901,0.0355,0.8416,0.0364,0.8621,20.0383,,
2115.98794,-3.64206,1.0583,0.8452,1.0840,0.8657,19.1857,0.8671,
2115.99488,-3.63512,0.9006,0.8487,0.9225,0.8694,19.3608,1.0232,
2116.00877,-3.62123,1.4389,0.8394,1.4739,0.8598,18.8521,0.6334,
2116.01572,-3.61428,-0.0589,0.8494,-0.0604,0.8701,20.0383,,
2116.02266,-3.60734,0.6097,0.8610,0.6245,0.8819,19.7844,1.5331,
2116.02961,-3.60039,-0.3850,0.8564,-0.3943,0.8772,20.0383,,
2116.03655,-3.59345,-0.3172,0.8495,-0.3249,0.8701,20.0383,,
2116.04350,-3.58650,0.4917,0.8462,0.5037,0.8667,20.0179,1.8684,
2116.05044,-3.57956,1.6087,0.8519,1.6478,0.8726,18.7310,0.5750,
2116.05738,-3.57262,0.5345,0.8328,0.5475,0.8530,19.9272,1.6915,
2116.06433,-3.56567,-0.0454,0.8514,-0.0465,0.8721,20.0383,,
2116.07127,-3.55873,-1.3063,0.8542,-1.3381,0.8749,20.0383,,
2116.07822,-3.55178,-0.7611,0.8371,-0.7796,0.8574,20.0383,,
2116.08516,-3.54484,-1.0260,0.8358,-1.0510,0.8562,20.0383,,
2116.09211,-3.53789,0.6219,0.8463,0.6370,0.8669,19.7629,1.4775,
2116.10600,-3.52400,0.1043,0.8478,0.1068,0.8684,20.0383,,
2116.11294,-3.51706,-1.4096,0.8576,-1.4439,0.8785,20.0383,,
2116.11989,-3.51011,-0.4979,0.8422,-0.5100,0.8626,20.0383,,
2116.12683,-3.50317,-0.2521,0.8452,-0.2582,0.8657,20.0383,,
2116.13378,-3.49622,-0.3315,0.8461,-0.3396,0.8667,20.0383,,
2116.14072,-3.48928,1.1340,0.8313,1.1616,0.8515,19.1106,0.7959,
2116.14767,-3.48233,-0.7742,0.8733,-0.7930,0.8945,20.0383,,
2116.15461,-3.47539,0.0922,0.8472,0.0945,0.8678,20.0383,,
2116.16156,-3.46844,-0.0308,0.8532,-0.0315,0.8739,20.0383,,
2116.16850,-3.46150,0.1275,0.8395,0.1306,0.8599,20.0383,,
2116.17545,-3.45455,0.5331,0.8509,0.5461,0.8716,19.9301,1.7329,
2116.18239,-3.44761,-0.1470,0.8528,-0.1506,0.8736,20.0383,,
2116.18933,-3.44067,0.4264,0.8676,0.4368,0.8887,20.0383,,
2116.19628,-3.43372,-0.6968,0.8587,-0.7138,0.8795,20.0383,,
2116.20322,-3.42678,-0.3057,0.8630,-0.3131,0.8839,20.0383,,
2116.21017,-3.41983,-1.2071,0.8543,-1.2364,0.8751,20.0383,,
2116.21711,-3.41289,0.9820,0.8823,1.0059,0.9038,19.2669,0.9755,
2116.22406,-3.40594,-0.7500,0.8610,-0.7682,0.8819,20.0383,,
2116.23100,-3.39900,-1.0732,0.8682,-1.0992,0.8893,20.0383,,
2116.23795,-3.39205,0.2142,0.8672,0.2194,0.8883,20.0383,,
2116.24489,-3.38511,0.1412,0.8552,0.1446,0.8760,20.0383,,
2116.25184,-3.37816,-1.3352,0.8668,-1.3677,0.8878,20.0383,,
2116.25878,-3.37122,-0.3677,0.8665,-0.3766,0.8875,20.0383,,
2116.26573,-3.36427,1.3649,0.8758,1.3981,0.8971,18.9094,0.6967,
