BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2119.75543,0.12543,0.23221,0.14362,0.23785,0.14711,19.75663,0.31769,
2120.00544,0.37544,0.50386,0.14448,0.51611,0.14799,19.64869,0.25890,
2120.25545,0.62545,0.42905,0.14432,0.43948,0.14783,19.51656,0.23078,
2120.50546,0.87546,0.27931,0.14400,0.28609,0.14750,19.69553,0.27942,
2120.75546,1.12546,0.11464,0.14449,0.11741,0.14801,19.84565,0.38811,
2121.00547,1.37547,0.12290,0.14523,0.12589,0.14876,19.79282,0.34771,
2121.25548,1.62548,0.27191,0.14630,0.27852,0.14986,19.82000,0.36116,
2121.50548,1.87548,0.04552,0.14501,0.04662,0.14854,19.83941,0.35974,
2121.75549,2.12549,0.33923,0.14391,0.34747,0.14741,19.66700,0.27391,
2122.00550,2.37550,0.31986,0.14669,0.32764,0.15025,19.70469,0.28213,
2122.25550,2.62550,0.28465,0.14715,0.29157,0.15073,19.68805,0.24741,
2122.49461,2.86461,0.21402,0.16126,0.21922,0.16518,19.80574,0.36816,
2122.75552,3.12552,0.16913,0.14197,0.17324,0.14542,19.78084,0.30156,
2123.00552,3.37552,0.18618,0.14571,0.19071,0.14926,19.76017,0.30917,
2123.25553,3.62553,0.35294,0.14494,0.36153,0.14846,19.61979,0.24822,
2123.50554,3.87554,0.11225,0.14727,0.11497,0.15086,19.80460,0.37831,
2123.75554,4.12554,0.13023,0.14763,0.13340,0.15122,19.77190,0.29845,
2124.00555,4.37555,-0.00366,0.14855,-0.00376,0.15216,19.86502,0.38016,
2124.25555,4.62555,0.20074,0.14731,0.20563,0.15088,19.68904,0.26992,
2124.50556,4.87556,0.48738,0.15000,0.49923,0.15365,19.59339,0.24327,
2124.75556,5.12556,0.18246,0.14703,0.18689,0.15060,19.78376,0.35621,
2125.00557,5.37557,0.17861,0.14526,0.18296,0.14880,19.63963,0.24818,
2125.25558,5.62558,0.39470,0.14497,0.40429,0.14849,19.67521,0.26724,
2125.50558,5.87558,0.29435,0.14441,0.30151,0.14792,19.76419,0.30711,
2125.75559,6.12559,0.15218,0.14223,0.15589,0.14569,19.70250,0.24909,
2125.94656,6.31656,0.22142,0.19888,0.22681,0.20371,19.76409,0.44856,
2130.30050,10.67050,0.79855,0.18472,0.81796,0.18921,19.40492,0.24624,
2130.50568,10.87568,0.52716,0.14447,0.53997,0.14798,19.59168,0.24432,
2130.75569,11.12569,0.28763,0.14417,0.29462,0.14768,19.73976,0.31073,
2131.00569,11.37569,0.28721,0.14475,0.29420,0.14827,19.65964,0.24501,
2131.25570,11.62570,0.76033,0.14508,0.77881,0.14860,19.44009,0.21277,
2131.50570,11.87570,0.57348,0.14535,0.58743,0.14888,19.53448,0.20256,
2131.75570,12.12570,0.62247,0.14560,0.63760,0.14914,19.47721,0.18149,
2132.00571,12.37571,0.33563,0.14539,0.34379,0.14893,19.57988,0.23372,
2132.25571,12.62571,0.36954,0.14882,0.37852,0.15244,19.62655,0.21743,
2132.50571,12.87571,0.34973,0.14974,0.35823,0.15338,19.66268,0.27092,
2132.75572,13.12572,0.29741,0.14679,0.30464,0.15036,19.70176,0.26367,
2133.00490,13.37490,0.50109,0.14935,0.51328,0.15298,19.67914,0.27574,
2133.25572,13.62572,0.48835,0.14665,0.50022,0.15021,19.56501,0.23679,
2133.50572,13.87572,0.45817,0.14858,0.46929,0.15219,19.65449,0.27862,
2133.75573,14.12573,0.48733,0.15032,0.49918,0.15398,19.55621,0.25156,
2134.00573,14.37573,0.35178,0.15172,0.36033,0.15540,19.63206,0.27324,
2134.25573,14.62573,0.39745,0.15073,0.40711,0.15440,19.60747,0.26328,
2134.50246,14.87246,0.47815,0.15212,0.48978,0.15582,19.56661,0.24940,
2134.75901,15.12901,0.67981,0.15503,0.69633,0.15880,19.47782,0.23131,
2135.00574,15.37574,0.29213,0.15422,0.29923,0.15797,19.76774,0.34018,
2135.25574,15.62574,0.84926,0.15314,0.86991,0.15686,19.34164,0.20662,
2135.50574,15.87574,0.64866,0.14982,0.66443,0.15346,19.48528,0.23380,
2135.75227,16.12227,0.58960,0.15415,0.60392,0.15789,19.53223,0.22931,
2135.99185,16.36185,0.43740,0.24123,0.44804,0.24710,19.56765,0.37636,
2136.26095,16.63095,0.57344,0.26406,0.58738,0.27048,19.44352,0.39296,
2136.50669,16.87669,-0.00851,0.27854,-0.00873,0.28532,19.73062,0.42797,
2136.80397,17.17397,1.05451,0.21757,1.08016,0.22285,19.21227,0.25091,
2137.00574,17.37574,0.43276,0.15310,0.44328,0.15683,19.62437,0.27367,
2137.25574,17.62575,0.90706,0.15410,0.92909,0.15785,19.33105,0.19207,
2137.50575,17.87575,0.33039,0.15347,0.33841,0.15720,19.70814,0.31507,
2137.75575,18.12575,0.52691,0.15180,0.53972,0.15549,19.59625,0.26471,
2138.00575,18.37575,0.42544,0.14925,0.43579,0.15287,19.58498,0.23817,
2138.25575,18.62575,0.64748,0.14652,0.66321,0.15008,19.55461,0.22647,
2138.50575,18.87575,0.62985,0.14752,0.64517,0.15111,19.47636,0.19576,
2138.75882,19.12882,0.74305,0.15228,0.76112,0.15599,19.41209,0.20792,
2139.00575,19.37575,1.09262,0.15280,1.11917,0.15652,19.12188,0.15161,
2139.25574,19.62574,0.86538,0.15425,0.88642,0.15800,19.41078,0.21205,
2139.50574,19.87574,0.86021,0.15214,0.88112,0.15584,19.41221,0.21571,
2139.75624,20.12624,0.86363,0.15697,0.88463,0.16079,19.35578,0.19946,
2140.00858,20.37858,0.92288,0.16182,0.94531,0.16575,19.27158,0.18715,
2140.25882,20.62882,0.85985,0.15738,0.88075,0.16121,19.31985,0.19947,
2140.45366,20.82366,0.71806,0.20175,0.73550,0.20665,19.50666,0.32397,
