BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2144.52130,-0.84870,-0.3461,0.9127,-0.0641,0.1690,19.8631,,
2144.52825,-0.84175,-0.4452,0.9125,-0.0824,0.1690,19.8631,,
2144.53519,-0.83481,2.0924,0.9157,0.3875,0.1696,18.4456,0.4752,
2144.54213,-0.82787,-1.6041,0.9136,-0.2971,0.1692,19.8631,,
2144.54908,-0.82092,-0.2326,0.9120,-0.0431,0.1689,19.8631,,
2144.55602,-0.81398,0.2513,0.9118,0.0465,0.1689,19.8631,,
2144.56297,-0.80703,1.5140,0.9157,0.2804,0.1696,18.7969,0.6567,
2144.56991,-0.80009,0.4886,0.9117,0.0905,0.1688,19.8631,,
2144.57686,-0.79314,-0.1649,0.9081,-0.0305,0.1682,19.8631,,
2144.58380,-0.78620,1.3809,0.9136,0.2557,0.1692,18.8968,0.7183,
2144.59075,-0.77925,0.1832,0.9137,0.0339,0.1692,19.8631,,
2144.59769,-0.77231,1.0812,0.9110,0.2002,0.1687,19.1624,0.9148,
2144.61158,-0.75842,-1.1581,0.9104,-0.2145,0.1686,19.8631,,
2144.61852,-0.75148,2.1656,0.9125,0.4010,0.1690,18.4083,0.4575,
2144.62547,-0.74453,0.0036,0.9085,0.0007,0.1682,19.8631,,
2144.63241,-0.73759,-0.5786,0.9102,-0.1071,0.1686,19.8631,,
2144.63936,-0.73064,1.0653,0.9125,0.1973,0.1690,19.1786,0.9301,
2144.64630,-0.72370,0.7758,0.9125,0.1437,0.1690,19.5228,1.2771,
2144.65325,-0.71675,1.3104,0.9134,0.2427,0.1691,18.9537,0.7568,
2144.66019,-0.70981,-0.1563,0.9131,-0.0290,0.1691,19.8631,,
2144.66714,-0.70286,0.3717,0.9131,0.0688,0.1691,19.8631,,
2144.67408,-0.69592,1.1563,0.9140,0.2141,0.1692,19.0895,0.8582,
2144.68103,-0.68897,0.5748,0.9109,0.1064,0.1687,19.8485,1.7208,
2144.68797,-0.68203,0.0737,0.9141,0.0137,0.1693,19.8631,,
2144.69491,-0.67509,0.5211,0.9156,0.0965,0.1696,19.8631,,
2144.70186,-0.66814,0.4918,0.9157,0.0911,0.1696,19.8631,,
2144.70880,-0.66120,0.2421,0.9163,0.0448,0.1697,19.8631,,
2144.71575,-0.65425,1.4219,0.9148,0.2633,0.1694,18.8650,0.6985,
2144.72269,-0.64731,0.0416,0.9190,0.0077,0.1702,19.8631,,
2144.72964,-0.64036,0.2960,0.9164,0.0548,0.1697,19.8631,,
2144.73658,-0.63342,-0.2052,0.9124,-0.0380,0.1690,19.8631,,
2144.74353,-0.62647,0.3844,0.9150,0.0712,0.1694,19.8631,,
2144.75047,-0.61953,0.7004,0.9133,0.1297,0.1691,19.6338,1.4157,
2144.75741,-0.61259,-0.0636,0.9121,-0.0118,0.1689,19.8631,,
2144.76436,-0.60564,-0.1945,0.9107,-0.0360,0.1686,19.8631,,
2144.77130,-0.59870,-0.1821,0.9127,-0.0337,0.1690,19.8631,,
2144.77825,-0.59175,0.6958,0.9107,0.1288,0.1687,19.6410,1.4212,
2144.78519,-0.58481,-1.2811,0.9111,-0.2372,0.1687,19.8631,,
2144.79214,-0.57786,1.5629,0.9140,0.2894,0.1693,18.7624,0.6350,
2144.79908,-0.57092,-0.4607,0.9152,-0.0853,0.1695,19.8631,,
2144.80603,-0.56397,-0.2869,0.9101,-0.0531,0.1685,19.8631,,
2144.81297,-0.55703,0.2134,0.9145,0.0395,0.1694,19.8631,,
2144.81992,-0.55008,-0.1112,0.9133,-0.0206,0.1691,19.8631,,
2144.82686,-0.54314,-0.7935,0.9118,-0.1469,0.1688,19.8631,,
2144.83380,-0.53620,0.9783,0.9133,0.1812,0.1691,19.2710,1.0135,
2144.84075,-0.52925,-1.2505,0.9102,-0.2316,0.1686,19.8631,,
2144.84769,-0.52231,-0.6477,0.9116,-0.1199,0.1688,19.8631,,
2144.85464,-0.51536,-1.2672,0.9140,-0.2347,0.1692,19.8631,,
2144.86158,-0.50842,-0.8474,0.9133,-0.1569,0.1691,19.8631,,
2144.86853,-0.50147,-0.0418,0.9171,-0.0077,0.1698,19.8631,,
2144.87547,-0.49453,-1.4181,0.9151,-0.2626,0.1694,19.8631,,
2144.88242,-0.48758,-0.8403,0.9141,-0.1556,0.1693,19.8631,,
2144.88936,-0.48064,-0.8558,0.9172,-0.1585,0.1698,19.8631,,
2144.89631,-0.47369,-1.1183,0.9112,-0.2071,0.1687,19.8631,,
2144.90325,-0.46675,0.3486,0.9135,0.0646,0.1692,19.8631,,
2144.91019,-0.45981,-1.7772,0.9125,-0.3291,0.1690,19.8631,,
2144.91714,-0.45286,-0.1982,0.9154,-0.0367,0.1695,19.8631,,
2144.92408,-0.44592,-0.0147,0.9167,-0.0027,0.1698,19.8631,,
2144.93103,-0.43897,-1.0710,0.9170,-0.1983,0.1698,19.8631,,
2144.93797,-0.43203,-1.0848,0.9142,-0.2009,0.1693,19.8631,,
2144.94492,-0.42508,-0.7163,0.9131,-0.1326,0.1691,19.8631,,
2144.95186,-0.41814,-0.8319,0.9170,-0.1541,0.1698,19.8631,,
2144.95881,-0.41119,-1.2305,0.9130,-0.2279,0.1691,19.8631,,
2144.96575,-0.40425,-0.3175,0.9132,-0.0588,0.1691,19.8631,,
2144.97269,-0.39731,-0.8526,0.9154,-0.1579,0.1695,19.8631,,
2144.97964,-0.39036,-1.2622,0.9141,-0.2337,0.1693,19.8631,,
2144.98658,-0.38342,0.0097,0.9155,0.0018,0.1695,19.8631,,
2144.99353,-0.37647,-0.1038,0.9111,-0.0192,0.1687,19.8631,,
2145.00047,-0.36953,1.2573,0.9160,0.2328,0.1696,18.9986,0.7910,
2145.00742,-0.36258,-1.0655,0.9113,-0.1973,0.1688,19.8631,,
2145.01436,-0.35564,-0.6784,0.9133,-0.1256,0.1691,19.8631,,
2145.02131,-0.34869,-0.4126,0.9051,-0.0764,0.1676,19.8631,,
2145.02825,-0.34175,-1.2809,0.9135,-0.2372,0.1692,19.8631,,
2145.03519,-0.33481,0.1815,0.9155,0.0336,0.1695,19.8631,,
2145.04214,-0.32786,0.4678,0.9112,0.0866,0.1687,19.8631,,
