BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2145.50048,0.13048,-0.14716,0.15007,-0.02724,0.02779,19.71582,0.36642,
2145.74925,0.37925,0.08416,0.15664,0.01558,0.02901,19.68464,0.33052,
2145.99701,0.62701,0.01156,0.15286,0.00214,0.02831,19.75285,0.43228,
2146.25048,0.88048,-0.13956,0.14997,-0.02584,0.02777,19.65470,0.31560,
2146.50048,1.13048,0.30679,0.15371,0.05681,0.02846,19.64425,0.31753,
2146.74701,1.37701,-0.22258,0.15250,-0.04122,0.02824,19.73735,0.40722,
2146.99701,1.62701,0.24519,0.15321,0.04540,0.02837,19.69616,0.33158,
2147.24701,1.87701,0.52265,0.15275,0.09679,0.02828,19.41066,0.20743,
2147.49701,2.12701,0.03752,0.15255,0.00694,0.02825,19.67486,0.30536,
2147.74701,2.37701,0.61674,0.15212,0.11421,0.02817,19.50552,0.24355,
2147.99702,2.62702,0.11031,0.15166,0.02043,0.02808,19.69683,0.35013,
2148.24702,2.87702,0.78233,0.15208,0.14487,0.02816,19.34057,0.19803,
2148.49702,3.12702,0.66276,0.15202,0.12273,0.02815,19.44173,0.21479,
2148.74702,3.37702,0.56810,0.15153,0.10520,0.02806,19.56979,0.25605,
2148.99702,3.62702,1.27015,0.15180,0.23520,0.02811,19.05755,0.15088,
2149.24702,3.87702,0.94307,0.15131,0.17464,0.02802,19.26876,0.18122,
2149.49702,4.12702,1.47205,0.15153,0.27260,0.02806,18.93341,0.14537,
2149.74702,4.37702,1.78358,0.15254,0.33028,0.02825,18.69477,0.11216,
2149.99702,4.62702,1.46378,0.15221,0.27105,0.02819,18.93414,0.14384,
2150.24701,4.87701,2.09651,0.15164,0.38823,0.02808,18.57357,0.10636,
2150.49701,5.12701,1.67930,0.15157,0.31097,0.02807,18.78064,0.11859,
2150.74701,5.37701,2.08885,0.15150,0.38681,0.02806,18.49136,0.08907,
2151.01461,5.64461,2.24758,0.16966,0.41620,0.03142,18.46773,0.10364,
2151.24701,5.87701,1.99005,0.15219,0.36852,0.02818,18.59344,0.09532,
2151.49701,6.12701,2.68472,0.15285,0.49715,0.02830,18.22124,0.07333,
2151.74701,6.37701,2.29332,0.15223,0.42467,0.02819,18.40188,0.08598,
2151.99701,6.62701,2.68397,0.15193,0.49702,0.02813,18.22440,0.07172,
2152.24701,6.87701,3.04577,0.15245,0.56401,0.02823,18.07279,0.06028,
2152.49701,7.12701,2.65981,0.15245,0.49255,0.02823,18.25194,0.07803,
2152.74701,7.37701,3.50246,0.15209,0.64858,0.02816,17.90476,0.04985,
2153.00048,7.63048,3.11381,0.15091,0.57661,0.02795,18.05932,0.06099,
2153.25395,7.88395,3.36082,0.15323,0.62236,0.02838,17.98257,0.05816,
2153.50394,8.13394,3.71912,0.15264,0.68870,0.02827,17.83695,0.04662,
2153.75394,8.38394,3.34849,0.15275,0.62007,0.02829,17.96683,0.05496,
2154.00394,8.63394,4.11626,0.15343,0.76225,0.02841,17.72934,0.04274,
2154.25394,8.88394,3.62294,0.15339,0.67089,0.02841,17.87788,0.04998,
2154.50394,9.13394,4.06958,0.15402,0.75360,0.02852,17.74997,0.04557,
2154.75393,9.38393,4.16482,0.15416,0.77125,0.02855,17.72168,0.04293,
2155.00393,9.63393,3.92851,0.15440,0.72748,0.02859,17.78795,0.04594,
2155.25005,9.88005,4.97625,0.15960,0.92150,0.02955,17.52551,0.03720,
2155.43796,10.06796,5.08288,0.38415,0.94125,0.07114,17.48987,0.08369,
2158.87196,13.50196,6.55375,0.65143,1.21365,0.12063,17.21230,0.10999,
2159.00678,13.63678,6.03999,0.15556,1.11849,0.02881,17.30362,0.02865,
2159.25390,13.88390,5.26191,0.15309,0.97440,0.02835,17.46139,0.03319,
2159.50390,14.13390,5.59876,0.15202,1.03678,0.02815,17.39255,0.03082,
2159.75390,14.38390,5.61425,0.15242,1.03964,0.02822,17.38257,0.03017,
2160.00389,14.63389,5.20006,0.15261,0.96295,0.02826,17.47225,0.03333,
2160.25389,14.88389,5.65447,0.15241,1.04710,0.02822,17.37676,0.03021,
2160.50389,15.13389,5.40062,0.15199,1.00009,0.02815,17.42582,0.03136,
2160.75389,15.38389,5.19299,0.15128,0.96164,0.02801,17.46625,0.03229,
2160.97611,15.60611,5.57735,0.17221,1.03281,0.03189,17.39103,0.03446,
