BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2144.52202,-7.67798,-0.8066,0.9388,-0.6822,0.7939,20.6891,,
2144.52896,-7.67104,1.9213,0.9413,1.6248,0.7960,18.5382,0.5319,
2144.53591,-7.66409,1.0793,0.9413,0.9127,0.7961,19.1644,0.9470,
2144.54285,-7.65715,-0.1768,0.9392,-0.1495,0.7943,20.6891,,
2144.54980,-7.65020,0.6623,0.9406,0.5601,0.7955,19.6946,1.5421,
2144.55674,-7.64326,-0.3492,0.9400,-0.2953,0.7950,20.6891,,
2144.56369,-7.63631,1.0746,0.9405,0.9088,0.7954,19.1691,0.9503,
2144.57063,-7.62937,-0.6470,0.9393,-0.5472,0.7943,20.6891,,
2144.57757,-7.62243,-2.3386,0.9381,-1.9777,0.7933,20.6891,,
2144.58452,-7.61548,0.4605,0.9395,0.3895,0.7945,20.0891,2.2150,
2144.59146,-7.60854,2.2487,0.9411,1.9017,0.7959,18.3674,0.4544,
2144.59841,-7.60159,-0.9080,0.9397,-0.7679,0.7947,20.6891,,
2144.61230,-7.58770,-0.3677,0.9403,-0.3110,0.7952,20.6891,,
2144.61924,-7.58076,-0.7503,0.9395,-0.6345,0.7945,20.6891,,
2144.62619,-7.57381,-0.9610,0.9390,-0.8127,0.7941,20.6891,,
2144.63313,-7.56687,-0.6860,0.9391,-0.5801,0.7942,20.6891,,
2144.64008,-7.55992,0.0834,0.9395,0.0705,0.7946,20.6891,,
2144.64702,-7.55298,0.8241,0.9402,0.6969,0.7951,19.4573,1.2388,
2144.65397,-7.54603,-0.4386,0.9398,-0.3709,0.7948,20.6891,,
2144.66091,-7.53909,-1.3107,0.9390,-1.1084,0.7941,20.6891,,
2144.66786,-7.53214,0.9660,0.9395,0.8169,0.7945,19.2848,1.0560,
2144.67480,-7.52520,0.4338,0.9396,0.3669,0.7946,20.1539,2.3515,
2144.68175,-7.51825,0.2195,0.9396,0.1856,0.7946,20.6891,,
2144.68869,-7.51131,-1.5631,0.9388,-1.3219,0.7940,20.6891,,
2144.69564,-7.50436,-0.6953,0.9386,-0.5880,0.7937,20.6891,,
2144.70258,-7.49742,0.0688,0.9394,0.0581,0.7945,20.6891,,
2144.70953,-7.49047,1.0663,0.9403,0.9018,0.7952,19.1775,0.9574,
2144.71647,-7.48353,0.8448,0.9405,0.7144,0.7954,19.4303,1.2088,
2144.72342,-7.47658,-0.9606,0.9385,-0.8123,0.7937,20.6891,,
2144.73036,-7.46964,-0.5317,0.9391,-0.4496,0.7942,20.6891,,
2144.73730,-7.46270,0.8390,0.9402,0.7095,0.7951,19.4378,1.2167,
2144.74425,-7.45575,-0.0441,0.9402,-0.0373,0.7951,20.6891,,
2144.75119,-7.44881,-1.4066,0.9390,-1.1896,0.7941,20.6891,,
2144.75814,-7.44186,-0.1192,0.9398,-0.1008,0.7948,20.6891,,
