BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51503,-7.06497,4.7368,4.7879,0.3703,0.3743,19.9441,1.0975,
1842.53586,-7.04414,-0.9042,4.7209,-0.0707,0.3690,20.3633,,
1842.55670,-7.02330,8.4886,4.7521,0.6636,0.3715,19.3107,0.6078,
1842.57753,-7.00247,-0.8795,4.7287,-0.0687,0.3696,20.3633,,
1842.59836,-6.98164,4.4462,4.7644,0.3476,0.3724,20.0128,1.1634,
1842.61920,-6.96080,-1.7072,4.7378,-0.1335,0.3704,20.3633,,
1842.68170,-6.89830,3.3616,4.6987,0.2628,0.3673,20.3164,1.5176,
1842.74420,-6.83580,3.5727,4.7477,0.2793,0.3711,20.2503,1.4428,
1842.76503,-6.81497,1.4552,4.7452,0.1138,0.3709,20.3633,,
1842.78586,-6.79414,10.1758,4.7949,0.7954,0.3748,19.1139,0.5116,
1842.80670,-6.77330,-2.0749,4.7799,-0.1622,0.3736,20.3633,,
1842.82753,-6.75247,1.0038,4.8005,0.0785,0.3753,20.3633,,
1842.84837,-6.73163,-1.1368,4.7827,-0.0889,0.3739,20.3633,,
1842.86920,-6.71080,-0.3389,4.7762,-0.0265,0.3734,20.3633,,
1842.89003,-6.68997,1.4406,4.8193,0.1126,0.3767,20.3633,,
1842.91087,-6.66913,1.9907,4.6675,0.1556,0.3649,20.3633,,
1842.93170,-6.64830,3.8632,4.6222,0.3020,0.3613,20.1654,1.2990,
1842.95253,-6.62747,-1.7214,4.7584,-0.1346,0.3720,20.3633,,
1842.97337,-6.60663,-4.9208,4.6027,-0.3847,0.3598,20.3633,,
1842.99420,-6.58580,2.9958,4.7315,0.2342,0.3699,20.3633,,
1843.01503,-6.56497,1.3657,4.7130,0.1068,0.3684,20.3633,,
1843.03587,-6.54413,-0.5711,4.7172,-0.0446,0.3687,20.3633,,
1843.05670,-6.52330,-3.5742,4.7107,-0.2794,0.3682,20.3633,,
1843.07753,-6.50247,5.2898,4.7299,0.4135,0.3697,19.8242,0.9708,
1843.09837,-6.48163,-5.5967,4.7418,-0.4375,0.3707,20.3633,,
1843.11920,-6.46080,-3.6821,4.7353,-0.2878,0.3702,20.3633,,
1843.14003,-6.43997,-3.8783,4.7402,-0.3032,0.3705,20.3633,,
1843.16087,-6.41913,-7.7375,4.7690,-0.6048,0.3728,20.3633,,
1843.18170,-6.39830,2.6945,4.7905,0.2106,0.3745,20.3633,,
1843.20253,-6.37747,2.0712,4.7608,0.1619,0.3722,20.3633,,
1843.22337,-6.35663,5.4281,4.7468,0.4243,0.3711,19.7962,0.9495,
1843.24420,-6.33580,-3.2017,4.7523,-0.2503,0.3715,20.3633,,
1843.26504,-6.31496,-1.4321,4.7090,-0.1119,0.3681,20.3633,,
1843.28587,-6.29413,2.3094,4.7421,0.1805,0.3707,20.3633,,
1843.30670,-6.27330,-3.8281,4.7223,-0.2992,0.3691,20.3633,,
1843.32754,-6.25246,0.1226,4.7832,0.0096,0.3739,20.3633,,
1843.34837,-6.23163,-2.3646,4.7590,-0.1848,0.3720,20.3633,,
1843.36920,-6.21080,1.9686,4.7260,0.1539,0.3694,20.3633,,
1843.39004,-6.18996,-4.9792,4.7258,-0.3892,0.3694,20.3633,,
1843.41087,-6.16913,-3.4113,4.7488,-0.2667,0.3712,20.3633,,
1843.43170,-6.14830,-0.6728,4.7371,-0.0526,0.3703,20.3633,,
1843.45254,-6.12746,7.2864,4.7500,0.5696,0.3713,19.4765,0.7078,
1843.47337,-6.10663,-4.8589,4.7811,-0.3798,0.3737,20.3633,,
1843.49420,-6.08580,2.3912,4.7603,0.1869,0.3721,20.3633,,
1843.51504,-6.06496,-8.2344,4.8133,-0.6437,0.3763,20.3633,,
1843.53587,-6.04413,3.6598,4.7390,0.2861,0.3705,20.2241,1.4059,
1843.55670,-6.02330,-0.4461,4.6899,-0.0349,0.3666,20.3633,,
1843.57754,-6.00246,-3.6187,4.7430,-0.2829,0.3708,20.3633,,
1843.59837,-5.98163,0.4212,4.7519,0.0329,0.3715,20.3633,,
1843.61920,-5.96080,-3.8037,4.7428,-0.2973,0.3707,20.3633,,
1843.64004,-5.93996,3.0078,4.7249,0.2351,0.3693,20.3633,,
1843.66087,-5.91913,-2.0854,4.6179,-0.1630,0.3610,20.3633,,
1843.68170,-5.89830,1.0824,4.6432,0.0846,0.3630,20.3633,,
1843.70254,-5.87746,2.3481,4.6195,0.1836,0.3611,20.3633,,
1843.72337,-5.85663,6.0380,4.6495,0.4720,0.3635,19.6806,0.8361,
1843.74420,-5.83580,2.6776,4.6385,0.2093,0.3626,20.3633,,
1843.76504,-5.81496,-0.2767,4.7544,-0.0216,0.3717,20.3633,,
1843.80670,-5.77330,3.5527,4.7216,0.2777,0.3691,20.2564,1.4430,
1843.82754,-5.75246,-0.3181,4.6990,-0.0249,0.3673,20.3633,,
1843.84837,-5.73163,-1.8689,4.7372,-0.1461,0.3703,20.3633,,
1843.86920,-5.71080,-3.2982,4.7097,-0.2578,0.3682,20.3633,,
1843.89004,-5.68996,4.0098,4.6818,0.3134,0.3660,20.1250,1.2677,
1843.91087,-5.66913,6.1369,4.6844,0.4797,0.3662,19.6629,0.8288,
1843.93171,-5.64829,-0.5634,4.7373,-0.0440,0.3703,20.3633,,
