BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2144.52307,-22.58693,-0.5334,0.7888,-0.3427,0.5068,20.0700,,
2144.53001,-22.57999,-1.4332,0.7664,-0.9208,0.4924,20.0700,,
2144.53696,-22.57304,-0.7348,0.7888,-0.4721,0.5068,20.0700,,
2144.54390,-22.56610,0.5414,0.7351,0.3479,0.4723,19.9134,1.4742,
2144.55085,-22.55915,0.4620,0.7238,0.2968,0.4651,20.0700,,
2144.55779,-22.55221,-0.2168,0.6962,-0.1393,0.4473,20.0700,,
2144.56474,-22.54526,-0.6302,0.7212,-0.4049,0.4633,20.0700,,
2144.57168,-22.53832,1.0116,0.7351,0.6499,0.4723,19.2347,0.7890,
2144.57863,-22.53137,0.8249,0.7300,0.5300,0.4690,19.4562,0.9609,
2144.58557,-22.52443,0.6512,0.7342,0.4184,0.4717,19.7129,1.2241,
2144.59252,-22.51748,1.4898,0.7105,0.9571,0.4565,18.8144,0.5178,
2144.59946,-22.51054,1.1313,0.8358,0.7268,0.5370,19.1132,0.8021,
2144.61335,-22.49665,-0.7361,0.7765,-0.4729,0.4989,20.0700,,
2144.62029,-22.48971,1.5508,0.8269,0.9963,0.5313,18.7708,0.5789,
2144.62724,-22.48276,0.0281,0.8057,0.0181,0.5177,20.0700,,
2144.63418,-22.47582,0.5955,0.8219,0.3826,0.5281,19.8100,1.4986,
2144.64113,-22.46887,1.3390,0.7997,0.8603,0.5138,18.9302,0.6485,
2144.64807,-22.46193,1.0935,0.8475,0.7025,0.5445,19.1502,0.8415,
2144.65502,-22.45498,1.0414,0.7027,0.6691,0.4515,19.2032,0.7327,
2144.66196,-22.44804,0.4639,0.7813,0.2981,0.5020,20.0700,,
2144.66891,-22.44109,1.5447,0.8106,0.9924,0.5208,18.7751,0.5698,
2144.67585,-22.43415,-0.1059,0.8421,-0.0680,0.5410,20.0700,,
2144.68279,-22.42721,0.1415,0.7917,0.0909,0.5087,20.0700,,
2144.68974,-22.42026,0.3863,0.8005,0.2482,0.5143,20.0700,,
2144.69668,-22.41332,1.5844,0.8381,1.0179,0.5385,18.7476,0.5743,
2144.70363,-22.40637,-0.0388,0.8017,-0.0249,0.5151,20.0700,,
2144.71057,-22.39943,1.2921,0.8105,0.8301,0.5207,18.9690,0.6811,
2144.71752,-22.39248,0.5195,0.7661,0.3338,0.4922,19.9582,1.6010,
2144.72446,-22.38554,-1.4876,0.8192,-0.9558,0.5263,20.0700,,
2144.73141,-22.37859,0.6424,0.7892,0.4127,0.5070,19.7276,1.3338,
2144.73835,-22.37165,0.1132,0.7788,0.0727,0.5004,20.0700,,
2144.74530,-22.36470,-1.6140,0.8923,-1.0370,0.5733,20.0700,,
2144.75224,-22.35776,1.0805,0.7684,0.6942,0.4937,19.1632,0.7722,
2144.75918,-22.35082,0.4291,0.8342,0.2757,0.5360,20.0700,,
2144.76613,-22.34387,0.3182,0.7917,0.2044,0.5087,20.0700,,
2144.77307,-22.33693,1.5066,0.8196,0.9680,0.5266,18.8022,0.5906,
2144.78002,-22.32998,2.4170,0.7901,1.5529,0.5076,18.2890,0.3549,
2144.78696,-22.32304,0.6714,0.8157,0.4314,0.5241,19.6797,1.3191,
2144.79391,-22.31609,-0.8996,0.8261,-0.5780,0.5308,20.0700,,
2144.80085,-22.30915,0.3924,0.8327,0.2521,0.5350,20.0700,,
2144.80780,-22.30220,1.2251,0.8717,0.7871,0.5600,19.0268,0.7725,
2144.81474,-22.29526,-0.7233,0.8986,-0.4647,0.5774,20.0700,,
2144.82169,-22.28831,-0.9947,0.8222,-0.6391,0.5282,20.0700,,
2144.82863,-22.28137,0.2527,0.8093,0.1623,0.5200,20.0700,,
2144.83557,-22.27443,0.0211,0.8159,0.0136,0.5242,20.0700,,
2144.84252,-22.26748,0.1854,0.7708,0.1191,0.4953,20.0700,,
