BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2167.23820,0.12820,-0.13202,0.12706,-0.08481,0.08163,19.89738,0.32673,
2167.49166,0.38166,-0.08072,0.12721,-0.05187,0.08173,19.92595,0.36472,
2167.74165,0.63165,0.02559,0.12236,0.01644,0.07861,19.89222,0.35192,
2167.99165,0.88165,0.33436,0.12550,0.21482,0.08063,19.70740,0.25499,
2168.24164,1.13164,0.60328,0.12654,0.38759,0.08130,19.52637,0.18407,
2168.49114,1.38114,0.76568,0.12915,0.49193,0.08298,19.46803,0.18707,
2168.74162,1.63162,0.78922,0.12743,0.50706,0.08187,19.46287,0.18901,
2168.99162,1.88162,1.28101,0.12081,0.82302,0.07762,19.04338,0.10767,
2169.24161,2.13161,1.35943,0.11661,0.87339,0.07492,19.05818,0.13084,
2169.49160,2.38160,1.13206,0.12041,0.72731,0.07736,19.20052,0.13765,
2169.74159,2.63159,0.86114,0.12338,0.55325,0.07927,19.47466,0.19052,
2169.90478,2.79478,1.18178,0.22277,0.75924,0.14312,19.10493,0.21674,
