BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51560,-15.61440,6.6921,4.4926,0.2781,0.1867,19.5689,0.7289,
1842.53643,-15.59357,-1.6389,4.5116,-0.0681,0.1875,19.9627,,
1842.55727,-15.57273,3.6367,4.4922,0.1512,0.1867,19.9627,,
1842.57810,-15.55190,0.3750,4.4753,0.0156,0.1860,19.9627,,
1842.59893,-15.53107,-5.7727,4.4382,-0.2399,0.1845,19.9627,,
1842.61977,-15.51023,-7.8155,4.4824,-0.3248,0.1863,19.9627,,
1842.68227,-15.44773,-3.9603,4.4747,-0.1646,0.1860,19.9627,,
1842.74477,-15.38523,0.2401,4.5932,0.0100,0.1909,19.9627,,
1842.76561,-15.36439,1.8735,4.6304,0.0779,0.1925,19.9627,,
1842.78644,-15.34356,-7.5522,4.5917,-0.3139,0.1908,19.9627,,
1842.80727,-15.32273,5.3434,4.6375,0.2221,0.1928,19.8133,0.9423,
1842.82811,-15.30189,-0.4584,4.6405,-0.0191,0.1929,19.9627,,
1842.84894,-15.28106,-1.3559,4.6795,-0.0564,0.1945,19.9627,,
1842.86977,-15.26023,1.2770,4.5633,0.0531,0.1897,19.9627,,
1842.89061,-15.23939,-7.4226,4.5769,-0.3085,0.1902,19.9627,,
1842.91144,-15.21856,5.9304,4.6187,0.2465,0.1920,19.7001,0.8456,
1842.93228,-15.19772,0.1495,4.6244,0.0062,0.1922,19.9627,,
1842.95311,-15.17689,3.6787,4.6044,0.1529,0.1914,19.9627,,
1842.97394,-15.15606,-2.0838,4.5743,-0.0866,0.1901,19.9627,,
1842.99478,-15.13522,8.5066,4.5974,0.3536,0.1911,19.3084,0.5868,
1843.01561,-15.11439,-0.9182,4.5493,-0.0382,0.1891,19.9627,,
1843.03644,-15.09356,-3.8682,4.5256,-0.1608,0.1881,19.9627,,
1843.05728,-15.07272,0.3738,4.5109,0.0155,0.1875,19.9627,,
1843.07811,-15.05189,5.1969,4.5242,0.2160,0.1880,19.8435,0.9452,
1843.09894,-15.03106,3.5088,4.5438,0.1458,0.1889,19.9627,,
1843.11978,-15.01022,1.2128,4.5163,0.0504,0.1877,19.9627,,
1843.14061,-14.98939,4.6632,4.5086,0.1938,0.1874,19.9611,1.0497,
1843.16145,-14.96855,0.8654,4.5031,0.0360,0.1872,19.9627,,
1843.18228,-14.94772,-1.7886,4.5309,-0.0743,0.1883,19.9627,,
1843.20311,-14.92689,-2.9903,4.5284,-0.1243,0.1882,19.9627,,
1843.22395,-14.90605,0.6833,4.5206,0.0284,0.1879,19.9627,,
1843.24478,-14.88522,-0.7338,4.5501,-0.0305,0.1891,19.9627,,
1843.26562,-14.86438,1.7699,4.5665,0.0736,0.1898,19.9627,,
1843.28645,-14.84355,-1.0634,4.6352,-0.0442,0.1927,19.9627,,
1843.30728,-14.82272,8.4745,4.6563,0.3522,0.1935,19.3125,0.5966,
1843.32812,-14.80188,6.2242,4.6885,0.2587,0.1949,19.6476,0.8179,
1843.34895,-14.78105,-1.6708,4.6773,-0.0694,0.1944,19.9627,,
1843.36978,-14.76022,6.2273,4.6630,0.2588,0.1938,19.6471,0.8130,
1843.39062,-14.73938,5.5230,4.6710,0.2296,0.1941,19.7774,0.9182,
1843.41145,-14.71855,3.3071,4.7008,0.1375,0.1954,19.9627,,
1843.43228,-14.69772,-0.3129,4.6274,-0.0130,0.1923,19.9627,,
1843.45312,-14.67688,-6.4539,4.6556,-0.2683,0.1935,19.9627,,
1843.47395,-14.65605,-3.3486,4.5967,-0.1392,0.1911,19.9627,,
1843.49479,-14.63521,10.5701,4.6370,0.4393,0.1927,19.0726,0.4763,
1843.51562,-14.61438,-6.9385,4.7539,-0.2884,0.1976,19.9627,,
1843.53645,-14.59355,-0.4835,4.7133,-0.0201,0.1959,19.9627,,
1843.55729,-14.57271,-0.5443,4.7082,-0.0226,0.1957,19.9627,,
1843.57812,-14.55188,-4.6489,4.6637,-0.1932,0.1938,19.9627,,
1843.59895,-14.53105,-2.9576,4.6084,-0.1229,0.1915,19.9627,,
1843.61979,-14.51021,-1.9264,4.6005,-0.0801,0.1912,19.9627,,
1843.64062,-14.48938,-2.4963,4.5627,-0.1038,0.1896,19.9627,,
1843.66146,-14.46854,9.8529,4.6842,0.4095,0.1947,19.1489,0.5162,
1843.68229,-14.44771,4.4855,4.5776,0.1864,0.1903,19.9627,,
1843.70312,-14.42688,2.8387,4.5646,0.1180,0.1897,19.9627,,
1843.72396,-14.40604,-2.3645,4.5197,-0.0983,0.1879,19.9627,,
1843.74479,-14.38521,5.1633,4.5508,0.2146,0.1891,19.8505,0.9569,
