BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.23830,-0.38170,0.6132,1.0172,0.2373,0.3936,19.7781,1.8009,
2474.25219,-0.36781,-0.2738,1.0069,-0.1059,0.3896,20.2881,,
2474.25913,-0.36087,-1.1304,1.0027,-0.4374,0.3880,20.2881,,
2474.26607,-0.35393,-0.8087,1.0031,-0.3129,0.3881,20.2881,,
2474.27302,-0.34698,-0.7576,1.0007,-0.2931,0.3872,20.2881,,
2474.27996,-0.34004,-1.0768,1.0003,-0.4167,0.3871,20.2881,,
2474.28691,-0.33309,-0.5327,0.9939,-0.2061,0.3846,20.2881,,
2474.29385,-0.32615,-0.7271,0.9957,-0.2813,0.3853,20.2881,,
2474.30080,-0.31920,-1.5525,1.0129,-0.6007,0.3919,20.2881,,
2474.30774,-0.31226,-0.7748,1.0057,-0.2998,0.3891,20.2881,,
2474.31469,-0.30531,0.3393,0.9993,0.1313,0.3867,20.2881,,
2474.32163,-0.29837,0.2873,1.0108,0.1111,0.3911,20.2881,,
2474.32858,-0.29142,0.6332,0.9974,0.2450,0.3859,19.7433,1.7101,
2474.33552,-0.28448,-1.0770,0.9983,-0.4167,0.3863,20.2881,,
2474.34247,-0.27753,-0.8192,0.9955,-0.3170,0.3852,20.2881,,
2474.34941,-0.27059,-1.5890,1.0002,-0.6149,0.3870,20.2881,,
2474.35636,-0.26364,-0.2708,0.9927,-0.1048,0.3841,20.2881,,
2474.36330,-0.25670,1.0843,0.9948,0.4195,0.3849,19.1594,0.9961,
2474.37024,-0.24976,-1.8768,0.9934,-0.7262,0.3844,20.2881,,
2474.37719,-0.24281,-0.4987,0.9911,-0.1930,0.3835,20.2881,,
2474.38413,-0.23587,-0.2291,0.9913,-0.0887,0.3836,20.2881,,
2474.39108,-0.22892,0.0087,0.9880,0.0034,0.3823,20.2881,,
2474.39802,-0.22198,-1.7799,0.9867,-0.6887,0.3818,20.2881,,
2474.40497,-0.21503,-2.6997,0.9952,-1.0446,0.3851,20.2881,,
2474.41191,-0.20809,-0.0780,0.9991,-0.0302,0.3866,20.2881,,
2474.41886,-0.20114,-0.2147,0.9941,-0.0831,0.3847,20.2881,,
2474.42580,-0.19420,0.4432,0.9934,0.1715,0.3844,20.1307,2.4336,
2474.43275,-0.18725,-2.3056,0.9859,-0.8921,0.3815,20.2881,,
2474.43969,-0.18031,0.5291,0.9954,0.2047,0.3852,19.9384,2.0428,
2474.44664,-0.17336,0.0194,0.9973,0.0075,0.3859,20.2881,,
2474.45358,-0.16642,-0.8257,1.0004,-0.3195,0.3871,20.2881,,
2474.46052,-0.15948,-0.2640,1.0014,-0.1022,0.3875,20.2881,,
2474.46747,-0.15253,-0.3012,1.0053,-0.1165,0.3890,20.2881,,
2474.47441,-0.14559,0.2486,1.0102,0.0962,0.3909,20.2881,,
2474.48136,-0.13864,0.1187,1.0100,0.0459,0.3908,20.2881,,
