BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.18226,-14.16774,0.4383,0.7935,0.0912,0.1652,19.2400,,
2474.18921,-14.16079,0.2333,0.8000,0.0486,0.1665,19.2400,,
2474.19615,-14.15385,-0.0585,0.7968,-0.0122,0.1659,19.2400,,
2474.20310,-14.14690,1.9775,0.7631,0.4116,0.1589,18.5069,0.4190,
2474.21699,-14.13301,0.2999,0.7243,0.0624,0.1508,19.2400,,
2474.23782,-14.11218,0.4928,0.7228,0.1026,0.1505,19.2400,,
2474.25171,-14.09829,0.2228,0.7137,0.0464,0.1486,19.2400,,
2474.25866,-14.09134,-0.5395,0.7215,-0.1123,0.1502,19.2400,,
2474.26560,-14.08440,-0.1111,0.7184,-0.0231,0.1495,19.2400,,
2474.27254,-14.07746,0.2966,0.7210,0.0617,0.1501,19.2400,,
2474.27949,-14.07051,0.0891,0.7211,0.0185,0.1501,19.2400,,
2474.28643,-14.06357,0.6495,0.7233,0.1352,0.1506,19.2400,,
2474.29338,-14.05662,-0.4198,0.7222,-0.0874,0.1503,19.2400,,
2474.30032,-14.04968,-1.0852,0.7180,-0.2259,0.1495,19.2400,,
2474.30727,-14.04273,0.5589,0.7225,0.1163,0.1504,19.2400,,
2474.31421,-14.03579,-0.6717,0.7145,-0.1398,0.1487,19.2400,,
2474.32116,-14.02884,-0.8746,0.7170,-0.1821,0.1492,19.2400,,
2474.32810,-14.02190,0.2110,0.7210,0.0439,0.1501,19.2400,,
2474.33505,-14.01495,0.7900,0.7273,0.1644,0.1514,19.2400,,
2474.34199,-14.00801,-0.1070,0.7236,-0.0223,0.1506,19.2400,,
2474.34894,-14.00106,0.1962,0.7236,0.0408,0.1506,19.2400,,
2474.35588,-13.99412,0.4090,0.7245,0.0851,0.1508,19.2400,,
2474.36283,-13.98717,1.1110,0.7267,0.2313,0.1513,19.1329,0.7101,
2474.36977,-13.98023,0.0791,0.7236,0.0165,0.1506,19.2400,,
2474.37672,-13.97328,0.8712,0.7185,0.1814,0.1496,19.2400,,
2474.38366,-13.96634,0.5163,0.7261,0.1075,0.1512,19.2400,,
2474.39061,-13.95939,-0.4667,0.7186,-0.0971,0.1496,19.2400,,
2474.39755,-13.95245,0.3605,0.7216,0.0750,0.1502,19.2400,,
2474.40450,-13.94550,-0.5879,0.7258,-0.1224,0.1511,19.2400,,
2474.41144,-13.93856,-0.1607,0.7269,-0.0335,0.1513,19.2400,,
2474.41839,-13.93161,0.5473,0.7210,0.1139,0.1501,19.2400,,
2474.42533,-13.92467,1.2348,0.7223,0.2570,0.1504,19.0182,0.6351,
2474.43228,-13.91772,1.2045,0.7307,0.2507,0.1521,19.0452,0.6586,
2474.43922,-13.91078,-0.0370,0.7204,-0.0077,0.1500,19.2400,,
2474.44616,-13.90384,0.3047,0.7307,0.0634,0.1521,19.2400,,
2474.45311,-13.89689,0.5774,0.7287,0.1202,0.1517,19.2400,,
2474.46005,-13.88995,0.3337,0.7275,0.0695,0.1514,19.2400,,
2474.46700,-13.88300,1.3758,0.7264,0.2864,0.1512,18.9008,0.5733,
2474.47394,-13.87606,1.1198,0.7272,0.2331,0.1514,19.1243,0.7050,
2474.48089,-13.86911,-0.0284,0.7267,-0.0059,0.1513,19.2400,,
2474.48783,-13.86217,0.1015,0.7289,0.0211,0.1517,19.2400,,
2474.49478,-13.85522,0.7747,0.7297,0.1613,0.1519,19.2400,,
2474.50172,-13.84828,-0.4339,0.7296,-0.0903,0.1519,19.2400,,
2474.50867,-13.84133,-0.3940,0.7414,-0.0820,0.1543,19.2400,,
2474.51561,-13.83439,-0.0138,0.7287,-0.0029,0.1517,19.2400,,
2474.52256,-13.82744,-0.2774,0.7256,-0.0577,0.1510,19.2400,,
2474.52950,-13.82050,0.2267,0.7313,0.0472,0.1522,19.2400,,
2474.53645,-13.81355,0.8329,0.7334,0.1734,0.1527,19.2400,,
2474.54339,-13.80661,-1.2895,0.7323,-0.2684,0.1524,19.2400,,
2474.55034,-13.79966,0.0413,0.7310,0.0086,0.1522,19.2400,,
2474.55728,-13.79272,-1.0421,0.7332,-0.2169,0.1526,19.2400,,
2474.56423,-13.78577,0.0959,0.7351,0.0200,0.1530,19.2400,,
2474.57117,-13.77883,1.0243,0.7306,0.2132,0.1521,19.2211,0.7745,
2474.57812,-13.77188,-0.2433,0.7306,-0.0507,0.1521,19.2400,,
2474.58506,-13.76494,-1.1017,0.7270,-0.2293,0.1513,19.2400,,
2474.59200,-13.75800,-0.2915,0.7256,-0.0607,0.1510,19.2400,,
