BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.21748,-18.20252,2.6058,1.0208,3.1854,1.2479,18.2073,0.4253,
2474.23831,-18.18169,-0.0106,0.9611,-0.0130,1.1749,19.4300,,
2474.25220,-18.16780,1.5393,0.9624,1.8816,1.1764,18.7789,0.6788,
2474.25915,-18.16085,1.1544,0.9588,1.4111,1.1721,19.0913,0.9018,
2474.26609,-18.15391,-0.7297,0.9696,-0.8920,1.1853,19.4300,,
2474.27304,-18.14696,-1.9954,0.9665,-2.4393,1.1815,19.4300,,
2474.27998,-18.14002,0.7669,0.9689,0.9375,1.1844,19.4300,,
2474.28693,-18.13307,0.9555,0.9514,1.1680,1.1630,19.2966,1.0811,
2474.29387,-18.12613,0.0262,0.9445,0.0321,1.1546,19.4300,,
2474.30081,-18.11919,-1.2677,0.9733,-1.5496,1.1899,19.4300,,
2474.30776,-18.11224,-1.1912,0.9504,-1.4562,1.1618,19.4300,,
2474.31470,-18.10530,0.0148,0.9610,0.0181,1.1747,19.4300,,
2474.32165,-18.09835,0.1700,0.9757,0.2078,1.1927,19.4300,,
2474.32859,-18.09141,0.2308,0.9738,0.2821,1.1905,19.4300,,
2474.33554,-18.08446,-0.3213,0.9602,-0.3927,1.1738,19.4300,,
2474.34248,-18.07752,-0.4317,0.9693,-0.5278,1.1849,19.4300,,
2474.34943,-18.07057,0.9136,0.9456,1.1168,1.1559,19.3454,1.1238,
2474.35637,-18.06363,0.0760,0.9709,0.0928,1.1869,19.4300,,
2474.36332,-18.05668,-1.1188,0.9660,-1.3677,1.1809,19.4300,,
2474.37026,-18.04974,0.8975,0.9620,1.0971,1.1760,19.3647,1.1639,
2474.37721,-18.04279,-1.0183,0.9581,-1.2448,1.1712,19.4300,,
2474.38415,-18.03585,2.8382,0.9701,3.4695,1.1859,18.1146,0.3711,
2474.39110,-18.02890,-0.8941,0.9477,-1.0930,1.1585,19.4300,,
2474.39804,-18.02196,0.0891,0.9455,0.1090,1.1558,19.4300,,
2474.40498,-18.01502,0.0776,0.9601,0.0949,1.1737,19.4300,,
2474.41193,-18.00807,0.4450,0.9535,0.5439,1.1656,19.4300,,
2474.41887,-18.00113,1.0533,0.9614,1.2876,1.1752,19.1908,0.9910,
2474.42582,-17.99418,-2.5437,0.9527,-3.1095,1.1647,19.4300,,
2474.43276,-17.98724,0.0842,0.9535,0.1029,1.1656,19.4300,,
2474.43971,-17.98029,0.8249,0.9562,1.0084,1.1689,19.4300,,
2474.44665,-17.97335,0.3232,0.9660,0.3951,1.1809,19.4300,,
2474.45360,-17.96640,0.9906,0.9705,1.2110,1.1864,19.2574,1.0637,
2474.46054,-17.95946,-1.1328,0.9455,-1.3847,1.1558,19.4300,,
2474.46749,-17.95251,0.6633,0.9514,0.8108,1.1630,19.4300,,
2474.47443,-17.94557,-0.1858,0.9570,-0.2271,1.1698,19.4300,,
2474.48138,-17.93862,0.1090,0.9506,0.1332,1.1620,19.4300,,
