BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2492.54749,0.12749,0.21543,0.17086,0.26335,0.20886,19.33276,0.32816,
2492.79845,0.37845,-0.40054,0.17204,-0.48965,0.21031,19.36767,0.41985,
2493.07538,0.65538,0.25515,0.19142,0.31189,0.23399,19.29240,0.32007,
2493.30442,0.88442,0.09631,0.17201,0.11773,0.21027,19.35067,0.36896,
2493.55442,1.13442,0.26502,0.17117,0.32398,0.20925,19.30192,0.30986,
2493.80442,1.38442,0.26366,0.17473,0.32229,0.21360,19.26692,0.26813,
2494.05441,1.63441,0.19499,0.17230,0.23837,0.21062,19.28869,0.30498,
2494.30441,1.88441,0.57098,0.17190,0.69797,0.21013,19.21002,0.22660,
2494.55441,2.13441,0.47264,0.17543,0.57778,0.21445,19.21789,0.23267,
2494.80440,2.38440,0.24251,0.17518,0.29645,0.21415,19.24287,0.23993,
2495.05440,2.63440,0.60621,0.17311,0.74104,0.21161,19.23345,0.24684,
2495.30440,2.88440,0.63869,0.17235,0.78077,0.21068,19.20669,0.23957,
2495.55439,3.13439,0.66945,0.17451,0.81836,0.21333,19.17722,0.21768,
2495.80439,3.38439,0.49124,0.17329,0.60051,0.21183,19.19014,0.22334,
2496.05439,3.63439,0.80675,0.17102,0.98619,0.20905,19.10864,0.17984,
2496.30438,3.88438,0.69500,0.17067,0.84960,0.20864,19.20247,0.22436,
2496.55438,4.13438,0.66893,0.17478,0.81773,0.21366,19.18945,0.22923,
2496.80437,4.38437,0.69982,0.17878,0.85550,0.21854,19.14575,0.20936,
2496.99534,4.57534,0.93633,0.25089,1.14460,0.30669,19.09441,0.27506,
