BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.18246,-14.97754,0.1224,0.8657,0.1102,0.7795,20.0062,,
2474.18941,-14.97059,1.5238,0.9669,1.3719,0.8705,18.7899,0.6889,
2474.19635,-14.96365,0.9208,0.8733,0.8290,0.7863,19.3368,1.0298,
2474.20330,-14.95670,1.0792,0.8389,0.9717,0.7553,19.1644,0.8440,
2474.21719,-14.94281,-0.5212,0.7830,-0.4692,0.7049,20.0062,,
2474.23802,-14.92198,-0.2394,0.7900,-0.2156,0.7113,20.0062,,
2474.25191,-14.90809,0.0935,0.9914,0.0842,0.8926,20.0062,,
2474.25885,-14.90115,1.5853,0.8317,1.4273,0.7488,18.7469,0.5696,
2474.26580,-14.89420,-0.9738,0.7209,-0.8767,0.6491,20.0062,,
2474.27274,-14.88726,-0.1626,0.8061,-0.1464,0.7258,20.0062,,
2474.27969,-14.88031,0.0326,0.7968,0.0294,0.7174,20.0062,,
2474.28663,-14.87337,-0.0510,0.8015,-0.0460,0.7217,20.0062,,
2474.29358,-14.86642,-0.2802,0.7899,-0.2522,0.7112,20.0062,,
2474.30052,-14.85948,-2.0091,0.7812,-1.8089,0.7033,20.0062,,
2474.30747,-14.85253,1.3762,0.8005,1.2391,0.7207,18.9005,0.6315,
2474.31441,-14.84559,-0.0727,0.8037,-0.0654,0.7236,20.0062,,
2474.32136,-14.83864,-0.0930,0.8072,-0.0837,0.7267,20.0062,,
2474.32830,-14.83170,1.7673,0.8283,1.5912,0.7457,18.6289,0.5088,
2474.33525,-14.82475,-0.9782,0.8194,-0.8807,0.7377,20.0062,,
2474.34219,-14.81781,0.3320,0.8127,0.2989,0.7317,20.0062,,
2474.34914,-14.81086,0.1358,0.8039,0.1223,0.7238,20.0062,,
2474.35608,-14.80392,0.2829,0.7985,0.2547,0.7190,20.0062,,
2474.36303,-14.79697,-0.3689,0.7888,-0.3322,0.7102,20.0062,,
2474.36997,-14.79003,0.1852,0.7931,0.1668,0.7141,20.0062,,
2474.37691,-14.78309,-0.9634,0.7992,-0.8674,0.7196,20.0062,,
2474.38386,-14.77614,-0.1228,0.7989,-0.1106,0.7193,20.0062,,
2474.39080,-14.76920,-0.3743,0.8120,-0.3370,0.7311,20.0062,,
2474.39775,-14.76225,-0.7119,0.7874,-0.6410,0.7089,20.0062,,
2474.40469,-14.75531,-0.1446,0.7958,-0.1302,0.7165,20.0062,,
2474.41164,-14.74836,-0.2859,0.7908,-0.2574,0.7119,20.0062,,
2474.41858,-14.74142,-0.3224,0.7777,-0.2903,0.7002,20.0062,,
2474.42553,-14.73447,0.9813,0.7749,0.8835,0.6977,19.2677,0.8574,
2474.43247,-14.72753,0.3611,0.8012,0.3251,0.7214,20.0062,,
2474.43942,-14.72058,1.2480,0.8170,1.1236,0.7356,19.0067,0.7108,
2474.44636,-14.71364,0.9897,0.8303,0.8911,0.7476,19.2585,0.9109,
2474.45331,-14.70669,-0.1121,0.8176,-0.1009,0.7361,20.0062,,
2474.46025,-14.69975,0.8390,0.8501,0.7554,0.7654,19.4378,1.1002,
2474.46720,-14.69280,-0.1474,0.8409,-0.1327,0.7571,20.0062,,
2474.47414,-14.68586,-0.4811,0.8148,-0.4331,0.7336,20.0062,,
2474.48109,-14.67891,0.6540,0.8309,0.5888,0.7481,19.7082,1.3794,
2474.48803,-14.67197,0.8141,0.8000,0.7329,0.7203,19.4705,1.0670,
2474.49498,-14.66502,-0.7508,0.8172,-0.6760,0.7358,20.0062,,
2474.50192,-14.65808,-0.6465,0.8630,-0.5820,0.7770,20.0062,,
2474.50886,-14.65114,0.3977,0.7326,0.3580,0.6596,20.0062,,
2474.51581,-14.64419,-0.2053,0.7464,-0.1848,0.6721,20.0062,,
2474.52275,-14.63725,1.0334,0.8572,0.9304,0.7718,19.2116,0.9007,
2474.52970,-14.63030,-0.8778,0.7840,-0.7903,0.7059,20.0062,,
2474.53664,-14.62336,1.6019,0.8345,1.4422,0.7514,18.7356,0.5656,
2474.54359,-14.61641,-1.5903,0.8307,-1.4318,0.7479,20.0062,,
2474.55053,-14.60947,0.4441,0.7168,0.3999,0.6454,20.0062,,
2474.55748,-14.60252,-0.3112,0.8099,-0.2801,0.7292,20.0062,,
2474.56442,-14.59558,0.3325,0.7331,0.2994,0.6600,20.0062,,
2474.57137,-14.58863,-0.8304,0.7207,-0.7476,0.6488,20.0062,,
2474.57831,-14.58169,-1.1422,0.7920,-1.0284,0.7131,20.0062,,
2474.58526,-14.57474,0.2444,0.7158,0.2201,0.6445,20.0062,,
2474.59220,-14.56780,0.8279,0.7811,0.7454,0.7033,19.4522,1.0243,
2474.59915,-14.56085,-0.3385,0.7189,-0.3048,0.6473,20.0062,,
2474.60609,-14.55391,-0.6290,0.7221,-0.5663,0.6501,20.0062,,
2474.61304,-14.54696,-0.0203,0.7529,-0.0183,0.6779,20.0062,,
2474.61998,-14.54002,0.7711,0.8158,0.6942,0.7345,19.5295,1.1488,
2474.62693,-14.53307,-0.2574,0.7180,-0.2318,0.6464,20.0062,,
2474.63387,-14.52613,-1.0636,0.7197,-0.9576,0.6480,20.0062,,
2474.64082,-14.51918,-0.4956,0.7226,-0.4462,0.6505,20.0062,,
2474.64776,-14.51224,-0.4533,0.7197,-0.4081,0.6480,20.0062,,
2474.65470,-14.50530,-1.4112,0.8206,-1.2705,0.7388,20.0062,,
2474.66165,-14.49835,0.1158,0.7202,0.1042,0.6484,20.0062,,
2474.66859,-14.49141,0.3786,0.7427,0.3409,0.6687,20.0062,,
2474.67554,-14.48446,-0.9668,0.9272,-0.8704,0.8348,20.0062,,
2474.68248,-14.47752,-0.6539,0.7713,-0.5887,0.6944,20.0062,,
2474.68943,-14.47057,-0.1457,0.7871,-0.1312,0.7087,20.0062,,
2474.69637,-14.46363,-0.5112,0.8162,-0.4603,0.7349,20.0062,,
2474.70332,-14.45668,0.1451,0.7352,0.1306,0.6619,20.0062,,
2474.71026,-14.44974,-0.3170,0.7347,-0.2854,0.6615,20.0062,,
2474.71721,-14.44279,-0.8375,0.7396,-0.7540,0.6659,20.0062,,
2474.72415,-14.43585,-1.4216,0.8091,-1.2800,0.7285,20.0062,,
2474.73110,-14.42890,0.3639,0.8456,0.3276,0.7613,20.0062,,
2474.73804,-14.42196,0.0580,0.9599,0.0522,0.8642,20.0062,,
2474.74499,-14.41501,-1.3738,0.7937,-1.2369,0.7146,20.0062,,
2474.75193,-14.40807,-0.1667,0.7955,-0.1501,0.7163,20.0062,,
2474.75887,-14.40113,0.7689,0.8146,0.6923,0.7334,19.5325,1.1503,
2474.76582,-14.39418,-0.2972,0.8690,-0.2675,0.7824,20.0062,,
2474.77276,-14.38724,1.1955,0.8769,1.0764,0.7895,19.0533,0.7964,
2474.77971,-14.38029,-1.3451,0.8388,-1.2111,0.7552,20.0062,,
2474.78665,-14.37335,-1.0227,0.8064,-0.9208,0.7260,20.0062,,
