BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2489.28354,0.12354,-0.11039,0.15311,-0.09939,0.13785,19.83033,0.37149,
2489.53354,0.37354,-0.14602,0.15056,-0.13147,0.13556,19.84364,0.38977,
2489.78355,0.62355,0.06613,0.15148,0.05954,0.13638,19.82716,0.38696,
2490.03355,0.87355,-0.22380,0.14986,-0.20150,0.13492,19.91019,0.57143,
2490.28355,1.12355,-0.17075,0.15083,-0.15374,0.13580,19.88871,0.47860,
2490.53356,1.37356,0.07576,0.15261,0.06822,0.13740,19.74597,0.30444,
2490.78356,1.62356,0.06028,0.15340,0.05426,0.13811,19.76662,0.34494,
2491.03356,1.87356,0.11471,0.14519,0.10328,0.13072,19.78374,0.32630,
2491.28356,2.12356,0.31328,0.14470,0.28205,0.13028,19.66446,0.26786,
2491.53356,2.37356,0.14068,0.14711,0.12667,0.13245,19.79504,0.35639,
2491.78357,2.62357,0.56757,0.14497,0.51101,0.13052,19.56889,0.24359,
2492.03357,2.87357,0.16106,0.14721,0.14501,0.13254,19.70469,0.30068,
2492.28357,3.12357,-0.08968,0.14553,-0.08075,0.13103,19.82623,0.35964,
2492.53357,3.37357,0.20139,0.14383,0.18131,0.12950,19.76240,0.34316,
2492.78050,3.62050,0.44843,0.14880,0.40374,0.13397,19.62083,0.26706,
2493.04950,3.88950,0.43896,0.16688,0.39521,0.15025,19.73510,0.36605,
2493.28357,4.12357,0.56567,0.14550,0.50930,0.13100,19.52834,0.23314,
2493.53358,4.37358,0.84729,0.13939,0.76286,0.12550,19.38717,0.18965,
2493.78358,4.62358,0.57982,0.14021,0.52202,0.12624,19.57636,0.22778,
2494.03358,4.87358,0.83936,0.14769,0.75572,0.13297,19.42766,0.20777,
2494.28358,5.12358,0.90099,0.13940,0.81121,0.12551,19.37284,0.19325,
2494.53358,5.37358,1.03658,0.13862,0.93327,0.12481,19.28164,0.16411,
2494.78358,5.62358,1.05724,0.13624,0.95188,0.12266,19.24233,0.15223,
2494.93288,5.77288,0.92746,0.30942,0.83501,0.27858,19.36767,0.39409,
