BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2489.19670,0.12670,-0.21784,0.16509,-0.39301,0.29784,20.77280,0.63216,
2489.44670,0.37670,-0.01472,0.16637,-0.02656,0.30015,20.56589,0.49428,
2489.69323,0.62323,-0.04125,0.16152,-0.07442,0.29140,20.63468,0.58943,
2489.94322,0.87322,-0.19870,0.16107,-0.35849,0.29058,20.82292,0.49371,
2490.19669,1.12669,0.43847,0.16244,0.79106,0.29306,20.03839,0.34675,
2490.45016,1.38016,0.05831,0.16419,0.10520,0.29621,20.55184,0.55050,
2490.70016,1.63016,0.02706,0.16248,0.04882,0.29313,20.57673,0.68542,
2490.95016,1.88016,-0.25343,0.16152,-0.45724,0.29140,20.91045,0.93829,
2491.20015,2.13015,0.30677,0.16048,0.55344,0.28952,20.26877,0.40623,
2491.45015,2.38015,0.06257,0.16232,0.11287,0.29283,20.52439,0.64435,
2491.70015,2.63015,-0.06224,0.16512,-0.11230,0.29789,20.66896,0.60911,
2491.95015,2.88015,0.21180,0.16158,0.38212,0.29151,20.38191,0.55326,
2492.20014,3.13014,0.69498,0.16388,1.25381,0.29565,19.83564,0.32432,
2492.45014,3.38014,-0.04079,0.16085,-0.07357,0.29019,20.66758,0.78435,
2492.70014,3.63014,0.30093,0.15727,0.54290,0.28373,20.31291,0.53372,
2492.94790,3.87790,0.61758,0.17669,1.11417,0.31876,19.87097,0.38675,
2493.20013,4.13013,0.38674,0.16022,0.69772,0.28905,20.31809,0.59414,
2493.45012,4.38012,0.27652,0.16390,0.49884,0.29570,20.23631,0.45697,
2493.70012,4.63012,0.50825,0.15815,0.91693,0.28531,19.90856,0.26835,
2493.94823,4.87823,0.52947,0.15942,0.95521,0.28761,20.07126,0.46644,
2494.20011,5.13011,0.48719,0.15030,0.87892,0.27115,20.13179,0.36399,
2494.45011,5.38011,0.73890,0.15790,1.33304,0.28487,19.80520,0.31223,
2494.70010,5.63010,0.65949,0.14934,1.18979,0.26942,19.86254,0.30693,
2494.95010,5.88010,0.31302,0.15883,0.56473,0.28655,20.35674,0.51334,
2495.20009,6.13009,0.74179,0.16052,1.33828,0.28959,19.77962,0.28106,
2495.45009,6.38009,0.33687,0.15653,0.60775,0.28241,20.37065,0.50614,
2495.66883,6.59883,0.53436,0.17332,0.96403,0.31269,19.98383,0.32613,
