BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2490.76212,0.12212,1.08480,0.22157,0.21281,0.04346,19.21628,0.21499,
2491.01213,0.37213,0.65339,0.22039,0.12817,0.04323,19.62724,0.33520,
2491.26214,0.62214,1.03702,0.22150,0.20343,0.04345,19.30517,0.25328,
2491.51215,0.87215,0.88100,0.21976,0.17283,0.04311,19.33958,0.27793,
2491.76216,1.12216,0.94501,0.21799,0.18538,0.04276,19.32029,0.26150,
2492.01217,1.37217,1.06497,0.21912,0.20892,0.04298,19.28885,0.25476,
2492.26218,1.62218,0.55688,0.22249,0.10924,0.04364,19.62778,0.39722,
2492.51219,1.87219,1.28669,0.22313,0.25240,0.04377,19.14546,0.25708,
2492.76220,2.12220,0.96094,0.22464,0.18850,0.04407,19.38278,0.31682,
2493.02784,2.38784,0.94195,0.24853,0.18477,0.04875,19.35243,0.28452,
2493.26222,2.62222,0.86058,0.21712,0.16881,0.04259,19.44154,0.29981,
2493.51223,2.87223,1.05574,0.21809,0.20711,0.04278,19.28653,0.29166,
2493.76224,3.12224,1.06292,0.22286,0.20851,0.04372,19.23140,0.20742,
2494.01225,3.37225,1.00874,0.22299,0.19787,0.04374,19.21878,0.27359,
2494.26226,3.62226,1.47509,0.22385,0.28937,0.04391,19.01858,0.24579,
2494.51226,3.87226,1.24077,0.22018,0.24339,0.04319,19.18650,0.28872,
2494.76227,4.12227,1.19619,0.22086,0.23465,0.04333,19.18501,0.29440,
2495.01228,4.37228,1.75523,0.22157,0.34431,0.04346,18.81767,0.19658,
2495.26229,4.62229,1.87205,0.22304,0.36723,0.04375,18.72707,0.19415,
2495.51230,4.87230,2.10824,0.22479,0.41356,0.04410,18.55326,0.15541,
2495.76231,5.12231,2.20495,0.22530,0.43254,0.04420,18.56803,0.17843,
2496.01231,5.37231,2.86206,0.22275,0.56145,0.04370,18.19663,0.11167,
2496.26232,5.62232,2.99843,0.22238,0.58819,0.04362,18.17518,0.12703,
2496.51233,5.87233,2.64920,0.22113,0.51969,0.04338,18.27331,0.13385,
2496.76234,6.12234,3.43888,0.22329,0.67460,0.04380,17.95728,0.08534,
2497.01235,6.37234,3.49047,0.22296,0.68471,0.04374,17.95441,0.10024,
2497.26235,6.62235,4.05089,0.22193,0.79464,0.04354,17.77251,0.06729,
2497.51236,6.87236,4.22342,0.22052,0.82849,0.04326,17.72001,0.06360,
2497.76237,7.12237,4.36011,0.22035,0.85531,0.04322,17.71340,0.06763,
2498.01238,7.37237,4.81397,0.22901,0.94433,0.04492,17.58291,0.05821,
2498.19967,7.55967,4.82379,0.36167,0.94625,0.07095,17.56902,0.08803,
