BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.18231,-15.81769,0.8201,0.8310,1.1629,1.1783,19.4625,1.1002,
2474.18925,-15.81075,0.1114,0.8382,0.1580,1.1885,20.8051,,
2474.19620,-15.80380,1.0989,0.8342,1.5582,1.1828,19.1448,0.8241,
2474.20314,-15.79686,-0.3938,0.7947,-0.5583,1.1269,20.8051,,
2474.21703,-15.78297,0.4209,0.7544,0.5968,1.0698,20.1868,1.9463,
2474.23786,-15.76214,-0.1670,0.7511,-0.2368,1.0650,20.8051,,
2474.25175,-15.74825,0.9814,0.7451,1.3916,1.0565,19.2676,0.8243,
2474.25870,-15.74130,-0.1630,0.7511,-0.2312,1.0650,20.8051,,
2474.26564,-15.73436,0.6001,0.7482,0.8509,1.0610,19.8016,1.3537,
2474.27259,-15.72741,1.1195,0.7487,1.5874,1.0616,19.1247,0.7261,
2474.27953,-15.72047,-2.6060,0.7483,-3.6951,1.0610,20.8051,,
2474.28648,-15.71352,-0.8467,0.7526,-1.2005,1.0672,20.8051,,
2474.29342,-15.70658,1.3063,0.7521,1.8522,1.0664,18.9571,0.6251,
2474.30037,-15.69963,-0.6007,0.7477,-0.8517,1.0602,20.8051,,
2474.30731,-15.69269,-0.3775,0.7524,-0.5352,1.0668,20.8051,,
2474.31426,-15.68574,-0.3564,0.7415,-0.5054,1.0514,20.8051,,
2474.32120,-15.67880,0.9209,0.7445,1.3057,1.0557,19.3367,0.8778,
2474.32815,-15.67185,-0.1706,0.7495,-0.2419,1.0628,20.8051,,
2474.33509,-15.66491,-0.2502,0.7553,-0.3548,1.0710,20.8051,,
2474.34204,-15.65796,-0.4894,0.7507,-0.6939,1.0644,20.8051,,
2474.34898,-15.65102,-0.5199,0.7519,-0.7372,1.0662,20.8051,,
2474.35593,-15.64407,-0.5707,0.7555,-0.8093,1.0713,20.8051,,
2474.36287,-15.63713,-0.9424,0.7561,-1.3363,1.0721,20.8051,,
2474.36981,-15.63019,-0.6288,0.7539,-0.8916,1.0690,20.8051,,
2474.37676,-15.62324,0.3953,0.7466,0.5605,1.0586,20.2550,2.0507,
2474.38370,-15.61630,-0.3666,0.7578,-0.5198,1.0745,20.8051,,
2474.39065,-15.60935,-0.6952,0.7459,-0.9858,1.0577,20.8051,,
2474.39759,-15.60241,-0.4154,0.7530,-0.5890,1.0677,20.8051,,
2474.40454,-15.59546,0.0061,0.7572,0.0086,1.0736,20.8051,,
2474.41148,-15.58852,0.4405,0.7583,0.6247,1.0752,20.1372,1.8688,
2474.41843,-15.58157,0.5955,0.7516,0.8444,1.0658,19.8100,1.3704,
2474.42537,-15.57463,-0.0742,0.7512,-0.1052,1.0651,20.8051,,
2474.43232,-15.56768,0.1000,0.7620,0.1418,1.0804,20.8051,,
2474.43926,-15.56074,-0.2582,0.7504,-0.3661,1.0640,20.8051,,
2474.44621,-15.55379,-0.0998,0.7628,-0.1416,1.0816,20.8051,,
2474.45315,-15.54685,0.2717,0.7620,0.3852,1.0805,20.6621,3.0455,
2474.46010,-15.53990,0.5693,0.7585,0.8073,1.0756,19.8588,1.4466,
2474.46704,-15.53296,-0.4514,0.7558,-0.6401,1.0717,20.8051,,
2474.47399,-15.52601,0.4860,0.7580,0.6891,1.0748,20.0306,1.6934,
2474.48093,-15.51907,-0.0342,0.7571,-0.0485,1.0735,20.8051,,
2474.48788,-15.51212,-0.0903,0.7598,-0.1281,1.0773,20.8051,,
2474.49482,-15.50518,0.1146,0.7620,0.1625,1.0805,20.8051,,
2474.50176,-15.49824,-0.7539,0.7587,-1.0690,1.0758,20.8051,,
2474.50871,-15.49129,1.5643,0.7741,2.2181,1.0976,18.7614,0.5373,
2474.51565,-15.48435,1.0320,0.7611,1.4633,1.0792,19.2130,0.8008,
2474.52260,-15.47740,0.5047,0.7567,0.7157,1.0730,19.9895,1.6278,
2474.52954,-15.47046,0.2469,0.7627,0.3500,1.0814,20.7661,3.3543,
2474.53649,-15.46351,-1.5780,0.7641,-2.2375,1.0835,20.8051,,
2474.54343,-15.45657,1.6626,0.7657,2.3575,1.0857,18.6952,0.5000,
2474.55038,-15.44962,1.5774,0.7620,2.2367,1.0805,18.7523,0.5245,
2474.55732,-15.44268,0.3142,0.7639,0.4455,1.0832,20.5042,2.6397,
2474.56427,-15.43573,0.1787,0.7667,0.2535,1.0872,20.8051,,
2474.57121,-15.42879,-0.1661,0.7618,-0.2356,1.0802,20.8051,,
2474.57816,-15.42184,0.4914,0.7623,0.6968,1.0809,20.0186,1.6843,
2474.58510,-15.41490,-0.6525,0.7567,-0.9253,1.0729,20.8051,,
2474.59205,-15.40795,-0.9587,0.7564,-1.3594,1.0725,20.8051,,
2474.59899,-15.40101,-0.2188,0.7602,-0.3103,1.0779,20.8051,,
2474.60594,-15.39406,-1.5354,0.7608,-2.1771,1.0787,20.8051,,
2474.61288,-15.38712,1.0039,0.7602,1.4235,1.0780,19.2429,0.8222,
2474.61983,-15.38017,0.6769,0.7629,0.9598,1.0817,19.6709,1.2237,
2474.62677,-15.37323,0.4944,0.7568,0.7010,1.0731,20.0120,1.6620,
2474.63371,-15.36629,0.7859,0.7604,1.1144,1.0783,19.5087,1.0505,
2474.64066,-15.35934,0.5685,0.7672,0.8061,1.0878,19.8603,1.4651,
2474.64760,-15.35240,-0.9293,0.7615,-1.3177,1.0798,20.8051,,
2474.65455,-15.34545,-1.3789,0.7639,-1.9553,1.0831,20.8051,,
2474.66149,-15.33851,0.8021,0.7660,1.1374,1.0862,19.4866,1.0369,
2474.66844,-15.33156,-0.4892,0.7580,-0.6937,1.0748,20.8051,,
2474.67538,-15.32462,-0.1423,0.7625,-0.2018,1.0811,20.8051,,
2474.68233,-15.31767,-1.1904,0.7653,-1.6879,1.0851,20.8051,,
2474.68927,-15.31073,-0.0575,0.7598,-0.0815,1.0773,20.8051,,
2474.69622,-15.30378,-0.5857,0.7737,-0.8304,1.0971,20.8051,,
2474.70316,-15.29684,0.2224,0.7586,0.3153,1.0756,20.8051,,
2474.71011,-15.28989,0.1433,0.7554,0.2032,1.0712,20.8051,,
2474.71705,-15.28295,-1.0644,0.7677,-1.5093,1.0886,20.8051,,
