BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2490.12375,0.12375,0.05326,0.12489,0.07552,0.17708,20.35194,0.42923,
2490.37375,0.37375,0.13993,0.12454,0.19842,0.17660,20.32943,0.37789,
2490.62375,0.62375,0.08338,0.12560,0.11823,0.17810,20.23598,0.35721,
2490.87376,0.87376,0.01989,0.12426,0.02819,0.17620,20.37721,0.39007,
2491.12376,1.12376,0.01001,0.12529,0.01419,0.17765,20.42126,0.52892,
2491.37376,1.37376,-0.09115,0.12470,-0.12924,0.17682,20.45349,0.49763,
2491.62377,1.62377,0.11293,0.12366,0.16011,0.17534,20.23082,0.33899,
2491.87377,1.87377,0.38438,0.12575,0.54502,0.17830,20.02099,0.31186,
2492.12377,2.12377,0.26659,0.12578,0.37800,0.17834,20.17537,0.37445,
2492.37378,2.37378,0.35279,0.12783,0.50023,0.18126,20.10681,0.35761,
2492.62378,2.62378,0.39394,0.12627,0.55858,0.17904,19.98079,0.32198,
2492.84972,2.84972,-0.03080,0.14524,-0.04367,0.20594,20.32079,0.50736,
2493.12378,3.12378,0.51847,0.12691,0.73515,0.17995,20.01337,0.31286,
2493.37379,3.37379,0.03273,0.12830,0.04639,0.18193,20.29547,0.41186,
2493.62379,3.62379,0.23819,0.12716,0.33773,0.18031,20.10531,0.29612,
2493.87379,3.87379,0.08304,0.12747,0.11773,0.18074,20.24663,0.33246,
2494.05689,4.05689,0.28933,0.20075,0.41027,0.28465,20.27172,0.58606,
2494.90505,4.90505,0.44271,0.15127,0.62774,0.21449,19.67837,0.25683,
2495.12380,5.12380,0.49390,0.12714,0.70033,0.18028,19.90723,0.24070,
2495.37380,5.37380,0.43157,0.12654,0.61194,0.17942,20.01555,0.32900,
2495.62380,5.62380,0.35553,0.12660,0.50411,0.17951,20.02555,0.26906,
2495.87380,5.87380,0.37540,0.12492,0.53230,0.17713,20.14549,0.37717,
2496.12380,6.12380,0.62012,0.12775,0.87931,0.18114,19.83807,0.24135,
2496.37380,6.37380,0.58866,0.12758,0.83468,0.18091,19.79198,0.23213,
2496.62381,6.62381,0.47098,0.13044,0.66781,0.18496,19.97259,0.30510,
2496.87381,6.87381,0.67845,0.12900,0.96202,0.18291,19.71197,0.26129,
2497.12381,7.12381,0.54799,0.12943,0.77704,0.18352,19.81091,0.24951,
2497.37381,7.37381,0.38136,0.12904,0.54075,0.18298,20.12700,0.38050,
2497.62381,7.62381,0.55329,0.12919,0.78454,0.18318,19.94033,0.30564,
2497.87054,7.87054,0.77453,0.13194,1.09824,0.18708,19.71266,0.25918,
2498.01617,8.01617,1.50783,0.47454,2.13800,0.67286,18.87893,0.40936,
