BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2504.89386,0.12386,0.20297,0.28205,0.12254,0.17029,19.95274,0.36903,0.00000
2505.14388,0.37388,0.02420,0.24962,0.01461,0.15071,20.03286,0.33265,0.00000
2505.39390,0.62390,0.65275,0.24932,0.39409,0.15053,19.74364,0.27409,0.00000
2505.64393,0.87393,0.51623,0.27979,0.31168,0.16892,19.63437,0.24421,0.00000
2505.89395,1.12395,0.20082,0.28529,0.12125,0.17225,19.90353,0.28045,0.00000
2506.14398,1.37398,0.69337,0.25084,0.41862,0.15145,19.58068,0.23186,0.00000
2506.39400,1.62400,0.69047,0.24515,0.41687,0.14801,19.61523,0.23706,0.00000
2506.64402,1.87402,0.26414,0.24196,0.15948,0.14609,19.86166,0.16709,0.00000
2506.89405,2.12405,0.83162,0.24313,0.50210,0.14679,19.57449,0.22126,0.00000
2507.14407,2.37407,0.73124,0.24428,0.44149,0.14749,19.66300,0.25793,0.00000
2507.39409,2.62409,0.96194,0.25974,0.58078,0.15682,19.45557,0.18175,0.00000
2507.64412,2.87412,0.67216,0.23603,0.40583,0.14250,19.73999,0.28750,0.00000
2507.87319,3.10319,0.73105,0.26879,0.44138,0.16229,19.60991,0.41059,0.00000
2508.14416,3.37417,1.14690,0.24376,0.69245,0.14717,19.32812,0.30234,0.00000
2508.39419,3.62419,0.65422,0.24619,0.39499,0.14864,19.62631,0.23201,0.00000
2508.64421,3.87421,0.92012,0.24138,0.55553,0.14573,19.51013,0.21207,0.00000
2508.89424,4.12424,1.12043,0.24172,0.67646,0.14594,19.33243,0.32101,0.00000
2509.14426,4.37426,0.77643,0.23996,0.46877,0.14488,19.52609,0.27560,0.00000
2509.39428,4.62428,1.28952,0.23834,0.77856,0.14390,19.23396,0.25985,0.00000
2509.64431,4.87431,0.83089,0.23407,0.50166,0.14132,19.63174,0.28543,0.00000
2509.89433,5.12433,0.96807,0.23013,0.58448,0.13895,19.38655,0.24473,0.00000
2510.14435,5.37435,0.80230,0.23067,0.48441,0.13927,19.65517,0.24035,0.00000
2510.39438,5.62438,1.14170,0.22991,0.68932,0.13881,19.33464,0.23472,0.00000
2510.64440,5.87440,0.91321,0.22576,0.55136,0.13630,19.47989,0.25289,0.00000
2510.87359,6.10359,0.83328,0.27157,0.50310,0.16396,19.54051,0.28032,0.00000
2511.13772,6.36772,1.01848,0.22922,0.61492,0.13839,19.44956,0.33365,0.00000
2511.38977,6.61977,1.28190,0.23916,0.77396,0.14440,19.17534,0.28396,0.00000
2511.61576,6.84576,1.18822,0.30103,0.71740,0.18175,19.29599,0.45183,0.00000
2514.93300,10.16300,1.55600,0.27264,0.93944,0.16461,19.03297,0.25667,0.00000
2515.14483,10.37483,1.71028,0.22524,1.03259,0.13599,19.13073,0.27212,0.00000
2515.39485,10.62485,1.23648,0.22789,0.74653,0.13759,19.26629,0.21079,0.00000
2515.64488,10.87488,1.00784,0.23242,0.60849,0.14033,19.41307,0.27021,0.00000
2515.89490,11.12490,1.26626,0.24073,0.76452,0.14535,19.19731,0.19786,0.00000
2516.14493,11.37493,1.05762,0.23251,0.63854,0.14038,19.37176,0.21111,0.00000
2516.39495,11.62495,0.78359,0.22842,0.47310,0.13791,19.54393,0.19757,0.00000
2516.64498,11.87498,0.88891,0.23429,0.53669,0.14146,19.54101,0.25130,0.00000
2516.87715,12.10715,1.04390,0.24851,0.63026,0.15004,19.39003,0.30813,0.00000
2517.14811,12.37811,0.87671,0.22056,0.52931,0.13316,19.56028,0.28956,0.00000
2517.39505,12.62505,1.50057,0.21187,0.90597,0.12792,19.19242,0.26865,0.00000
2517.64508,12.87508,0.96517,0.20912,0.58273,0.12626,19.46477,0.22053,0.00000
