BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2514.45674,0.12674,0.11786,0.12365,0.03327,0.03491,20.05889,0.37909,
2514.70675,0.37675,0.43670,0.12396,0.12328,0.03500,19.83318,0.26355,
2514.95676,0.62676,0.28122,0.12400,0.07939,0.03501,19.86410,0.26037,
2515.20677,0.87677,0.35321,0.12350,0.09972,0.03487,19.81503,0.23153,
2515.45678,1.12678,0.33385,0.12570,0.09425,0.03549,19.79659,0.23409,
2515.70679,1.37679,0.22660,0.12461,0.06397,0.03518,19.93751,0.28930,
2515.95680,1.62680,0.26330,0.12421,0.07433,0.03507,19.80718,0.23823,
2516.20681,1.87681,0.34623,0.12279,0.09775,0.03466,19.83084,0.26575,
2516.45682,2.12682,0.67049,0.12389,0.18929,0.03498,19.69242,0.24442,
2516.70435,2.37435,0.67544,0.12924,0.19068,0.03649,19.62459,0.22266,
2516.94592,2.61592,0.48977,0.14649,0.13827,0.04136,19.69906,0.25922,
2517.20684,2.87684,0.52401,0.12860,0.14793,0.03631,19.70432,0.23951,
2517.45685,3.12685,0.24652,0.12939,0.06960,0.03653,19.89716,0.30230,
2517.70686,3.37686,0.91990,0.12896,0.25970,0.03641,19.42638,0.17799,
2517.95687,3.62687,0.36062,0.13027,0.10181,0.03678,19.82925,0.23889,
2518.20687,3.87687,0.67133,0.13069,0.18953,0.03690,19.58911,0.21574,
2518.45688,4.12688,0.64127,0.13074,0.18103,0.03691,19.60862,0.21793,
2518.70689,4.37689,0.99114,0.13185,0.27981,0.03722,19.31410,0.13855,
2518.95690,4.62690,0.94821,0.13233,0.26769,0.03736,19.40400,0.19694,
2519.13746,4.80746,0.67215,0.19999,0.18975,0.05646,19.62283,0.32326,
2519.51594,5.18594,0.96913,0.18066,0.27362,0.05100,19.38823,0.25678,
2519.70692,5.37692,1.23048,0.13124,0.34739,0.03705,19.14713,0.15210,
2519.95692,5.62692,1.30085,0.13171,0.36725,0.03718,19.08440,0.14056,
2520.20693,5.87693,1.25007,0.13244,0.35292,0.03739,19.15779,0.15100,
2520.45694,6.12694,1.34165,0.13099,0.37877,0.03698,19.06058,0.16050,
2520.70124,6.37124,2.06546,0.14933,0.58311,0.04216,18.54826,0.09618,
2520.95695,6.62695,1.84504,0.13128,0.52089,0.03706,18.68683,0.10179,
2521.20695,6.87695,1.72159,0.13137,0.48604,0.03709,18.80622,0.10361,
2521.45696,7.12696,2.70429,0.13241,0.76346,0.03738,18.31763,0.07739,
2521.70687,7.37687,2.04166,0.13365,0.57639,0.03773,18.56935,0.08973,
2521.95697,7.62697,2.26872,0.13131,0.64050,0.03707,18.44700,0.08587,
2522.20698,7.87698,2.22959,0.13221,0.62945,0.03732,18.46962,0.08656,
2522.45698,8.12698,2.51943,0.13272,0.71127,0.03747,18.31670,0.07750,
2522.70699,8.37699,2.46940,0.13299,0.69716,0.03754,18.32690,0.07004,
2522.95699,8.62699,2.56682,0.13290,0.72466,0.03752,18.28679,0.06987,
2523.20700,8.87700,3.06810,0.13304,0.86618,0.03756,18.07560,0.05408,
2523.45700,9.12700,3.10584,0.13279,0.87683,0.03749,18.04801,0.05117,
2523.70701,9.37701,3.20359,0.13238,0.90442,0.03737,18.00753,0.04814,
2523.95701,9.62701,3.30188,0.13318,0.93217,0.03760,18.00493,0.05123,
2524.20701,9.87701,3.38956,0.13531,0.95692,0.03820,17.96832,0.04921,
2524.38757,10.05757,3.65227,0.20352,1.03108,0.05746,17.92895,0.11410,
