BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2514.97226,2.31226,0.54338,0.17571,0.14698,0.04753,19.45032,0.28344,
2515.22229,2.56229,0.72233,0.16472,0.19538,0.04456,19.36561,0.22413,
2515.47231,2.81231,1.00954,0.17555,0.27307,0.04748,19.16761,0.18245,
2515.72234,3.06234,0.92880,0.17721,0.25124,0.04793,19.18398,0.19462,
2515.97237,3.31237,0.52134,0.20889,0.14102,0.05650,19.28939,0.26634,
2516.22239,3.56239,0.31874,0.20780,0.08623,0.05621,19.23333,0.25127,
2516.47242,3.81242,0.33044,0.20731,0.08938,0.05608,19.28604,0.25978,
2516.72056,4.06056,0.93020,0.20711,0.25161,0.05602,19.15234,0.22800,
2516.96751,4.30751,0.98805,0.24115,0.26727,0.06523,19.05285,0.25201,
2517.22249,4.56249,1.67071,0.22010,0.45192,0.05954,18.74749,0.16728,
2517.47252,4.81252,1.72037,0.20884,0.46535,0.05649,18.74484,0.15409,
2517.72254,5.06254,1.48374,0.20838,0.40135,0.05636,18.89736,0.18279,
2517.97257,5.31257,1.48821,0.20061,0.40255,0.05426,18.88760,0.16451,
2518.22259,5.56259,1.63466,0.20392,0.44217,0.05516,18.77792,0.15335,
2518.47262,5.81262,1.64297,0.21344,0.44441,0.05773,18.81319,0.18104,
2518.72264,6.06264,1.55240,0.22104,0.41993,0.05979,18.81718,0.17344,
2518.97267,6.31267,0.91122,0.22030,0.24648,0.05959,19.19121,0.25915,
2519.14283,6.48283,1.46397,0.34961,0.39600,0.09457,18.71396,0.23865,
2519.52133,6.86133,2.12151,0.26306,0.57386,0.07116,18.61492,0.20821,
2519.72274,7.06274,2.16558,0.21526,0.58578,0.05823,18.51914,0.14485,
2519.97277,7.31277,2.20301,0.20624,0.59591,0.05579,18.53365,0.14380,
2520.22279,7.56279,2.45332,0.20738,0.66361,0.05610,18.33055,0.11299,
2520.47282,7.81282,2.38129,0.21342,0.64413,0.05773,18.41352,0.12768,
2520.72309,8.06309,2.56310,0.23426,0.69330,0.06337,18.31954,0.12789,
2520.97287,8.31287,2.24063,0.20523,0.60608,0.05551,18.51108,0.13730,
2521.22289,8.56289,2.56615,0.21825,0.69413,0.05904,18.32563,0.12463,
2521.47292,8.81292,2.74609,0.21685,0.74281,0.05866,18.23356,0.10860,
2521.72344,9.06344,2.69305,0.21016,0.72846,0.05685,18.29023,0.11656,
2521.97297,9.31297,2.75091,0.19524,0.74412,0.05281,18.20751,0.09083,
2522.22299,9.56299,2.92031,0.18259,0.78994,0.04939,18.17513,0.08361,
2522.47302,9.81302,3.23793,0.19111,0.87585,0.05169,18.02086,0.06708,
2522.72304,10.06304,3.22645,0.20117,0.87274,0.05442,18.06459,0.07591,
2522.97306,10.31306,3.00263,0.18714,0.81221,0.05062,18.13078,0.08650,
2523.22309,10.56309,2.63420,0.20377,0.71254,0.05512,18.30883,0.10823,
2523.47311,10.81311,3.74952,0.20348,1.01423,0.05504,17.90463,0.08394,
2523.72313,11.06313,4.11842,0.20376,1.11401,0.05512,17.79600,0.06232,
2523.97316,11.31316,2.97649,0.19312,0.80513,0.05224,18.16827,0.09445,
2524.22318,11.56318,3.43089,0.18393,0.92804,0.04975,18.01998,0.07363,
2524.39334,11.73334,4.76142,0.31455,1.28795,0.08509,17.65312,0.09619,
