BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2500.26092,-18.28908,-0.2268,1.5295,-0.0864,0.5826,20.0882,0.0,
2500.26787,-18.28213,-0.5540,1.5142,-0.2110,0.5768,20.0882,0.0,
2500.27481,-18.27519,2.3771,1.4986,0.9054,0.5708,18.3071,0.6845,0.0
2500.28176,-18.26824,1.8206,1.4963,0.6935,0.5700,18.5967,0.8923,0.0
2500.29565,-18.25435,-0.6281,1.4688,-0.2393,0.5595,20.0882,0.0,
2500.30259,-18.24741,-0.2357,1.4604,-0.0898,0.5563,20.0882,0.0,
2500.31648,-18.23352,0.6510,1.4420,0.2480,0.5493,19.7132,2.4048,0.0
2500.32343,-18.22657,0.4394,1.4298,0.1674,0.5446,20.0882,0.0,
2500.33038,-18.21962,-0.9825,1.4176,-0.3743,0.5400,20.0882,0.0,
2500.33732,-18.21268,-1.5206,1.4151,-0.5792,0.5390,20.0882,0.0,
2500.34427,-18.20573,2.8366,1.3999,1.0805,0.5333,18.1152,0.5358,0.0
2500.35121,-18.19879,3.7052,1.3948,1.4113,0.5313,17.8252,0.4087,0.0
2500.35816,-18.19184,-0.2102,1.3853,-0.0801,0.5277,20.0882,0.0,
2500.36510,-18.18490,2.5060,1.3804,0.9546,0.5258,18.2497,0.5981,0.0
2500.37205,-18.17795,1.4205,1.3732,0.5411,0.5231,18.8661,1.0496,0.0
2500.37899,-18.17101,0.1889,1.3756,0.0720,0.5240,20.0882,0.0,
2500.39288,-18.15712,0.1043,1.3810,0.0397,0.5260,20.0882,0.0,
2500.39983,-18.15017,0.7630,1.3721,0.2906,0.5226,19.5410,1.9526,0.0
2500.40677,-18.14323,2.5086,1.3435,0.9555,0.5117,18.2486,0.5815,0.0
2500.41372,-18.13628,1.9126,1.3766,0.7285,0.5244,18.5431,0.7815,0.0
2500.42066,-18.12934,-0.0148,1.3318,-0.0056,0.5073,20.0882,0.0,
2500.42761,-18.12239,1.6551,1.3277,0.6304,0.5058,18.7001,0.8710,0.0
2500.43455,-18.11545,0.9038,1.3513,0.3443,0.5147,19.3570,1.6232,0.0
2500.44150,-18.10850,-2.2204,1.3125,-0.8458,0.4999,20.0882,0.0,
2500.44844,-18.10156,3.3671,1.3094,1.2826,0.4987,17.9291,0.4222,0.0
2500.45539,-18.09461,3.4735,1.3017,1.3231,0.4958,17.8953,0.4069,0.0
2500.46233,-18.08767,0.4091,1.2973,0.1558,0.4942,20.0882,0.0,
2500.46928,-18.08072,0.7670,1.3357,0.2921,0.5088,19.5353,1.8909,0.0
2500.47622,-18.07378,0.4448,1.2930,0.1694,0.4925,20.0882,0.0,
2500.48317,-18.06683,2.8884,1.2847,1.1002,0.4894,18.0955,0.4829,0.0
2500.49011,-18.05989,1.7398,1.2901,0.6627,0.4914,18.6460,0.8051,0.0
2500.49706,-18.05294,0.3408,1.2873,0.1298,0.4904,20.0882,0.0,
2500.50400,-18.04600,2.3817,1.2835,0.9072,0.4889,18.3050,0.5851,0.0
2500.51095,-18.03905,2.5712,1.2807,0.9794,0.4878,18.2218,0.5408,0.0
2500.51789,-18.03211,1.3061,1.2777,0.4975,0.4867,18.9573,1.0622,0.0
2500.52484,-18.02516,0.0650,1.2747,0.0248,0.4855,20.0882,0.0,
2500.53178,-18.01822,0.3384,1.2645,0.1289,0.4817,20.0882,0.0,
2500.53873,-18.01127,-0.7743,1.2677,-0.2949,0.4829,20.0882,0.0,
2500.54567,-18.00433,0.4076,1.2609,0.1552,0.4803,20.0882,0.0,
2500.55262,-17.99738,1.1327,1.2623,0.4315,0.4808,19.1119,1.2099,0.0
2500.55956,-17.99044,-0.4709,1.2610,-0.1794,0.4803,20.0882,0.0,
2500.56651,-17.98349,-1.8296,1.2566,-0.6969,0.4787,20.0882,0.0,
2500.57345,-17.97655,1.6277,1.2506,0.6200,0.4764,18.7182,0.8342,0.0
2500.58040,-17.96960,-0.6505,1.2429,-0.2478,0.4734,20.0882,0.0,
2500.58735,-17.96265,-0.3007,1.2474,-0.1145,0.4751,20.0882,0.0,
2500.59429,-17.95571,0.8790,1.2442,0.3348,0.4739,19.3873,1.5369,0.0
2500.60124,-17.94876,2.7966,1.2410,1.0652,0.4727,18.1306,0.4818,0.0
2500.60818,-17.94182,0.1583,1.2381,0.0603,0.4716,20.0882,0.0,
2500.61513,-17.93487,-1.0429,1.2299,-0.3973,0.4685,20.0882,0.0,
2500.62207,-17.92793,0.6607,1.2304,0.2517,0.4687,19.6972,2.0221,0.0
2500.62902,-17.92098,0.3888,1.2354,0.1481,0.4706,20.0882,0.0,
2500.63596,-17.91404,-0.5796,1.2335,-0.2208,0.4698,20.0882,0.0,
2500.64291,-17.90709,-0.6009,1.2225,-0.2289,0.4657,20.0882,0.0,
2500.64985,-17.90015,-2.0610,1.2285,-0.7851,0.4680,20.0882,0.0,
2500.65680,-17.89320,0.3313,1.2207,0.1262,0.4650,20.0882,0.0,
2500.66374,-17.88626,-0.0991,1.2127,-0.0377,0.4619,20.0882,0.0,
2500.67069,-17.87931,1.0629,1.2264,0.4049,0.4672,19.1809,1.2527,0.0
2500.67763,-17.87237,-1.5540,1.2196,-0.5919,0.4646,20.0882,0.0,
2500.68458,-17.86542,0.8249,1.2212,0.3142,0.4652,19.4561,1.6073,0.0
2500.69152,-17.85848,1.6945,1.2532,0.6455,0.4774,18.6746,0.8030,0.0
2500.69847,-17.85153,-0.0585,1.2198,-0.0223,0.4646,20.0882,0.0,
2500.70541,-17.84459,0.3732,1.2208,0.1421,0.4650,20.0882,0.0,
2500.71236,-17.83764,-0.0256,1.2176,-0.0097,0.4638,20.0882,0.0,
2500.71930,-17.83070,-1.3255,1.2189,-0.5049,0.4643,20.0882,0.0,
2500.72625,-17.82375,0.4542,1.2220,0.1730,0.4655,20.0882,0.0,
2500.73319,-17.81681,-1.4237,1.2144,-0.5423,0.4626,20.0882,0.0,
2500.74014,-17.80986,1.0174,1.2243,0.3875,0.4663,19.2284,1.3065,0.0
2500.74708,-17.80292,-1.3667,1.2491,-0.5206,0.4758,20.0882,0.0,
2500.75403,-17.79597,-0.4511,1.2592,-0.1718,0.4797,20.0882,0.0,
2500.76097,-17.78903,-1.5031,1.2198,-0.5726,0.4646,20.0882,0.0,
2500.76792,-17.78208,0.9839,1.2573,0.3748,0.4789,19.2648,1.3874,0.0
2500.77486,-17.77514,0.0787,1.2581,0.0300,0.4792,20.0882,0.0,
2500.78181,-17.76819,-0.1704,1.2496,-0.0649,0.4760,20.0882,0.0,
2500.78876,-17.76124,0.2769,1.2522,0.1055,0.4770,20.0882,0.0,
2500.79570,-17.75430,2.3084,1.2570,0.8793,0.4788,18.3389,0.5912,0.0
2500.80265,-17.74735,0.1166,1.2611,0.0444,0.4804,20.0882,0.0,
2500.80959,-17.74041,0.1880,1.2523,0.0716,0.4770,20.0882,0.0,
2500.81654,-17.73346,-0.7643,1.2519,-0.2911,0.4769,20.0882,0.0,
2500.82348,-17.72652,-0.5811,1.2976,-0.2213,0.4943,20.0882,0.0,
2500.83043,-17.71957,-1.0966,1.3073,-0.4177,0.4980,20.0882,0.0,
2500.83737,-17.71263,0.9516,1.2988,0.3625,0.4947,19.3011,1.4819,0.0
2500.84432,-17.70568,1.0329,1.2653,0.3934,0.4820,19.2121,1.3300,0.0
2500.85126,-17.69874,0.2211,1.2482,0.0842,0.4754,20.0882,0.0,
2500.85821,-17.69179,0.7106,1.3076,0.2707,0.4981,19.6181,1.9978,0.0
2500.86515,-17.68485,-0.4747,1.2927,-0.1808,0.4924,20.0882,0.0,
2500.87210,-17.67790,-1.4207,1.3091,-0.5411,0.4986,20.0882,0.0,
2500.87904,-17.67096,2.0461,1.3088,0.7794,0.4985,18.4699,0.6945,0.0
2500.88599,-17.66401,0.4494,1.3069,0.1712,0.4978,20.0882,0.0,
2500.89293,-17.65707,-0.0217,1.3091,-0.0083,0.4986,20.0882,0.0,
2500.89988,-17.65012,1.0536,1.3113,0.4013,0.4995,19.1905,1.3513,0.0
2500.90682,-17.64318,0.3621,1.2636,0.1379,0.4813,20.0882,0.0,
2500.91377,-17.63623,1.1142,1.2626,0.4244,0.4809,19.1298,1.2303,0.0
2500.92071,-17.62929,1.6986,1.2581,0.6470,0.4792,18.6720,0.8042,0.0
2500.92766,-17.62234,1.6164,1.2612,0.6157,0.4804,18.7258,0.8472,0.0
2500.93460,-17.61540,-0.7939,1.2592,-0.3024,0.4796,20.0882,0.0,
2500.94155,-17.60845,-0.4997,1.2608,-0.1903,0.4803,20.0882,0.0,
2500.94849,-17.60151,0.1795,1.2664,0.0684,0.4824,20.0882,0.0,
